Sample ID,Species,Sex,Collection_Date,Site,Latitude,Longitude,Time_Chill_Coma_minutes,Mass_Before_CTmax_mg,Mass_After_CTmax_mg,deltaMass_mg,CTmax_Celsius,Time_to_CTmax_min,28sReferenceGene_RawCT_Mean,Trypanosome_RawCT_Mean,Trypanosome_DeltaCT,Trypanosome_ddCT,Trypanosome_2^-ddCT,Trypanosome_log(2^-ddCT),Trypanosome_RelativeIntensity_AdjustedforThreshold,Vairimorpha_apis_RawCT_Mean,Vairimorpha_apis_DeltaCT,Vairimorpha_apis_ddCT,Vairimorpha_apis_2^-ddCT,Vairimorpha_apis_log(2^-ddCT),Vairimorpha_apis_RelativeIntensity_AdjustedforThreshold,Spiroplasma_apis_RawCT_Mean,Spiroplasma_apis_DeltaCT,Spiroplasma_apis_ddCT,Spiroplasma_apis_2^-ddCT,Spiroplasma_apis_log(2^-ddCT),Spiroplasma_apis_RelativeIntensity_AdjustedforThreshold
epl0360,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,77.9,72.8,-5.1,39.39,157.56,11.92823,30.31156,18.38333,-12.1671,4599.018,3.662665,3.662665,27.95474,16.02651,-12.6245,6314.532,3.800341,3.800341,31.98169,20.05346,-11.2211,2387.248,3.377898,3.377898
epl0361,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,70.9,63.7,-7.2,42.36,169.44,12.03751,29.37997,17.34246,-13.208,9462.332,3.975998,3.975998,29.33292,17.29541,-11.3556,2620.379,3.418364,3.418364,31.52387,19.48636,-11.7882,3536.81,3.548612,3.548612
epl0362,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,164.8,123.6,-41.2,46.67,186.68,11.5893,31.65973,20.07043,-10.48,1428.227,3.154797,3.154797,27.62734,16.03804,-12.6129,6264.267,3.79687,3.79687,32.22667,20.63737,-10.6372,1592.66,3.202123,3.202123
epl0363,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,75.1,58.2,-16.9,48.42,193.68,11.85121,32.698,20.84679,-9.70365,833.8534,2.92109,2.92109,28.85748,17.00627,-11.6447,3201.872,3.505404,3.505404,31.11108,19.25987,-12.0147,4138.015,3.616792,3.616792
epl0364,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,68.1,60,-8.1,46.54,186.16,12.72959,32.38285,19.65326,-10.8972,1907.12,3.280378,3.280378,27.75805,15.02846,-13.6225,12612,4.100784,4.100784,34.60486,21.87527,-9.39932,675.2711,2.829478,2.829478
epl0365,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,110.7,9.3,-101.4,46.08,184.32,11.97883,30.47092,18.49209,-12.0584,4265.059,3.629925,3.629925,29.25894,17.28011,-11.3709,2648.317,3.42297,3.42297,33.3276,21.34877,-9.92582,972.681,2.98797,2.98797
epl0366,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,131.8,113.2,-18.6,42.46,169.84,12.93999,18.32815,5.38816,-25.1623,37549230,7.574601,7.574601,30.19979,17.2598,-11.3912,2685.863,3.429084,3.429084,34.12001,21.18002,-10.0946,1093.375,3.038769,3.038769
epl0367,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,105.4,86.2,-19.2,43,172,12.45479,33.77896,21.32417,-9.22627,598.941,2.777384,2.777384,28.62857,16.17378,-12.4772,5701.754,3.756008,3.756008,36.65968,24.20489,-7.0697,134.3361,2.128193,0
epl0368,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,99,85.5,-13.5,48.27,193.08,12.8057,33.33997,20.53427,-10.0162,1035.542,3.015168,3.015168,28.30877,15.50307,-13.1479,9076.372,3.957912,3.957912,33.86353,21.05783,-10.2168,1190.014,3.075552,3.075552
epl0369,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,85.3,81.3,-4,43.17,172.68,15.0473,34.17775,19.13045,-11.42,2740.057,3.43776,3.43776,30.17693,15.12963,-13.5213,11757.88,4.070329,4.070329,33.12708,18.07978,-13.1948,9376.365,3.972035,3.972035
epl0370,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,75.1,64.3,-10.8,46.73,186.92,13.31683,33.81464,20.49781,-10.0526,1062.046,3.026143,3.026143,29.37558,16.05875,-12.5922,6174.985,3.790636,3.790636,41,27.68317,-3.59142,12.05386,1.081126,0
epl0371,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,114.2,88.5,-25.7,47.56,190.24,12.5378,36.11427,23.57647,-6.97397,125.7113,2.099374,0,31.6801,19.1423,-9.50867,728.4419,2.862395,2.862395,41,28.4622,-2.81239,7.024488,0.846615,0
epl0372,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,76.9,69.9,-7,44.41,177.64,13.05516,22.80295,9.74779,-20.8027,1829033,6.262222,6.262222,30.4051,17.34994,-11.301,2523.185,3.401949,3.401949,37.2901,24.23494,-7.03965,131.5669,2.119147,0
epl0373,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,143.5,124.3,-19.2,39.17,156.68,12.57035,32.95834,20.38799,-10.1625,1146.047,3.059202,3.059202,30.75621,18.18586,-10.4651,1413.553,3.150312,3.150312,34.86463,22.29428,-8.98031,505.0607,2.703344,2.703344
epl0374,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,73.1,58.2,-14.9,48.14,192.56,12.95941,33.87487,20.91546,-9.63498,795.0931,2.900418,2.900418,30.03444,17.07503,-11.5759,3052.848,3.484705,3.484705,36.09534,23.13593,-8.13866,281.8264,2.449982,0
epl0375,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,163.4,143.1,-20.3,45.99,183.96,12.89957,33.94683,21.04726,-9.50318,725.6751,2.860742,2.860742,30.59759,17.69802,-10.953,1982.287,3.297166,3.297166,41,28.10043,-3.17416,9.026477,0.955518,0
epl0376,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,121.4,107.8,-13.6,43.01,172.04,12.73478,21.68052,8.94574,-21.6047,3189060,6.503663,6.503663,29.35959,16.62481,-12.0262,4170.949,3.620235,3.620235,41,28.26522,-3.00937,8.052144,0.905912,0
epl0377,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,111.7,101.3,-10.4,38.15,152.6,13.3909,18.27876,4.88786,-25.6626,53113674,7.725206,7.725206,30.5336,17.1427,-11.5083,2912.96,3.464334,3.464334,41,27.6091,-3.66549,12.68888,1.103423,0
epl0378,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,133.2,104.7,-28.5,49.22,196.88,13.20762,36.21346,23.00584,-7.5446,186.7028,2.271151,0,30.25319,17.04557,-11.6054,3115.828,3.493574,3.493574,41,27.79238,-3.48221,11.17508,1.048251,0
epl0379,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,129.2,111.5,-17.7,49.03,196.12,12.489,33.21471,20.72571,-9.82473,906.8562,2.957538,2.957538,29.99853,17.50953,-11.1414,2258.955,3.353908,3.353908,41,28.511,-2.76359,6.790854,0.831924,0
epl0380,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,82.5,65.2,-17.3,48.18,192.72,13.97564,33.47134,19.4957,-11.0547,2127.2,3.327808,3.327808,32.18154,18.2059,-10.4451,1394.053,3.144279,3.144279,41,27.02436,-4.25023,19.03039,1.279448,0
epl0381,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,110.2,95.2,-15,43.68,174.72,12.48519,33.17675,20.69156,-9.85888,928.5785,2.967819,2.967819,30.22342,17.73823,-10.9127,1927.8,3.285062,3.285062,36.70097,24.21578,-7.05881,133.3259,2.124914,0
epl0382,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,76.9,67.7,-9.2,44.37,177.48,13.23971,29.42267,16.18296,-14.3675,21136.96,4.325042,4.325042,31.18889,17.94918,-10.7018,1665.558,3.22156,3.22156,41,27.76029,-3.5143,11.42643,1.057911,0
epl0383,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,108.3,90.5,-17.8,48.05,192.2,12.09549,32.41938,20.32389,-10.2266,1198.114,3.078498,3.078498,29.96241,17.86692,-10.7841,1763.285,3.246323,3.246323,35.07911,22.98362,-8.29097,313.2071,2.495832,0
epl0384,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,141.3,127.1,-14.2,44.89,179.56,12.6961,26.74813,14.05203,-16.4984,92579.81,4.966516,4.966516,30.37136,17.67526,-10.9757,2013.807,3.304018,3.304018,41,28.3039,-2.97069,7.839127,0.894268,0
epl0385,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,85.2,69.9,-15.3,50.02,200.08,12.10781,33.7767,21.66889,-8.88155,471.6425,2.673613,2.673613,30.9435,18.83569,-9.81528,900.9355,2.954694,2.954694,41,28.89219,-2.3824,5.214045,0.717175,0
epl0386,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,139.4,115.4,-24,50.52,202.08,12.74351,33.25718,20.51367,-10.0368,1050.434,3.021369,3.021369,29.06526,16.32175,-12.3292,5145.944,3.711465,3.711465,35.86421,23.1207,-8.15389,284.8173,2.454566,0
epl0387,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,54.7,49.6,-5.1,44.09,176.36,12.75323,35.10821,22.35498,-8.19546,293.1428,2.467079,0,31.14281,18.38958,-10.2614,1227.4,3.088986,3.088986,33.65939,20.90616,-10.3684,1321.933,3.121209,3.121209
epl0388,Xenoglossa_pruinosa,Male,7/26/2019,Muncy,41.218,-76.81,140,70.5,62.2,-8.3,44.02,176.08,12.23919,35.14355,22.90436,-7.64608,200.3085,2.301699,0,29.39363,17.15444,-11.4965,2889.351,3.4608,3.4608,41,28.76081,-2.51378,5.711157,0.756724,0
epl0389,Xenoglossa_pruinosa,Female,7/26/2019,Muncy,41.218,-76.81,140,102.4,89.2,-13.2,45.92,183.68,12.45488,32.82878,20.3739,-10.1765,1157.294,3.063444,3.063444,30.61816,18.16328,-10.4877,1435.851,3.157109,3.157109,41,28.54512,-2.72947,6.632133,0.821653,0
epl0398,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,88.3,71.6,-16.7,48.12,192.48,13.16034,32.61563,19.45529,-11.0952,2187.625,3.339973,3.339973,28.78437,15.62403,-13.0269,8346.41,3.9215,3.9215,33.90681,20.74647,-10.5281,1476.661,3.169281,3.169281
epl0399,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,109.8,98.1,-11.7,42.92,171.68,11.80153,33.57624,21.77471,-8.77573,438.2864,2.641758,2.641758,27.06271,15.26118,-13.3898,10733.18,4.030728,4.030728,34.29096,22.48943,-8.78516,441.1615,2.644598,2.644598
epl0400,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,119.5,99.4,-20.1,44.2,176.8,11.95291,34.17408,22.22117,-8.32927,321.6326,2.50736,2.50736,28.11679,16.16388,-12.4871,5741.015,3.758989,3.758989,34.89377,22.94086,-8.33373,322.6292,2.508704,2.508704
epl0401,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,106.4,98,-8.4,41.59,166.36,11.74077,32.37066,20.62989,-9.92055,969.1324,2.986383,2.986383,27.31144,15.57067,-13.0803,8660.893,3.937563,3.937563,41,29.25923,-2.01536,4.042823,0.606685,0
epl0402,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,77.9,74.1,-3.8,40.5,162,12.90863,33.31352,20.40489,-10.1456,1132.7,3.054115,3.054115,28.83471,15.92608,-12.7249,6769.765,3.830574,3.830574,33.81464,20.90601,-10.3686,1322.07,3.121254,3.121254
epl0403,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,121.8,108.5,-13.3,42.48,169.92,12.93936,33.05876,20.1194,-10.431,1380.562,3.140056,3.140056,30.24488,17.30552,-11.3455,2602.081,3.415321,3.415321,35.01792,22.07856,-9.19603,586.5186,2.768282,0
epl0404,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,122.7,108.6,-14.1,45.4,181.6,12.87871,31.44315,18.56444,-11.986,4056.444,3.608146,3.608146,28.84519,15.96648,-12.6845,6582.82,3.818412,3.818412,33.83626,20.95755,-10.317,1275.673,3.105739,3.105739
epl0405,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,128.9,107,-21.9,48.44,193.76,12.64722,33.10227,20.45505,-10.0954,1093.995,3.039015,3.039015,28.92765,16.28043,-12.3705,5295.459,3.723904,3.723904,35.47547,22.82825,-8.44634,348.821,2.542603,0
epl0406,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,104.3,95.8,-8.5,38.81,155.24,13.32107,34.41164,21.09057,-9.45987,704.214,2.847705,2.847705,29.71833,16.39726,-12.2537,4883.535,3.688734,3.688734,41,27.67893,-3.59566,12.08934,1.082402,0
epl0407,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,88.6,82.1,-6.5,45.34,181.36,13.08284,35.11512,22.03228,-8.51816,366.6247,2.564222,0,29.92736,16.84452,-11.8065,3581.753,3.554096,3.554096,34.3128,21.22996,-10.0446,1056.175,3.023736,3.023736
epl0408,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,109.5,92.7,-16.8,44.12,176.48,12.95838,34.8832,21.92482,-8.62562,394.9757,2.59657,2.59657,31.10689,18.14851,-10.5025,1450.626,3.161555,3.161555,41,28.04162,-3.23297,9.402035,0.973222,0
epl0409,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,115.8,104.2,-11.6,44.05,176.2,12.6446,34.05152,21.40692,-9.14352,565.5536,2.752474,2.752474,31.52073,18.87613,-9.77484,876.0321,2.94252,2.94252,36.25285,23.60825,-7.66634,203.1418,2.307799,0
epl0410,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,108.2,98.3,-9.9,40.47,161.88,12.75728,23.64707,10.88979,-19.6607,828791.7,5.918445,5.918445,29.79899,17.04171,-11.6093,3124.176,3.494735,3.494735,41,28.24272,-3.03187,8.178708,0.912685,0
epl0411,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,161.3,134,-27.3,49.79,199.16,11.96537,33.81565,21.85028,-8.70016,415.9194,2.619009,2.619009,29.79993,17.83456,-10.8164,1803.283,3.256064,3.256064,34.08549,22.12012,-9.15447,569.8637,2.755771,2.755771
epl0412,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,79.8,69.8,-10,42.29,169.16,12.81218,34.6268,21.81462,-8.73582,426.328,2.629744,2.629744,29.93544,17.12326,-11.5277,2952.477,3.470186,3.470186,41,28.18782,-3.08677,8.495937,0.929211,0
epl0413,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,101.9,81.1,-20.8,46.33,185.32,11.62515,34.69396,23.06881,-7.48163,178.729,2.252195,2.252195,30.36621,18.74106,-9.90991,962.0113,2.98318,2.98318,36.62882,25.00367,-6.27092,77.22109,1.887736,0
epl0414,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,111.8,100.4,-11.4,39.85,159.4,12.55563,32.6786,20.12297,-10.4275,1377.15,3.138981,3.138981,29.0265,16.47087,-12.1801,4640.614,3.666575,3.666575,41,28.44437,-2.83022,7.111841,0.851982,0
epl0415,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,111.6,100.9,-10.7,41.18,164.72,12.35614,33.83163,21.47549,-9.07495,539.3022,2.731832,2.731832,29.85191,17.49577,-11.1552,2280.604,3.35805,3.35805,41,28.64386,-2.63073,6.193406,0.79193,0
epl0416,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,104.4,91.8,-12.6,44.06,176.24,13.05434,35.25569,22.20135,-8.34909,326.0818,2.513327,0,30.28748,17.23314,-11.4178,2735.957,3.437109,3.437109,41,27.94566,-3.32893,10.04867,1.002109,0
epl0417,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,158.6,115.6,-43,47.85,191.4,12.73342,34.75053,22.01711,-8.53333,370.5001,2.568788,2.568788,31.01878,18.28536,-10.3656,1319.349,3.12036,3.12036,41,28.26658,-3.00801,8.044557,0.905502,0
epl0418,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,135,121.9,-13.1,41.13,164.52,13.27334,36.07002,22.79668,-7.75376,215.8313,2.334114,0,31.44057,18.16723,-10.4837,1431.925,3.15592,3.15592,41,27.72666,-3.54793,11.69592,1.068034,0
epl0419,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,115.9,103.3,-12.6,42.92,171.68,12.14205,35.18784,23.04579,-7.50465,181.6037,2.259125,0,29.91192,17.76987,-10.8811,1885.982,3.275537,3.275537,39.82799,27.68594,-3.58865,12.03074,1.080292,0
epl0420,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,103.8,91.3,-12.5,42.96,171.84,12.23935,33.69607,21.45672,-9.09372,546.3645,2.737482,2.737482,29.75111,17.51176,-11.1392,2255.466,3.353236,3.353236,41,28.76065,-2.51394,5.71179,0.756772,0
epl0421,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,93.3,89.7,-3.6,38.54,154.16,13.23506,34.7911,21.55604,-8.9944,510.0165,2.707584,2.707584,30.72514,17.49008,-11.1609,2289.616,3.359763,3.359763,34.69855,21.46349,-9.8111,898.3308,2.953436,2.953436
epl0422,Xenoglossa_pruinosa,Female,7/27/2019,Myerstown,40.365,-76.33,220,113.1,101.4,-11.7,43.04,172.16,13.05972,34.60706,21.54734,-9.0031,513.1013,2.710203,2.710203,31.25698,18.19726,-10.4537,1402.427,3.14688,3.14688,32.04759,18.98787,-12.2867,4996.572,3.698672,3.698672
epl0423,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,63.2,56.1,-7.1,38.81,155.24,13.14834,34.06078,20.91244,-9.638,796.7592,2.901327,2.901327,30.57209,17.42375,-11.2272,2397.342,3.37973,3.37973,35.32671,22.17837,-9.09622,547.3133,2.738236,0
epl0424,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,85.3,81,-4.3,40.09,160.36,12.4454,34.15572,21.71032,-8.84012,458.291,2.661141,2.661141,31.19988,18.75448,-9.89649,953.1041,2.97914,2.97914,41,28.5546,-2.71999,6.588696,0.818799,0
epl0425,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,88.7,79.5,-9.2,42.69,170.76,13.37451,33.68729,20.31278,-10.2377,1207.377,3.081843,3.081843,31.4208,18.04629,-10.6047,1557.137,3.192327,3.192327,35.87659,22.50208,-8.77251,437.3101,2.64079,0
epl0426,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,75,71.2,-3.8,40.63,162.52,12.65838,36.4088,23.75042,-6.80002,111.432,2.04701,0,32.05484,19.39646,-9.25451,610.7804,2.785885,2.785885,41,28.34162,-2.93297,7.636825,0.882913,0
epl0427,Xenoglossa_pruinosa,Male,7/27/2019,Myerstown,40.365,-76.33,220,129.1,112.5,-16.6,46.48,185.92,12.40757,33.27138,20.86381,-9.68663,824.074,2.915966,2.915966,30.09037,17.6828,-10.9682,2003.31,3.301748,3.301748,36.2277,23.82013,-7.45446,175.3949,2.244017,0
epl0445,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,136.6,122.6,-14,40.94,163.76,12.68095,33.00848,20.32753,-10.2229,1195.095,3.077403,3.077403,27.86672,15.18577,-13.4652,11309.13,4.053429,4.053429,33.84264,21.16169,-10.1129,1107.358,3.044288,3.044288
epl0446,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,87.6,70.8,-16.8,49.05,196.2,12.57066,33.07606,20.5054,-10.045,1056.473,3.023858,3.023858,27.02795,14.45729,-14.1937,18738.01,4.272723,4.272723,34.45796,21.8873,-9.38729,669.6637,2.825857,2.825857
epl0447,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,145.4,118,-27.4,50.86,203.44,12.87488,31.5368,18.66192,-11.8885,3791.413,3.578801,3.578801,26.33848,13.4636,-15.1874,37312.46,4.571854,4.571854,33.84264,20.96776,-10.3068,1266.677,3.102666,3.102666
epl0448,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,58.1,51.7,-6.4,41.71,166.84,12.68797,28.44805,15.76008,-14.7904,28336.23,4.452342,4.452342,28.42057,15.7326,-12.9184,7741.353,3.888817,3.888817,32.94506,20.25709,-11.0175,2072.998,3.316599,3.316599
epl0449,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,81.4,70.4,-11,42.94,171.76,12.14934,32.97647,20.82713,-9.72331,845.2944,2.927008,2.927008,29.10411,16.95477,-11.6962,3318.234,3.520907,3.520907,41,28.85066,-2.42393,5.36632,0.729677,0
epl0450,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,124,105.4,-18.6,47.99,191.96,12.48594,31.94567,19.45973,-11.0907,2180.903,3.338636,3.338636,32.11804,19.6321,-9.01887,518.7408,2.71495,2.71495,35.61757,23.13163,-8.14296,282.6677,2.451276,0
epl0451,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,87.7,83.6,-4.1,39.33,157.32,13.21338,34.31795,21.10457,-9.44587,697.4133,2.84349,2.84349,30.07085,16.85747,-11.7935,3549.746,3.550197,3.550197,36.99555,23.78217,-7.49242,180.0711,2.255444,0
epl0452,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,66.1,63.3,-2.8,42.51,170.04,13.308,33.82243,20.51443,-10.036,1049.881,3.02114,3.02114,30.60267,17.29467,-11.3563,2621.724,3.418587,3.418587,35.68632,22.37832,-8.89627,476.4804,2.678045,0
epl0453,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,102.8,94.5,-8.3,38.42,153.68,12.30321,18.61361,6.3104,-24.24,19814318,7.296979,7.296979,28.95954,16.65633,-11.9946,4080.81,3.610746,3.610746,36.59419,24.29098,-6.98361,126.5543,2.102277,0
epl0454,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,169.2,146.3,-22.9,48.29,193.16,12.95881,33.8911,20.93229,-9.61815,785.8717,2.895352,2.895352,28.53171,15.5729,-13.0781,8647.516,3.936891,3.936891,41,28.04119,-3.2334,9.404837,0.973351,0
epl0455,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,113,92.3,-20.7,46.42,185.68,13.3659,33.89373,20.52783,-10.0226,1040.175,3.017106,3.017106,31.1207,17.7548,-10.8962,1905.785,3.280074,3.280074,41,27.6341,-3.64049,12.47089,1.095898,0
epl0456,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,80.4,73.4,-7,43.72,174.88,13.84181,31.89141,18.0496,-12.5008,5795.992,3.763128,3.763128,30.39813,16.55632,-12.0947,4373.735,3.640852,3.640852,36.32104,22.47923,-8.79536,444.2916,2.647668,0
epl0457,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,67.4,51.7,-15.7,49.08,196.32,12.61195,33.90762,21.29567,-9.25477,610.8905,2.785963,2.785963,32.28154,19.66959,-8.98138,505.4344,2.703665,2.703665,41,28.38805,-2.88654,7.394963,0.868936,0
epl0458,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,108.1,92.2,-15.9,44.13,176.52,12.6715,33.90804,21.23654,-9.3139,636.4485,2.803763,2.803763,30.31204,17.64054,-11.0104,2062.86,3.31447,3.31447,41,28.3285,-2.94609,7.706592,0.886862,0
epl0459,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,81.7,59.4,-22.3,51.12,204.48,12.78852,19.05309,6.26457,-24.2859,20453863,7.310775,7.310775,29.56387,16.77535,-11.8756,3757.663,3.574918,3.574918,32.42389,19.63537,-11.6392,3189.74,3.503755,3.503755
epl0460,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,93.7,76.6,-17.1,47.33,189.32,13.03449,31.37357,18.33908,-12.2114,4742.263,3.675986,3.675986,28.87469,15.8402,-12.8108,7184.988,3.856426,3.856426,36.79404,23.75955,-7.51504,182.9167,2.262253,0
epl0461,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,83.1,71,-12.1,43.79,175.16,12.37148,34.38695,22.01547,-8.53497,370.9215,2.569282,2.569282,30.90903,18.53755,-10.1134,1107.753,3.044443,3.044443,41,28.62852,-2.64607,6.259611,0.796547,0
epl0462,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,113.9,99.2,-14.7,49.41,197.64,12.7854,33.72061,20.93521,-9.61523,784.2827,2.894473,2.894473,30.52093,17.73553,-10.9154,1931.412,3.285875,3.285875,41,28.2146,-3.05999,8.339686,0.92115,0
epl0463,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,99,85.4,-13.6,43.83,175.32,12.33813,35.05442,22.71629,-7.83415,228.1992,2.358314,0,30.59478,18.25665,-10.3943,1345.867,3.129002,3.129002,41,28.66187,-2.61272,6.116571,0.786508,0
epl0464,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,149.2,127.7,-21.5,49.42,197.68,13.34989,32.20913,18.85924,-11.6912,3306.754,3.519402,3.519402,30.13461,16.78472,-11.8663,3733.337,3.572097,3.572097,41,27.65011,-3.62448,12.33327,1.091078,0
epl0465,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,115.2,107.4,-7.8,40.67,162.68,12.98199,35.3598,22.37781,-8.17263,288.5405,2.460207,0,30.95008,17.96809,-10.6829,1643.869,3.215867,3.215867,41,28.01801,-3.25658,9.557167,0.980329,0
epl0466,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,129.8,119.1,-10.7,44.13,176.52,12.59912,34.5299,21.93078,-8.61966,393.3473,2.594776,2.594776,30.36543,17.76631,-10.8847,1890.641,3.276609,3.276609,41,28.40088,-2.87371,7.329491,0.865074,0
epl0467,Xenoglossa_pruinosa,Female,7/29/2019,Butler,40.841,-80.05,278,127.3,111.2,-16.1,40.52,162.08,13.37158,33.13612,19.76454,-10.7859,1765.548,3.246879,3.246879,30.83556,17.46398,-11.187,2331.415,3.36762,3.36762,38.23733,24.86575,-6.40884,84.96772,1.929254,0
epl0468,Xenoglossa_pruinosa,Male,7/29/2019,Butler,40.841,-80.05,278,97.9,86.7,-11.2,53.75,215,12.89583,32.63289,19.73706,-10.8134,1799.5,3.255152,3.255152,28.70215,15.80632,-12.8447,7355.716,3.866625,3.866625,32.16287,19.26704,-12.0076,4117.5,3.614634,3.614634
