Treatment,Groups,Number,Body weight (mg)
0.004%GLS,C,14,n/a
0.004%GLS,C,15,n/a
0.004%GLS,C,16,221
0.004%GLS,C,17,n/a
0.004%GLS,C,18,n/a
0.004%GLS,C,19,227
0.004%GLS+dsEGFP,A,1,249
0.004%GLS+dsEGFP,A,2,n/a
0.004%GLS+dsEGFP,A,3,n/a
0.004%GLS+dsEGFP,A,4,n/a
0.004%GLS+dsEGFP,A,5,215
0.004%GLS+dsEGFP,A,6,n/a
0.004%GLS+dsEGFP,A,7,227
0.004%GLS+dsEGFP,A,8,n/a
0.004%GLS+dsEGFP,A,9,238
0.004%GLS+dsEGFP,A,10,n/a
0.004%GLS+dsEGFP,A,11,249
0.004%GLS+dsEGFP,A,12,n/a
0.004%GLS+dsEGFP,A,13,n/a
0.004%GLS+dsEGFP,A,14,n/a
0.004%GLS+dsEGFP,A,15,244
0.004%GLS+dsEGFP,A,16,n/a
0.004%GLS+dsEGFP,A,17,n/a
0.004%GLS+dsEGFP,A,18,n/a
0.004%GLS+dsEGFP,B,1,n/a
0.004%GLS+dsEGFP,B,2,n/a
0.004%GLS+dsEGFP,B,3,228
0.004%GLS+dsEGFP,B,4,n/a
0.004%GLS+dsEGFP,B,5,n/a
0.004%GLS+dsEGFP,B,6,192
0.004%GLS+dsEGFP,B,7,n/a
0.004%GLS+dsEGFP,B,8,n/a
0.004%GLS+dsEGFP,B,9,n/a
0.004%GLS+dsEGFP,B,10,204
0.004%GLS+dsEGFP,B,11,n/a
0.004%GLS+dsEGFP,B,12,217
0.004%GLS+dsEGFP,B,13,n/a
0.004%GLS+dsEGFP,B,14,246
0.004%GLS+dsEGFP,B,15,n/a
0.004%GLS+dsEGFP,B,16,n/a
0.004%GLS+dsEGFP,B,17,n/a
0.004%GLS+dsEGFP,B,18,220
0.004%GLS+dsEGFP,C,1,192
0.004%GLS+dsEGFP,C,2,n/a
0.004%GLS+dsEGFP,C,3,n/a
0.004%GLS+dsEGFP,C,4,n/a
0.004%GLS+dsEGFP,C,5,182
0.004%GLS+dsEGFP,C,6,216
0.004%GLS+dsEGFP,C,7,n/a
0.004%GLS+dsEGFP,C,8,n/a
0.004%GLS+dsEGFP,C,9,n/a
0.004%GLS+dsEGFP,C,10,232
0.004%GLS+dsEGFP,C,11,228
0.004%GLS+dsEGFP,C,12,n/a
0.004%GLS+dsEGFP,C,13,n/a
0.004%GLS+dsEGFP,C,14,215
0.004%GLS+dsEGFP,C,15,n/a
0.004%GLS+dsEGFP,C,16,203
0.004%GLS+dsEGFP,C,17,n/a
0.004%GLS+dsEGFP,C,18,n/a
0.004%GLS+dsEGFP,C,19,208
0.004%GLS+dsSumf1,A,1,n/a
0.004%GLS+dsSumf1,A,2,n/a
0.004%GLS+dsSumf1,A,3,119
0.004%GLS+dsSumf1,A,4,172
0.004%GLS+dsSumf1,A,5,n/a
0.004%GLS+dsSumf1,A,6,n/a
0.004%GLS+dsSumf1,A,7,137
0.004%GLS+dsSumf1,A,8,n/a
0.004%GLS+dsSumf1,A,9,n/a
0.004%GLS+dsSumf1,A,10,124
0.004%GLS+dsSumf1,A,11,n/a
0.004%GLS+dsSumf1,A,12,n/a
0.004%GLS+dsSumf1,A,13,n/a
0.004%GLS+dsSumf1,A,14,138
0.004%GLS+dsSumf1,A,15,n/a
0.004%GLS+dsSumf1,A,16,n/a
0.004%GLS+dsSumf1,A,17,n/a
0.004%GLS+dsSumf1,A,18,n/a
0.004%GLS+dsSumf1,B,1,n/a
0.004%GLS+dsSumf1,B,2,n/a
0.004%GLS+dsSumf1,B,3,134
0.004%GLS+dsSumf1,B,4,n/a
0.004%GLS+dsSumf1,B,5,n/a
