Treatment,Groups,Number,Pupa weight (mg)
0.004%GLS,C,6,n/a
0.004%GLS,C,7,n/a
0.004%GLS,C,8,n/a
0.004%GLS,C,9,n/a
0.004%GLS,C,10,n/a
0.004%GLS,C,11,268
0.004%GLS,C,12,n/a
0.004%GLS,C,13,n/a
0.004%GLS,C,14,n/a
0.004%GLS,C,15,n/a
0.004%GLS,C,16,n/a
0.004%GLS,C,17,n/a
0.004%GLS,C,18,n/a
0.004%GLS,C,19,n/a
0.004%GLS+dsEGFP,A,1,n/a
0.004%GLS+dsEGFP,A,2,n/a
0.004%GLS+dsEGFP,A,3,n/a
0.004%GLS+dsEGFP,A,4,n/a
0.004%GLS+dsEGFP,A,5,228
0.004%GLS+dsEGFP,A,6,n/a
0.004%GLS+dsEGFP,A,7,n/a
0.004%GLS+dsEGFP,A,8,n/a
0.004%GLS+dsEGFP,A,9,n/a
0.004%GLS+dsEGFP,A,10,n/a
0.004%GLS+dsEGFP,A,11,n/a
0.004%GLS+dsEGFP,A,12,n/a
0.004%GLS+dsEGFP,A,13,n/a
0.004%GLS+dsEGFP,A,14,n/a
0.004%GLS+dsEGFP,A,15,n/a
0.004%GLS+dsEGFP,A,16,n/a
0.004%GLS+dsEGFP,A,17,n/a
0.004%GLS+dsEGFP,A,18,n/a
0.004%GLS+dsEGFP,B,1,n/a
0.004%GLS+dsEGFP,B,2,n/a
0.004%GLS+dsEGFP,B,3,n/a
0.004%GLS+dsEGFP,B,4,n/a
0.004%GLS+dsEGFP,B,5,n/a
0.004%GLS+dsEGFP,B,6,n/a
0.004%GLS+dsEGFP,B,7,n/a
0.004%GLS+dsEGFP,B,8,n/a
0.004%GLS+dsEGFP,B,9,n/a
0.004%GLS+dsEGFP,B,10,n/a
0.004%GLS+dsEGFP,B,11,n/a
0.004%GLS+dsEGFP,B,12,235
0.004%GLS+dsEGFP,B,13,n/a
0.004%GLS+dsEGFP,B,14,n/a
0.004%GLS+dsEGFP,B,15,n/a
0.004%GLS+dsEGFP,B,16,n/a
0.004%GLS+dsEGFP,B,17,n/a
0.004%GLS+dsEGFP,B,18,n/a
0.004%GLS+dsEGFP,C,1,n/a
0.004%GLS+dsEGFP,C,2,n/a
0.004%GLS+dsEGFP,C,3,n/a
0.004%GLS+dsEGFP,C,4,n/a
0.004%GLS+dsEGFP,C,5,212
0.004%GLS+dsEGFP,C,6,n/a
0.004%GLS+dsEGFP,C,7,n/a
0.004%GLS+dsEGFP,C,8,n/a
0.004%GLS+dsEGFP,C,9,n/a
0.004%GLS+dsEGFP,C,10,n/a
0.004%GLS+dsEGFP,C,11,n/a
0.004%GLS+dsEGFP,C,12,n/a
0.004%GLS+dsEGFP,C,13,n/a
0.004%GLS+dsEGFP,C,14,228
0.004%GLS+dsEGFP,C,15,n/a
0.004%GLS+dsEGFP,C,16,n/a
0.004%GLS+dsEGFP,C,17,n/a
0.004%GLS+dsEGFP,C,18,n/a
0.004%GLS+dsEGFP,C,19,n/a
0.004%GLS+dsSumf1,A,1,n/a
0.004%GLS+dsSumf1,A,2,n/a
0.004%GLS+dsSumf1,A,3,n/a
0.004%GLS+dsSumf1,A,4,n/a
0.004%GLS+dsSumf1,A,5,n/a
0.004%GLS+dsSumf1,A,6,n/a
0.004%GLS+dsSumf1,A,7,n/a
0.004%GLS+dsSumf1,A,8,n/a
0.004%GLS+dsSumf1,A,9,n/a
0.004%GLS+dsSumf1,A,10,n/a
0.004%GLS+dsSumf1,A,11,n/a
0.004%GLS+dsSumf1,A,12,n/a
0.004%GLS+dsSumf1,A,13,n/a
0.004%GLS+dsSumf1,A,14,190
0.004%GLS+dsSumf1,A,15,n/a
0.004%GLS+dsSumf1,A,16,n/a
0.004%GLS+dsSumf1,A,17,n/a
0.004%GLS+dsSumf1,A,18,n/a
0.004%GLS+dsSumf1,B,1,n/a
0.004%GLS+dsSumf1,B,2,n/a
0.004%GLS+dsSumf1,B,3,n/a
0.004%GLS+dsSumf1,B,4,n/a
0.004%GLS+dsSumf1,B,5,n/a
0.004%GLS+dsSumf1,B,6,n/a
0.004%GLS+dsSumf1,B,7,n/a
0.004%GLS+dsSumf1,B,8,n/a
0.004%GLS+dsSumf1,B,9,n/a
0.004%GLS+dsSumf1,B,10,n/a
0.004%GLS+dsSumf1,B,11,n/a
0.004%GLS+dsSumf1,B,12,n/a
0.004%GLS+dsSumf1,B,13,n/a
0.004%GLS+dsSumf1,B,14,n/a
0.004%GLS+dsSumf1,B,15,n/a
0.004%GLS+dsSumf1,B,16,n/a
0.004%GLS+dsSumf1,B,17,n/a
0.004%GLS+dsSumf1,B,18,n/a
0.004%GLS+dsSumf1,C,1,n/a
0.004%GLS+dsSumf1,C,2,n/a
0.004%GLS+dsSumf1,C,3,n/a
0.004%GLS+dsSumf1,C,4,n/a
0.004%GLS+dsSumf1,C,5,n/a
0.004%GLS+dsSumf1,C,6,n/a
0.004%GLS+dsSumf1,C,7,n/a
0.004%GLS+dsSumf1,C,8,202
0.004%GLS+dsSumf1,C,9,n/a
0.004%GLS+dsSumf1,C,10,n/a
0.004%GLS+dsSumf1,C,11,n/a
0.004%GLS+dsSumf1,C,12,n/a
0.004%GLS+dsSumf1,C,13,n/a
0.004%GLS+dsSumf1,C,14,n/a
0.004%GLS+dsSumf1,C,15,n/a
0.004%GLS+dsSumf1,C,16,n/a
0.004%GLS+dsSumf1,C,17,n/a
0.004%GLS+dsSumf1,C,18,n/a
0.004%GLS+dsSumf1,C,19,n/a
0.04%GLS,A,1,n/a
0.04%GLS,A,2,n/a
0.04%GLS,A,3,286
0.04%GLS,A,4,n/a
0.04%GLS,A,5,n/a
0.04%GLS,A,6,n/a
0.04%GLS,A,7,n/a
0.04%GLS,A,8,n/a
0.04%GLS,A,9,n/a
0.04%GLS,A,10,n/a
0.04%GLS,A,11,n/a
0.04%GLS,A,12,242
0.04%GLS,A,13,n/a
0.04%GLS,A,14,n/a
0.04%GLS,A,15,n/a
0.04%GLS,A,16,n/a
0.04%GLS,A,17,n/a
0.04%GLS,A,18,n/a
0.04%GLS,B,1,n/a
0.04%GLS,B,2,n/a
0.04%GLS,B,3,n/a
0.04%GLS,B,4,n/a
0.04%GLS,B,5,n/a
0.04%GLS,B,6,n/a
0.04%GLS,B,7,n/a
0.04%GLS,B,8,272
0.04%GLS,B,9,n/a
0.04%GLS,B,10,n/a
0.04%GLS,B,11,n/a
0.04%GLS,B,12,n/a
0.04%GLS,B,13,248
0.04%GLS,B,14,n/a
0.04%GLS,B,15,n/a
0.04%GLS,B,16,n/a
0.04%GLS,B,17,n/a
0.04%GLS,B,18,n/a
0.04%GLS,C,1,n/a
0.04%GLS,C,2,n/a
0.04%GLS,C,3,n/a
0.04%GLS,C,4,n/a
0.04%GLS,C,5,n/a
0.04%GLS,C,6,n/a
0.04%GLS,C,7,n/a
0.04%GLS,C,8,n/a
0.04%GLS,C,9,282
0.04%GLS,C,10,n/a
0.04%GLS,C,11,n/a
0.04%GLS,C,12,n/a
0.04%GLS,C,13,n/a
0.04%GLS,C,14,n/a
0.04%GLS,C,15,270
0.04%GLS,C,16,n/a
0.04%GLS,C,17,n/a
0.04%GLS,C,18,n/a
0.04%GLS,C,19,n/a
0.04%GLS+dsEGFP,A,1,n/a
0.04%GLS+dsEGFP,A,2,n/a
0.04%GLS+dsEGFP,A,3,n/a
0.04%GLS+dsEGFP,A,4,n/a
0.04%GLS+dsEGFP,A,5,n/a
0.04%GLS+dsEGFP,A,6,n/a
0.04%GLS+dsEGFP,A,7,n/a
0.04%GLS+dsEGFP,A,8,288
0.04%GLS+dsEGFP,A,9,n/a
0.04%GLS+dsEGFP,A,10,242
0.04%GLS+dsEGFP,A,11,n/a
0.04%GLS+dsEGFP,A,12,n/a
0.04%GLS+dsEGFP,A,13,n/a
0.04%GLS+dsEGFP,A,14,n/a
0.04%GLS+dsEGFP,A,15,n/a
0.04%GLS+dsEGFP,A,16,n/a
0.04%GLS+dsEGFP,A,17,270
0.04%GLS+dsEGFP,A,18,n/a
0.04%GLS+dsEGFP,B,1,n/a
0.04%GLS+dsEGFP,B,2,n/a
0.04%GLS+dsEGFP,B,3,n/a
0.04%GLS+dsEGFP,B,4,284
0.04%GLS+dsEGFP,B,5,n/a
0.04%GLS+dsEGFP,B,6,n/a
