Feature ID,Gene Name,Control Average Birth Weight,Control Low Birth Weight,EDGE test: Fold change,EDGE test: Bonferroni,FDR p-value correction
ENSSSCG00000030849,RPL39,2484.63,2856.67,2.991,0.055,0.0018
ENSSSCG00000030546,HSD11B1L,2613.63,2839.44,2.588,0.469,0.0052
ENSSSCG00000035666,C20orf27,2665.5,2691.44,2.32,1,0.0091
ENSSSCG00000039647,EIF3F,2732,2542.56,2.058,1,0.0414
ENSSSCG00000002704,KARS1,2955.13,2476.56,2.055,1,0.0318
ENSSSCG00000030149,CAPNS1,3341.38,2454.44,2.081,1,0.0488
ENSSSCG00000013597,RPS28,2361.75,2335,2.371,1,0.0106
ENSSSCG00000000273,PRR13,2519.13,2320.44,6.056,1,0.0298
ENSSSCG00000004222,NCOA7,1875,2284.89,2.487,1,0.0121
ENSSSCG00000015340,ASNS,1176.25,2261.22,4.717,0.007,0.0007
ENSSSCG00000013654,ENSSSCG00000013654,1375.75,1960.33,2.58,1,0.0135
ENSSSCG00000041401,ENSSSCG00000041401,1666.5,1834.33,2.348,1,0.0153
ENSSSCG00000039046,RPL36A-HNRNPH2,1755.38,1827.89,2.549,1,0.0132
ENSSSCG00000024437,AP2M1,1823.75,1813.89,2.248,1,0.0307
ENSSSCG00000022742,PRDX6,1526.63,1804,2.377,1,0.0168
ENSSSCG00000044572,ENSSSCG00000044572,1642.38,1775.22,2.587,0.176,0.003
ENSSSCG00000002042,OXA1L,1343.88,1557,2.676,1,0.016
ENSSSCG00000023495,PITHD1,1267.38,1417,2.278,1,0.0253
ENSSSCG00000012961,ENSSSCG00000012961,1693.75,1411.89,2.219,1,0.0169
ENSSSCG00000014264,HINT1,1057.25,1346.22,2.981,0.189,0.0031
ENSSSCG00000023585,SERINC2,889.75,1266.89,2.798,1,0.0204
ENSSSCG00000013074,RAB3IL1,662.88,1184.11,3.513,1,0.0293
ENSSSCG00000008061,ELOB,1189.88,1175.67,2.205,1,0.0211
ENSSSCG00000006361,PPOX,718.88,1101,3.172,1,0.0169
ENSSSCG00000017190,EXOC7,829.38,993,2.983,1,0.045
ENSSSCG00000012841,PNPLA2,973.63,957.44,2.173,1,0.0435
ENSSSCG00000017359,RUNDC3A,555.13,917.56,3.279,1,0.0365
ENSSSCG00000033627,YIPF3,920.13,867.44,2.077,1,0.0396
ENSSSCG00000016677,GARS1,679.13,863.33,3.749,0.712,0.007
ENSSSCG00000007986,NME4,647.25,787.78,2.265,1,0.0322
ENSSSCG00000003660,PABPC4,717.38,781.22,2.776,1,0.0174
ENSSSCG00000033003,WFDC2,185.25,767.33,12.046,0.003,0.0004
ENSSSCG00000022404,SLC3A2,551.25,671.67,2.754,1,0.0252
ENSSSCG00000046199,ENSSSCG00000046199,416,595.89,3.257,0.145,0.0028
ENSSSCG00000031773,ENSSSCG00000031773,565.5,587.22,2.138,1,0.016
ENSSSCG00000036483,ENSSSCG00000036483,693.13,575.33,2.024,1,0.0302
ENSSSCG00000013643,CDKN2D,642.25,569.89,2.217,1,0.0213
ENSSSCG00000037228,RRAGB,411.38,553.56,2.403,1,0.045
ENSSSCG00000031140,ENSSSCG00000031140,391.88,520.22,2.841,1,0.0103
ENSSSCG00000040118,ENSSSCG00000040118,427.63,462.22,2.222,1,0.01
ENSSSCG00000012817,FUNDC2,443.88,453.33,2.645,0.043,0.0018
ENSSSCG00000037046,TUBB4B,494.75,440.67,2.045,1,0.0239
ENSSSCG00000001709,SUPT3H,266,423.67,3.45,0.01,0.0008
ENSSSCG00000039348,H1-0,263.13,416.33,3.647,1,0.02
ENSSSCG00000016218,PTPRN,159.63,401,4.678,0.731,0.007
ENSSSCG00000045485,ENSSSCG00000045485,467.25,387.67,2.141,1,0.0362
ENSSSCG00000006496,LMNA,567.88,384.67,2.037,0.884,0.008
ENSSSCG00000037728,ANAPC16,404.13,369.78,2.458,0.181,0.0031
ENSSSCG00000025981,SLC38A5,283.88,339.22,2.309,1,0.0327
ENSSSCG00000034876,PET100,381,338.89,2.059,1,0.0499
