sample-id,Identity,Variation,Variation No.,Source,Depth,Timepoint,Plot,Cover-crop-category,Site,Year,Root-extent,Subproject,Project
#q2:types,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical
T1_RC-60_29,Brassica/Grass_RC,Brassica/Grass,10,CR,60,T1,29,Mixture,HS,2021,Mixture,SP2,RWS1
T1_RC-90_29,Brassica/Grass_RC,Brassica/Grass,10,CR,120,T1,29,Mixture,HS,2021,Mixture,SP2,RWS1
T2_BS-30_29,Brassica/Grass_BS,Brassica/Grass,10,BS,30,T2,29,Mixture,HS,2021,Mixture,SP2,RWS1
T2_RC-30_29,Brassica/Grass_RC,Brassica/Grass,10,CR,30,T2,29,Mixture,HS,2021,Mixture,SP2,RWS1
T2_MBS-30_29,Brassica/Grass_MBS,Brassica/Grass,10,MBS,30,T2,29,Mixture,HS,2021,Mixture,SP2,RWS1
T2_MRC-30_29,Brassica/Grass_MRC,Brassica/Grass,10,MCR,30,T2,29,Mixture,HS,2021,Mixture,SP2,RWS1
T2_BS-30_17,Brassica/Grass_BS,Brassica/Grass,10,BS,30,T2,17,Mixture,HS,2021,Mixture,SP2,RWS1
T2_RC-30_17,Brassica/Grass_RC,Brassica/Grass,10,CR,30,T2,17,Mixture,HS,2021,Mixture,SP2,RWS1
T2_MBS-30_17,Brassica/Grass_MBS,Brassica/Grass,10,MBS,30,T2,17,Mixture,HS,2021,Mixture,SP2,RWS1
T2_MRC-30_17,Brassica/Grass_MRC,Brassica/Grass,10,MCR,30,T2,17,Mixture,HS,2021,Mixture,SP2,RWS1
T2_BS-30_31,Brassica/Grass_BS,Brassica/Grass,10,BS,30,T2,31,Mixture,HS,2021,Mixture,SP2,RWS1
T2_RC-30_31,Brassica/Grass_RC,Brassica/Grass,10,CR,30,T2,31,Mixture,HS,2021,Mixture,SP2,RWS1
T2_MBS-30_31,Brassica/Grass_MBS,Brassica/Grass,10,MBS,30,T2,31,Mixture,HS,2021,Mixture,SP2,RWS1
T2_MRC-30_31,Brassica/Grass_MRC,Brassica/Grass,10,MCR,30,T2,31,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MBS-30_31,Brassica/Grass_MBS,Brassica/Grass,10,MBS,30,T3,31,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MBS-60_31,Brassica/Grass_MBS,Brassica/Grass,10,MBS,60,T3,31,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MRC-30_31,Brassica/Grass_MRC,Brassica/Grass,10,MCR,30,T3,31,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MRC-60_31,Brassica/Grass_MRC,Brassica/Grass,10,MCR,60,T3,31,Mixture,HS,2021,Mixture,SP2,RWS1
T3_RC-30_31,Brassica/Grass_RC,Brassica/Grass,10,CR,30,T3,31,Mixture,HS,2021,Mixture,SP2,RWS1
T3_RC-60_31,Brassica/Grass_RC,Brassica/Grass,10,CR,60,T3,31,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MBS-30_5,Brassica/Grass_MBS,Brassica/Grass,10,MBS,30,T3,5,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MBS-60_5,Brassica/Grass_MBS,Brassica/Grass,10,MBS,60,T3,5,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MRC-30_5,Brassica/Grass_MRC,Brassica/Grass,10,MCR,30,T3,5,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MRC-60_5,Brassica/Grass_MRC,Brassica/Grass,10,MCR,60,T3,5,Mixture,HS,2021,Mixture,SP2,RWS1
T3_RC-30_5,Brassica/Grass_RC,Brassica/Grass,10,CR,30,T3,5,Mixture,HS,2021,Mixture,SP2,RWS1
T3_RC-60_5,Brassica/Grass_RC,Brassica/Grass,10,CR,60,T3,5,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MBS-30_17,Brassica/Grass_MBS,Brassica/Grass,10,MBS,30,T3,17,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MBS-60_17,Brassica/Grass_MBS,Brassica/Grass,10,MBS,60,T3,17,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MRC-30_17,Brassica/Grass_MRC,Brassica/Grass,10,MCR,30,T3,17,Mixture,HS,2021,Mixture,SP2,RWS1
T3_MRC-60_17,Brassica/Grass_MRC,Brassica/Grass,10,MCR,60,T3,17,Mixture,HS,2021,Mixture,SP2,RWS1
T3_RC-30_17,Brassica/Grass_RC,Brassica/Grass,10,CR,30,T3,17,Mixture,HS,2021,Mixture,SP2,RWS1
T3_RC-60_17,Brassica/Grass_RC,Brassica/Grass,10,CR,60,T3,17,Mixture,HS,2021,Mixture,SP2,RWS1
