Species,Protocol,RunID,Elapsed,A,Ci,Tleaf,CO2_r,PAR,VPDleaf
Tobacco,DAT,DAT_1,70,7.287242681,151.3054876,24.9696,251.9402,999.9981,1.486418294
Tobacco,DAT,DAT_1,80,8.663885309,172.785631,24.97195,285.6838,999.9929,1.486417868
Tobacco,DAT,DAT_1,85,9.216915585,185.4828951,24.9725,303.5513333,1000.055,1.486913024
Tobacco,DAT,DAT_1,95,10.8326764,205.2471491,24.98093333,337.3363333,1000.012,1.488030796
Tobacco,DAT,DAT_1,105,12.1096048,227.7788695,24.98568889,370.885,999.9744444,1.489050724
Tobacco,DAT,DAT_1,110,12.81729983,237.4816687,24.98563,386.7679,1000.0668,1.489224927
Tobacco,DAT,DAT_1,135,16.1712981,293.8068877,24.98757778,471.7213333,999.9782222,1.488894461
Tobacco,DAT,DAT_1,140,16.5287349,306.6943229,24.98512,487.588,1000.0055,1.488773202
Tobacco,DAT,DAT_1,145,17.34523923,317.8800314,24.99166667,505.2803333,999.9625556,1.490218457
Tobacco,DAT,DAT_1,150,17.84473003,329.1181292,24.98893,521.0433,999.9991,1.489325791
Tobacco,DAT,DAT_1,164.5,19.16681842,367.1891386,24.98791,569.5992,1000.0419,1.490828968
Tobacco,DAT,DAT_1,170,19.66281704,381.4990722,24.98648,588.2195,999.9987,1.490493547
Tobacco,DAT,DAT_1,175,19.9771484,395.9135235,24.99515556,605.5974444,1000.018111,1.491755966
Tobacco,DAT,DAT_1,200,21.21158751,467.7962542,25.00298,687.2124,1000.0712,1.492201125
Tobacco,DAT,DAT_1,230,21.92917163,561.5690003,24.97398,788.0962,999.9392,1.486940169
Tobacco,DAT,DAT_1,235,21.83097676,579.9813319,24.97776667,805.7637778,999.9453333,1.488229676
Tobacco,DAT,DAT_1,240,21.89946478,595.3552594,24.97665,821.4992,999.9492,1.489624272
Tobacco,DAT,DAT_1,245,21.64330883,614.6232985,24.97523333,839.2427778,1000.030778,1.489974878
Tobacco,DAT,DAT_1,250,21.95748135,628.0611819,24.97028,854.9183,1000.0311,1.488899963
Tobacco,DAT,DAT_1,255,22.11888411,644.2280666,24.97696667,872.6876667,1000.065,1.489559727
Tobacco,DAT,DAT_1,265,22.17693279,676.9321526,24.97545556,906.2628889,999.9692222,1.487383716
Tobacco,DAT,DAT_1,270,22.17512183,692.1537392,24.98188,922.0137,1000.0229,1.487682304
Tobacco,DAT,DAT_1,275,22.11077544,711.2859673,24.98064444,939.8043333,1000.028444,1.487897367
Tobacco,DAT,DAT_1,280,22.26627265,725.7168216,24.98366,955.541,1000.0192,1.489315505
Tobacco,DAT,DAT_1,285,22.26586623,742.9655656,24.98591111,973.2255556,999.9757778,1.489554425
Tobacco,DAT,DAT_1,290,22.64106254,755.7262931,24.99448,989.0774,1000.02,1.490791754
Tobacco,DAT,DAT_1,295,22.53399287,773.6483805,24.99788889,1006.891111,999.9865556,1.49074175
Tobacco,DAT,DAT_1,300,22.59381717,789.3013864,25.0051,1022.368,999.9886,1.492032903
Tobacco,DAT,DAT_1,305,22.26306146,808.6372132,25.00421111,1040.44,999.9854444,1.491662085
Tobacco,DAT,DAT_1,310,23.01695739,820.1465306,25.00096,1056.171,999.9829,1.491880825
Tobacco,DAT,DAT_1,315,22.63727724,839.4467978,25.00822222,1073.682222,999.9832222,1.494993815
Tobacco,DAT,DAT_1,320,22.25282367,857.0990326,25.0066,1089.472,999.9833,1.495543377
Tobacco,DAT,DAT_1,330,22.5883686,888.0562384,25.00457,1123.157,999.9813,1.495202155
Tobacco,DAT,DAT_1,335,22.73639158,904.2707487,25.00482222,1140.82,999.9788889,1.494908872
Tobacco,DAT,DAT_1,340,22.66161305,920.1733438,24.99976,1156.549,999.9867,1.493658193
Tobacco,DAT,DAT_1,344.5,22.36181561,937.0942228,24.99949,1171.512,999.936,1.493618382
Tobacco,DAT,DAT_1,349.5,22.52375364,953.9811925,24.9976,1189.285556,1000.009556,1.493944474
Tobacco,DAT,DAT_1,354.5,22.52413926,969.0633989,25.0009,1205.085,999.9927,1.494920295
