IDO1,CCR7,FOXP3,CD4,PDCD1,CCL22,EPCAM,CCL19,CD8A,CXCL10,CD3E,TCF7,AF_R3,AF_R2,AF_R1,nucleus_perim,slide,x,y,type,comp
0,3,1,32,1,1,0,0,0,0,0,0,0,2,2,28.426165,MSa29_05,16880.5,3942,AF,MSa29_05_1
0,0,0,10,1,0,0,0,0,0,4,0,0,0,0,14.961139,MSa29_05,16791,3939.5,TCF7- CD4 T cells,MSa29_05_1
0,1,8,5,1,0,0,0,0,0,0,0,0,0,0,14.961139,MSa29_05,16821,3939,Other,MSa29_05_1
0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,24.436527,MSa29_05,16900.5,3942,Other,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10.971502,MSa29_05,16770.5,3941,Other,MSa29_05_1
0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,22.940413,MSa29_05,16803,3947,CCL19+ cells,MSa29_05_1
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,20.44689,MSa29_05,16842,3949.5,Other,MSa29_05_1
0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,14.961139,MSa29_05,16828,3947.5,CCL19+ cells,MSa29_05_1
0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,15.958549,MSa29_05,16909,3952.5,CCL19+ cells,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16.955957,MSa29_05,16857.5,3953,Other,MSa29_05_1
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,26.93005,MSa29_05,16795.5,3960,Other,MSa29_05_1
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11.968911,MSa29_05,16818,3957.5,Other,MSa29_05_1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.457253,MSa29_05,16831.5,3962,Other,MSa29_05_1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.953367,MSa29_05,16866.5,3962,Other,MSa29_05_1
0,4,3,24,1,0,0,1,0,0,0,0,0,0,0,22.940413,MSa29_05,16916.5,3968,CCL19+ cells,MSa29_05_1
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,24.436527,MSa29_05,16846,3970,Other,MSa29_05_1
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,12.467616,MSa29_05,16897,3975.5,Other,MSa29_05_1
1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,26.93005,MSa29_05,16818.5,3979,Other,MSa29_05_1
0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,19.948185,MSa29_05,16865,3980.5,Other,MSa29_05_1
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11.470206,MSa29_05,16799,3980.5,Other,MSa29_05_1
0,2,0,8,1,0,0,0,0,0,0,4,0,0,0,17.953367,MSa29_05,16849.5,3987,Other,MSa29_05_1
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18.950775,MSa29_05,16889.5,3988,Other,MSa29_05_1
0,0,0,4,1,0,0,19,0,0,0,0,0,0,0,15.958549,MSa29_05,16905.5,3995,CCL19+ cells,MSa29_05_1
0,0,0,7,2,0,0,1,0,0,0,0,0,0,0,15.958549,MSa29_05,16818,3994.5,CCL19+ cells,MSa29_05_1
0,0,1,12,0,0,0,0,0,4,0,0,0,0,0,14.961139,MSa29_05,16799,3996,CXCL10+ EPCAM- cells,MSa29_05_1
0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,15.459844,MSa29_05,16837,4001,CCL19+ cells,MSa29_05_1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.477979,MSa29_05,16857,4000,Other,MSa29_05_1
0,0,0,9,1,0,0,3,0,0,0,0,0,0,0,8.976684,MSa29_05,16895,4001,CCL19+ cells,MSa29_05_1
0,0,1,11,2,0,0,0,0,0,1,0,0,0,0,18.950775,MSa29_05,16878,4007.5,Tregs,MSa29_05_1
0,1,0,7,2,0,0,0,0,4,0,0,0,0,0,22.940413,MSa29_05,16817.5,4010,CXCL10+ EPCAM- cells,MSa29_05_1
0,0,0,9,1,0,0,2,0,0,0,0,0,0,0,16.955957,MSa29_05,16803,4010.5,CCL19+ cells,MSa29_05_1
0,1,1,8,2,0,0,15,4,0,0,2,0,0,0,20.945595,MSa29_05,16913,4014,CCL19+ cells,MSa29_05_1
0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,14.462435,MSa29_05,16899.5,4013.5,TCF7- CD4 T cells,MSa29_05_1
0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,15.958549,MSa29_05,16837,4019,Other,MSa29_05_1
0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,19.948185,MSa29_05,16863,4024,Other,MSa29_05_1
0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,17.953367,MSa29_05,16814,4029,EPCAM+ cells,MSa29_05_1
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15.459844,MSa29_05,16888,4029.5,Other,MSa29_05_1
0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,12.96632,MSa29_05,16903,4030,Other,MSa29_05_1
0,1,1,13,2,0,0,1,0,0,1,1,0,0,0,17.454662,MSa29_05,16916.5,4035,Tregs,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23.439117,MSa29_05,16872.5,4044.5,Other,MSa29_05_1
0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,23.937822,MSa29_05,16834.5,4042,CCL19+ cells,MSa29_05_1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11.968911,MSa29_05,16857.5,4041.5,Other,MSa29_05_1
0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,17.953367,MSa29_05,16909,4044.5,Other,MSa29_05_1
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,16.457253,MSa29_05,16840.5,4058.5,Other,MSa29_05_1
0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,21.943005,MSa29_05,16914,4064,CCL19+ cells,MSa29_05_1
0,1,0,15,0,0,0,1,0,0,0,0,0,0,0,21.943005,MSa29_05,16890,4064,CCL19+ cells,MSa29_05_1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.953367,MSa29_05,16856.5,4072.5,Other,MSa29_05_1
0,0,2,24,0,0,0,4,0,0,0,0,0,0,0,17.953367,MSa29_05,16876.5,4072.5,CCL19+ cells,MSa29_05_1
