treatment,pair,carcass,male_pop,male_treatment,female_pop,female_treatment,treat_cross,cross,MALE_ID,MALE_SIZE,FEMALE_ID,FEMALE_SIZE,no_eggs,hole,no_larvae,brood_mass,failure
F,6,11.97,F1,F,N1,N,FN,F1N1,F1_15-04,5.41,N1_22-04,4.28,26,0,18,2.7096,Success
N,7,10.74,F1,F,N1,N,FN,F1N1,F1_14-03,4.64,N1_19-06,4.49,26,0,0,0,Fail
N,8,10.74,F1,F,N1,N,FN,F1N1,F1_11-01,#N/A,N1_01-09,#N/A,9,0,6,0.4916,Success
F,9,11.47,F1,F,N1,N,FN,F1N1,F1_11-06,3.39,N1_03-11,4.4,17,0,11,1.9183,Success
N,10,10.2,F1,F,N1,N,FN,F1N1,F1_13-05,4.85,N1_06-06,4.25,20,0,21,2.6205,Success
N,11,10.28,F1,F,N1,N,FN,F1N1,F1_01-01,4.48,N1_08-11,4.38,3,1,0,0,Fail
F,12,12.38,F1,F,N1,N,FN,F1N1,F1_13-01,4.84,N1_07-04,4.62,31,0,19,3.0143,Success
N,13,10.25,F1,F,N1,N,FN,F1N1,F1_07-01,4.5,N1_03-05,4.78,31,0,36,2.9325,Success
F,14,10.48,F1,F,N1,N,FN,F1N1,F1_09-05,4.55,N1_05-09,#N/A,3,0,27,3.0636,Success
N,15,10.9,F1,F,N1,N,FN,F1N1,F1_10-04,5.31,N1_06-07,4.75,20,1,NA,NA,NA
N,16,10.88,F1,F,N1,N,FN,F1N1,F1_02-05,4.45,N1_11-02,3.45,16,1,7,0.9292,Success
N,17,12.59,F1,F,N1,N,FN,F1N1,F1_09-10,Na,N1_19-01,4.76,18,1,NA,NA,NA
F,18,10.85,F1,F,N1,N,FN,F1N1,F1_01-06,4.26,N1_05-01,4.52,11,0,25,3.553,Success
N,19,10.09,F1,F,N1,N,FN,F1N1,F1_20-01,5.2,N1_19-03,4.53,25,0,18,2.324,Success
F,20,12.96,F1,F,N1,N,FN,F1N1,F1_21-04,4.66,N1_03-03,4.15,14,0,14,2.3482,Success
N,21,10.62,F1,F,N1,N,FN,F1N1,F1_01-11,4.45,N1_06-04,4.81,13,0,0,NA,Success
N,22,10.06,F1,F,N1,N,FN,F1N1,F1_21-09,Na,N1_19-04,NA,22,NA,NA,NA,NA
NA,23,10.69,F1,F,N1,N,FN,F1N1,F1_NA,#N/A,N1_NA,#N/A,NA,NA,NA,NA,NA
NA,24,12.35,F1,F,N1,N,FN,F1N1,F1_NA,#N/A,N1_NA,#N/A,NA,NA,NA,NA,NA
NA,25,12.09,F1,F,N1,N,FN,F1N1,F1_NA,#N/A,N1_NA,#N/A,NA,NA,NA,NA,NA
NA,26,10.03,F1,F,N1,N,FN,F1N1,F1_NA,#N/A,N1_NA,#N/A,NA,NA,NA,NA,NA
F,27,11.53,F1,F,N1,N,FN,F1N1,F1_09-03,4.67,N1_09-02,4.98,26,0,8,1.5689,Success
N,28,11.74,F1,F,N1,N,FN,F1N1,F1_10-02,4.42,N1_12-05,5.09,4,0,7,0.9059,Success
F,29,12.42,F1,F,N1,N,FN,F1N1,F1_07-04,4.42,N1_19-07,4.13,4,0,0,0,Fail
N,30,12.97,F1,F,N1,N,FN,F1N1,F1_02-04,NA,N1_12-04,4.2,30,0,27,2.9683,Success
F,31,12.39,F1,F,N1,N,FN,F1N1,F1_01-05,5.28,N1_09-04,4.51,12,0,10,1.7837,Success
N,32,12.43,F1,F,N1,N,FN,F1N1,F1_22-02,4.77,N1_22-07,4.58,19,1,12,1.7004,Success
N,33,11.15,F1,F,N1,N,FN,F1N1,F1_20-04,5.05,N1_19-05,#N/A,18,0,8,0.9369,Success
N,34,11.81,F1,F,N1,N,FN,F1N1,F1_20-08,4.53,N1_22-09,4.4,10,0,4,0.464,Success
F,35,10.61,F1,F,N1,N,FN,F1N1,F1_18-03,5.06,N1_05-07,#N/A,16,0,15,2.5167,Success
N,36,11.22,F1,F,N1,N,FN,F1N1,F1_17-06,4.47,N1_05-08,4.6,24,0,20,2.2963,Success
F,37,11.11,F1,F,N1,N,FN,F1N1,F1_17-08,#N/A,N1_08-07,4.74,27,0,22,2.8727,Success
N,38,11.12,F1,F,N1,N,FN,F1N1,F1_15-06,5.56,N1_22-01,4.51,19,0,0,0,Fail
N,39,11.62,F1,F,N1,N,FN,F1N1,F1_14-05,4.59,N1_18-01,4.3,15,0,7,0.8784,Success
F,40,10.54,F1,F,N1,N,FN,F1N1,F1_11-07,5.24,N1_06-01,4.82,13,1,13,2.1175,Success
N,41,11.29,F1,F,N1,N,FN,F1N1,F1_13-07,5.03,N1_18-03,4.93,18,0,12,1.4239,Success
F,42,11.35,F1,F,N1,N,FN,F1N1,F1_09-08,5.19,N1_05-03,4.19,14,0,21,2.771,Success
N,43,12.73,F1,F,N1,N,FN,F1N1,F1_11-02,5.2,N1_21-03,5.62,38,0,23,2.7791,Success
F,44,12.79,F1,F,N1,N,FN,F1N1,F1_22-01,5.43,N1_01-06,#N/A,32,0,29,3.4742,Success
N,45,10.98,F1,F,N1,N,FN,F1N1,F1_21-03,5.24,N1_03-06,4.64,15,1,4,0.4208,Success
N,46,10.3,F1,F,N1,N,FN,F1N1,F1_01-09,5.3,N1_05-10,#N/A,22,0,0,0,Fail
F,47,12.49,F1,F,N1,N,FN,F1N1,F1_21-07,5.16,N1_08-08,4.17,12,0,19,2.6669,Success
F,48,11.56,F1,F,N1,N,FN,F1N1,F1_20-06,5.11,N1_07-02,5.36,25,0,21,2.8062,Success
N,49,11.29,F1,F,N1,N,FN,F1N1,F1_13-01,4.84,N1_12-01,4.31,25,0,6,0.8085,Success
N,50,13,F1,F,N1,N,FN,F1N1,F1_17-04,4.2,N1_03-01,4.75,33,0,30,3.1214,Success
N,51,11.52,F1,F,N1,N,FN,F1N1,F1_19-03,5.7,N1_12-03,5.08,38,0,20,2.4872,Success
F,52,11.71,F1,F,N1,N,FN,F1N1,F1_14-02,#N/A,N1_01-03,NA,25,0,13,2.0949,Success
F,53,12.93,F1,F,N1,N,FN,F1N1,F1_14-08,4.17,N1_22-08,4.9,11,0,16,2.8463,Success
N,54,11.37,F1,F,N1,N,FN,F1N1,F1_11-05,5.54,N1_17-04,5.6,30,0,14,1.6008,Success
F,55,11.64,F1,F,N1,N,FN,F1N1,F1_13-04,4.62,N1_23-04,4.47,16,0,18,2.6502,Success
F,1,10.64,F2,F,N2,N,FN,F2N2,F2_17-05,4.64,N2_25-01,4.67,10,0,28,3.3069,Success
N,2,11.58,F2,F,N2,N,FN,F2N2,F2_24-04,3.96,N2_16-02,4.02,22,0,0,0,Fail
N,3,12.74,F2,F,N2,N,FN,F2N2,F2_13-04,4.96,N2_22-04,4.97,14,0,0,0,Fail
F,4,10.52,F2,F,N2,N,FN,F2N2,F2_25-04,4.42,N2_17-03,4.95,28,0,36,3.4471,Success
N,5,11.76,F2,F,N2,N,FN,F2N2,F2_12-04,4.78,N2_20-09,4.72,12,0,35,3.3953,Success
N,6,11.54,F2,F,N2,N,FN,F2N2,F2_10-04,4.62,N2_09-05,4.37,19,0,0,0,Fail
N,7,12.96,F2,F,N2,N,FN,F2N2,F2_15-02,4.64,N2_11-04,4.33,10,0,37,3.6412,Success
N,8,10.82,F2,F,N2,N,FN,F2N2,F2_10-05,4.73,N2_07-02,4.7,24,0,NA,NA,NA
F,9,11.3,F2,F,N2,N,FN,F2N2,F2_09-06,4.56,N2_18-01,4.5,22,1,28,3.4872,Success
N,10,10.56,F2,F,N2,N,FN,F2N2,F2_17-06,4.85,N2_15-02,4.64,32,0,5,0.4811,Success
N,11,11.26,F2,F,N2,N,FN,F2N2,F2_04-04,4.74,N2_02-04,4.5,7,0,11,1.3981,Success
N,12,11.9,F2,F,N2,N,FN,F2N2,F2_17-04,4.72,N2_12-02,4.95,27,0,0,0,Fail
F,13,12.29,F2,F,N2,N,FN,F2N2,F2_18-04,4.36,N2_01-05,3.99,9,0,9,1.5123,Success
N,14,11.5,F2,F,N2,N,FN,F2N2,F2_05-04,4.29,N2_06-02,5.2,38,0,7,0.983,Success
N,15,11.48,F2,F,N2,N,FN,F2N2,F2_19-04,NA,N2_07-03,4.77,20,0,12,1.5118,Success
F,16,10.35,F2,F,N2,N,FN,F2N2,F2_20-04,4.5,N2_14-04,4.8,20,0,21,3.072,Success
N,17,11.1,F2,F,N2,N,FN,F2N2,F2_07-04,5.3,N2_15-01,4.3,10,0,0,0,Fail
F,18,11.46,F2,F,N2,N,FN,F2N2,F2_21-04,4.44,N2_02-03,4.71,15,0,18,2.8566,Success
N,19,10.88,F2,F,N2,N,FN,F2N2,F2_08-04,4.68,N2_04-04,4.93,27,0,0,0,Fail
N,20,11.89,F2,F,N2,N,FN,F2N2,F2_09-04,3.96,N2_21-01,4.16,18,0,20,2.3933,Success
F,21,11.95,F2,F,N2,N,FN,F2N2,F2_22-04,4.5,N2_25-03,4.48,29,0,33,3.5936,Success
N,22,10.61,F2,F,N2,N,FN,F2N2,F2_19-03,4.54,N2_22-02,#N/A,9,1,42,3.1865,Success
F,23,12.03,F2,F,N2,N,FN,F2N2,F2_20-03,4.7,N2_16-03,4.51,9,0,0,NA,NA
F,24,12.38,F2,F,N2,N,FN,F2N2,F2_07-03,4.78,N2_17-04,4.93,11,0,27,3.3192,Success
N,25,12.53,F2,F,N2,N,FN,F2N2,F2_21-03,4.58,N2_20-05,#N/A,34,0,0,0,Fail
N,26,10.7,F2,F,N2,N,FN,F2N2,F2_08-03,4.43,N2_11-01,4.59,32,0,30,3.2373,Success
N,27,11.16,F2,F,N2,N,FN,F2N2,F2_09-03,4.7,N2_05-03,4.62,23,0,3,0.3049,Success
N,28,12.97,F2,F,N2,N,FN,F2N2,F2_22-03,4.57,N2_13-03,4.4,8,1,3,0.3575,Success
F,29,10.91,F2,F,N2,N,FN,F2N2,F2_24-02,4.98,N2_03-04,3.93,7,1,29,3.2628,Success
F,30,11.38,F2,F,N2,N,FN,F2N2,F2_25-03,#N/A,N2_10-05,4.29,2,0,23,3.1385,Success
N,31,11.42,F2,F,N2,N,FN,F2N2,F2_13-03,4.95,N2_19-01,4.39,17,1,7,0.8921,Success
N,32,11.84,F2,F,N2,N,FN,F2N2,F2_10-03,4.67,N2_03-05,4.81,25,0,0,0,Fail
F,33,10.92,F2,F,N2,N,FN,F2N2,F2_12-03,4.95,N2_08-01,5.07,29,0,19,2.5584,Success
NA,34,11.95,F2,F,N2,N,FN,F2N2,F2_16-03,5.09,N2_25-02,4.63,NA,NA,NA,NA,NA
N,35,10.65,F2,F,N2,N,FN,F2N2,F2_03-03,5.41,N2_16-01,4.84,22,1,21,2.4392,Success
F,36,10.62,F2,F,N2,N,FN,F2N2,F2_04-03,4.66,N2_22-05,4.07,19,0,27,3.587,Success
N,37,10.13,F2,F,N2,N,FN,F2N2,F2_17-03,4.33,N2_17-05,4.22,14,0,0,0,Fail
F,38,11.83,F2,F,N2,N,FN,F2N2,F2_07-02,5.6,N2_09-01,4.78,7,0,4,0.7333,Success
N,39,11.92,F2,F,N2,N,FN,F2N2,F2_21-02,4.65,N2_05-01,#N/A,34,1,21,2.5692,Success
N,40,10.74,F2,F,N2,N,FN,F2N2,F2_15-05,5.01,N2_11-05,4.59,20,0,35,3.3378,Success
N,41,12.63,F2,F,N2,N,FN,F2N2,F2_28-05,#N/A,N2_13-04,4.67,23,1,21,2.5585,Success
F,42,11.35,F2,F,N2,N,FN,F2N2,F2_18-06,3.92,N2_07-05,4.91,24,0,14,2.4906,Success
F,43,12.36,F2,F,N2,N,FN,F2N2,F2_24-05,5.11,N2_14-02,4.84,24,0,18,2.4019,Success
N,44,11.43,F2,F,N2,N,FN,F2N2,F2_01-03,4.39,N2_18-04,4.93,21,0,23,2.1958,Success
N,45,12.6,F2,F,N2,N,FN,F2N2,F2_02-03,4.71,N2_15-05,4.65,21,0,34,2.5769,Success
N,46,11.75,F2,F,N2,N,FN,F2N2,F2_12-02,5.31,N2_04-02,5.24,0,1,NA,NA,NA
F,47,11.78,F2,F,N2,N,FN,F2N2,F2_18-07,4.27,N2_19-02,4.37,17,0,17,2.2937,Success
F,48,12.27,F2,F,N2,N,FN,F2N2,F2_01-04,4.17,N2_06-03,5.25,38,0,36,4.0309,Success
N,49,10.93,F2,F,N2,N,FN,F2N2,F2_02-04,4.92,N2_07-04,4.73,38,0,0,0,Fail
N,50,11.83,F2,F,N2,N,FN,F2N2,F2_16-04,4.4,N2_14-03,4.67,9,0,0,0,Fail
F,51,12.72,F2,F,N2,N,FN,F2N2,F2_03-04,4.98,N2_18-05,#N/A,17,0,25,2.8917,Success
N,52,12.43,F2,F,N2,N,FN,F2N2,F2_10-02,4.42,N2_21-06,4.08,19,1,25,2.5431,Success
F,53,12.79,F2,F,N2,N,FN,F2N2,F2_15-03,5.07,N2_02-02,#N/A,24,1,37,3.8623,Success
F,54,12.73,F2,F,N2,N,FN,F2N2,F2_10-06,4.57,N2_04-05,5.12,32,0,24,2.9606,Success
F,55,12.31,F2,F,N2,N,FN,F2N2,F2_08-06,4.89,N2_21-05,4.93,24,0,17,3.0001,Success
N,1,10.3,N1,N,F1,F,NF,N1F1,N1_03-04,4.2,F1_09-02,4.84,36,0,21,2.6678,Success
N,2,12.75,N1,N,F1,F,NF,N1F1,N1_06-04,4.67,F1_07-06,#N/A,22,1,NA,NA,NA
N,3,12.44,N1,N,F1,F,NF,N1F1,N1_08-03,#N/A,F1_15-07,4.46,18,0,3,0.2791,Success
F,4,10.42,N1,N,F1,F,NF,N1F1,N1_11-02,#N/A,F1_17-02,4.31,32,0,20,2.6159,Success
F,5,10.94,N1,N,F1,F,NF,N1F1,N1_17-02,4.95,F1_21-04,5.37,19,0,17,2.86,Success
N,6,10.46,N1,N,F1,F,NF,N1F1,N1_19-06,4.31,F1_22-03,5.05,15,1,12,1.8547,Success
N,7,11.96,N1,N,F1,F,NF,N1F1,N1_22-03,4.62,F1_01-06,4.93,17,0,1,0.1313,Success
F,8,12.48,N1,N,F1,F,NF,N1F1,N1_23-10,4.73,F1_13-09,4.23,11,0,NA,NA,NA
N,9,11.09,N1,N,F1,F,NF,N1F1,N1_17-03,5.83,F1_10-06,5.23,20,0,0,0,Fail
F,10,10.54,N1,N,F1,F,NF,N1F1,N1_19-07,NA,F1_06-02,4.89,22,0,6,1.107,Success
N,11,10.76,N1,N,F1,F,NF,N1F1,N1_23-09,4.67,F1_01-02,5.12,19,0,0,NA,Success
NA,12,12.72,N1,N,F1,F,NF,N1F1,N1_NA,#N/A,F1_NA,#N/A,NA,NA,NA,NA,NA
NA,13,12.8,N1,N,F1,F,NF,N1F1,N1_NA,#N/A,F1_NA,#N/A,NA,NA,NA,NA,NA
NA,14,11.68,N1,N,F1,F,NF,N1F1,N1_NA,#N/A,F1_NA,#N/A,NA,NA,NA,NA,NA
F,15,10,N1,N,F1,F,NF,N1F1,N1_05-07,3.68,F1_07-02,4.65,28,0,0,0,Fail
N,16,10.74,N1,N,F1,F,NF,N1F1,N1_11-10,3.73,F1_20-03,4.04,24,0,10,1.3,Success
N,17,10.71,N1,N,F1,F,NF,N1F1,N1_18-04,5,F1_21-07,4.49,27,1,24,2.557,Success
N,18,10.11,N1,N,F1,F,NF,N1F1,N1_23-01,4.62,F1_13-01,4.41,10,1,8,1.2286,Success
F,19,12.64,N1,N,F1,F,NF,N1F1,N1_12-01,4.41,F1_11-03,3.93,10,1,5,1.1088,Success
N,20,11.73,N1,N,F1,F,NF,N1F1,N1_18-05,5.24,F1_09-06,4.71,30,0,10,1.2902,Success
F,21,12.37,N1,N,F1,F,NF,N1F1,N1_22-04,NA,F1_24-01,5.58,49,0,37,4.1026,Success
N,22,10.03,N1,N,F1,F,NF,N1F1,N1_19-05,NA,F1_11-07,3.83,16,1,23,2.2124,Success
N,23,11.96,N1,N,F1,F,NF,N1F1,N1_22-02,4.64,F1_13-07,4.83,32,0,16,2.1474,Success
F,24,12.29,N1,N,F1,F,NF,N1F1,N1_03-02,4.69,F1_14-05,4.49,8,1,24,3.4512,Success
N,25,12.61,N1,N,F1,F,NF,N1F1,N1_05-05,4.22,F1_14-04,4.71,15,1,5,0.6692,Success
N,26,11.57,N1,N,F1,F,NF,N1F1,N1_05-03,4.36,F1_14-03,4.63,24,1,30,2.9059,Success
N,27,12.02,N1,N,F1,F,NF,N1F1,N1_08-01,#N/A,F1_17-07,3.82,22,0,0,0,Fail
F,28,12.64,N1,N,F1,F,NF,N1F1,N1_09-01,5.61,F1_20-05,3.49,3,1,3,0.5799,Success
F,29,11.91,N1,N,F1,F,NF,N1F1,N1_03-03,4.86,F1_21-01,5.28,29,0,27,3.1827,Success
N,30,12.9,N1,N,F1,F,NF,N1F1,N1_05-06,4.23,F1_10-02,5.6,37,0,17,2.4591,Success
N,31,11.06,N1,N,F1,F,NF,N1F1,N1_06-03,4.51,F1_20-08,4.82,29,0,0,0,Fail
F,32,11.88,N1,N,F1,F,NF,N1F1,N1_11-01,4.21,F1_22-04,5.47,38,0,27,3.511,Success
F,33,12.6,N1,N,F1,F,NF,N1F1,N1_11-09,4.55,F1_01-05,4.9,24,0,11,2.1103,Success
N,34,11.67,N1,N,F1,F,NF,N1F1,N1_17-01,5.59,F1_06-08,4.67,5,1,0,0,Fail
N,35,12.48,N1,N,F1,F,NF,N1F1,N1_18-03,5.17,F1_11-04,5.35,22,0,0,0,Fail
N,36,10,N1,N,F1,F,NF,N1F1,N1_22-11,#N/A,F1_10-05,4,7,0,20,2.6764,Success
N,37,12.56,N1,N,F1,F,NF,N1F1,N1_22-09,4.66,F1_09-05,4.85,30,1,27,3.5351,Success
F,38,11.13,N1,N,F1,F,NF,N1F1,N1_23-07,4.58,F1_06-01,5.31,17,1,7,1.3596,Success
F,39,10.95,N1,N,F1,F,NF,N1F1,N1_18-02,4.94,F1_06-09,5.1,43,0,2,0.3726,Success
N,40,10.75,N1,N,F1,F,NF,N1F1,N1_19-04,3.95,F1_17-04,4.96,19,0,29,3.1138,Success
N,41,11.8,N1,N,F1,F,NF,N1F1,N1_22-01,4.5,F1_18-02,4.97,10,0,0,0,Fail
F,42,11.27,N1,N,F1,F,NF,N1F1,N1_22-10,4.32,F1_15-08,4.55,16,0,25,2.9298,Success
F,43,12.32,N1,N,F1,F,NF,N1F1,N1_23-08,4.7,F1_14-08,4.92,14,1,0,0,Fail
N,44,10.64,N1,N,F1,F,NF,N1F1,N1_11-08,4.93,F1_14-07,4.97,29,1,0,0,Fail
N,45,12.5,N1,N,F1,F,NF,N1F1,N1_15-01,5.26,F1_14-06,4.93,28,0,6,0.9547,Success
F,46,10.84,N1,N,F1,F,NF,N1F1,N1_03-01,4.99,F1_15-06,5.51,37,0,24,3.1555,Success
N,47,10.3,N1,N,F1,F,NF,N1F1,N1_05-04,#N/A,F1_20-06,4.38,14,1,3,0.4303,Success
F,48,10.88,N1,N,F1,F,NF,N1F1,N1_05-02,4.48,F1_21-02,5.47,30,0,22,3.309,Success
N,49,11.02,N1,N,F1,F,NF,N1F1,N1_07-04,5.06,F1_01-01,5,16,0,25,3.0705,Success
N,50,10.81,N1,N,F1,F,NF,N1F1,N1_08-09,#N/A,F1_02-02,5.14,20,0,5,0.5638,Success
N,51,11.23,N1,N,F1,F,NF,N1F1,N1_09-02,5.12,F1_13-08,4.88,20,1,14,2.0497,Success
F,52,11.18,N1,N,F1,F,NF,N1F1,N1_13-02,4.9,F1_10-01,5.05,26,1,NA,NA,NA
N,53,12.11,N1,N,F1,F,NF,N1F1,N1_18-01,5.26,F1_09-01,4.58,26,1,18,2.4047,Success
F,54,11.74,N1,N,F1,F,NF,N1F1,N1_19-03,4.16,F1_09-10,#N/A,32,1,27,3.5252,Success
F,55,10.49,N1,N,F1,F,NF,N1F1,N1_19-12,4.39,F1_07-01,4.67,12,1,22,2.5326,Success
N,1,10.94,N2,N,F2,F,NF,N2F2,N2_20-05,4.78,F2_19-10,4.59,25,0,NA,NA,NA
N,2,12.82,N2,N,F2,F,NF,N2F2,N2_05-05,4.9,F2_05-03,4.56,14,0,7,0.8447,Success
F,3,12.93,N2,N,F2,F,NF,N2F2,N2_11-05,4.55,F2_20-02,4.59,27,0,28,3.0883,Success
N,4,12.01,N2,N,F2,F,NF,N2F2,N2_12-05,4.52,F2_07-02,5.48,33,0,0,0,Fail
N,5,10.12,N2,N,F2,F,NF,N2F2,N2_03-03,4.76,F2_08-02,4.22,20,1,13,1.5493,Success
F,6,12.05,N2,N,F2,F,NF,N2F2,N2_21-05,4.14,F2_21-03,4.73,30,0,10,1.445,Success
F,7,12.04,N2,N,F2,F,NF,N2F2,N2_20-04,4.84,F2_22-02,4.83,24,0,21,2.4944,Success
N,8,12.13,N2,N,F2,F,NF,N2F2,N2_13-04,4.47,F2_09-03,4.62,7,1,7,0.8547,Success
N,9,11.03,N2,N,F2,F,NF,N2F2,N2_25-03,4.35,F2_24-02,4.9,13,1,0,0,Fail
F,10,12.34,N2,N,F2,F,NF,N2F2,N2_06-05,4.97,F2_19-05,4.51,29,0,15,2.2856,Success
N,11,10.85,N2,N,F2,F,NF,N2F2,N2_11-04,4.49,F2_04-04,4.68,26,0,0,0,Fail
N,12,11.04,N2,N,F2,F,NF,N2F2,N2_05-04,4.65,F2_05-02,4.73,22,0,0,0,Fail
N,13,11.49,N2,N,F2,F,NF,N2F2,N2_11-01,4.38,F2_03-03,5.12,32,0,0,0,Fail
F,14,11.81,N2,N,F2,F,NF,N2F2,N2_16-04,5.03,F2_01-04,4.1,27,0,23,2.822,Success
N,15,12.37,N2,N,F2,F,NF,N2F2,N2_14-04,#N/A,F2_15-03,5.06,1,0,NA,NA,NA
F,16,10.04,N2,N,F2,F,NF,N2F2,N2_22-05,#N/A,F2_02-03,4.04,31,0,5,0.6708,Success
N,17,12.58,N2,N,F2,F,NF,N2F2,N2_18-05,#N/A,F2_03-04,4.53,21,0,29,3.0379,Success
N,18,12.25,N2,N,F2,F,NF,N2F2,N2_15-05,4.31,F2_16-02,4.02,18,1,7,0.9928,Success
N,19,10.97,N2,N,F2,F,NF,N2F2,N2_02-05,4.22,F2_17-02,4.26,23,0,0,0,Fail
N,20,11.63,N2,N,F2,F,NF,N2F2,N2_17-05,5.06,F2_04-02,3.83,11,0,0,0,Fail
F,21,10.99,N2,N,F2,F,NF,N2F2,N2_09-05,4.58,F2_18-02,4.39,19,0,16,2.6657,Success
N,22,10.74,N2,N,F2,F,NF,N2F2,N2_16-01,3.65,F2_19-04,4.64,15,0,1,0.1012,Success
F,23,12.16,N2,N,F2,F,NF,N2F2,N2_21-03,4.94,F2_12-02,4.87,0,1,NA,NA,NA
F,24,11.23,N2,N,F2,F,NF,N2F2,N2_21-06,4.63,F2_25-02,3.72,20,0,7,1.0522,Success
F,25,11.14,N2,N,F2,F,NF,N2F2,N2_24-05,3.75,F2_01-03,5.03,27,1,15,2.2741,Success
N,26,12.09,N2,N,F2,F,NF,N2F2,N2_10-03,4.63,F2_15-02,4.86,19,0,24,2.5875,Success
N,27,12.22,N2,N,F2,F,NF,N2F2,N2_07-04,3.48,F2_02-02,4.58,31,1,13,1.549,Success
N,28,11.23,N2,N,F2,F,NF,N2F2,N2_06-03,4.98,F2_10-05,4.71,11,0,27,2.8353,Success
F,29,12.49,N2,N,F2,F,NF,N2F2,N2_10-01,4.09,F2_05-06,4.3,21,0,7,1.2704,Success
F,30,12.85,N2,N,F2,F,NF,N2F2,N2_08-04,4.98,F2_18-05,4.28,17,0,24,3.3868,Success
F,31,11.49,N2,N,F2,F,NF,N2F2,N2_25-01,4.43,F2_09-05,4.34,7,1,0,0,Fail
N,32,12.16,N2,N,F2,F,NF,N2F2,N2_06-02,4.26,F2_24-04,4.8,23,0,2,0.1997,Success
N,33,11.1,N2,N,F2,F,NF,N2F2,N2_01-03,4.46,F2_10-04,4.33,23,0,23,2.4753,Success
N,34,10.48,N2,N,F2,F,NF,N2F2,N2_01-04,4.03,F2_12-05,4.85,6,1,16,1.753,Success
F,35,10.56,N2,N,F2,F,NF,N2F2,N2_01-05,4.57,F2_22-03,4.42,15,0,5,1.027,Success
F,36,11.28,N2,N,F2,F,NF,N2F2,N2_01-06,4.65,F2_09-04,4.76,2,0,27,3.7107,Success
N,37,10.74,N2,N,F2,F,NF,N2F2,N2_25-04,4.79,F2_19-03,4.76,10,0,20,2.1832,Success
F,38,11.31,N2,N,F2,F,NF,N2F2,N2_04-02,4.95,F2_05-04,3.75,0,0,14,2.1353,Success
N,39,11.49,N2,N,F2,F,NF,N2F2,N2_06-04,4.69,F2_20-03,4.66,22,0,NA,NA,NA
N,40,11.78,N2,N,F2,F,NF,N2F2,N2_07-03,3.88,F2_08-03,4.46,18,0,17,2.0622,Success
F,41,11.85,N2,N,F2,F,NF,N2F2,N2_21-02,4.7,F2_21-04,4.35,19,1,15,2.0342,Success
N,42,11.88,N2,N,F2,F,NF,N2F2,N2_03-05,4.51,F2_08-06,4.84,27,0,25,2.6124,Success
F,43,11.63,N2,N,F2,F,NF,N2F2,N2_24-03,4.63,F2_19-07,3.64,8,0,21,2.2799,Success
F,44,11.72,N2,N,F2,F,NF,N2F2,N2_13-03,4.86,F2_20-06,4.69,23,0,29,3.4602,Success
N,45,12.75,N2,N,F2,F,NF,N2F2,N2_20-04,4.84,F2_16-03,4.56,5,1,3,0.4474,Success
N,46,10.32,N2,N,F2,F,NF,N2F2,N2_16-05,4.05,F2_09-01,4.61,16,0,6,0.8041,Success
N,47,11.07,N2,N,F2,F,NF,N2F2,N2_22-01,4.48,F2_24-01,4.91,38,1,11,1.2383,Success
F,48,11.95,N2,N,F2,F,NF,N2F2,N2_18-01,5.02,F2_10-01,4.4,23,0,17,2.392,Success
N,49,12.77,N2,N,F2,F,NF,N2F2,N2_15-01,4.55,F2_12-01,4.5,31,1,0,0,Fail
F,50,12.88,N2,N,F2,F,NF,N2F2,N2_02-01,4.71,F2_25-01,4.56,21,0,14,1.9424,Success
F,51,12.96,N2,N,F2,F,NF,N2F2,N2_17-01,4.76,F2_1301,#N/A,12,0,20,2.4794,Success
N,52,12.8,N2,N,F2,F,NF,N2F2,N2_09-01,4.69,F2_01-02,4.73,25,1,0,0,Fail
N,53,10.62,N2,N,F2,F,NF,N2F2,N2_20-01,4.68,F2_19-02,4.62,27,0,22,2.2878,Success
N,54,12.27,N2,N,F2,F,NF,N2F2,N2_12-01,4.94,F2_21-02,4.7,34,1,NA,NA,NA
N,55,10.56,N2,N,F2,F,NF,N2F2,N2_03-01,4.78,F2_09-02,4.77,18,0,14,1.6943,Success
