CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Nov_2019,1,AEME,8,HINI,8,5.024211495,0.26409565,2.00E-04,0.0096
Nov_2019,1,AEME,8,COTA,8,4.726403953,0.252392502,2.00E-04,0.0096
Nov_2019,1,AEME,8,KOEL,8,3.486072162,0.199362792,2.00E-04,0.0096
Nov_2019,1,AEME,8,LOAF,8,2.121930135,0.131617624,0.0043,0.0387
Nov_2019,1,AEME,8,OUOU,8,2.250828711,0.138505473,0.0019,0.0255
Nov_2019,1,AEME,8,PHAF,8,3.665035469,0.207473994,2.00E-04,0.0096
Nov_2019,1,AEME,8,REAR,8,3.624474108,0.205650057,3.00E-04,0.0111
Nov_2019,1,AEME,8,SYCA,8,7.150853111,0.338088165,5.00E-04,0.013
Nov_2019,1,AEME,8,TRAN,8,3.774947572,0.212374611,6.00E-04,0.013
Nov_2019,1,AEME,8,TRST,8,2.682312631,0.160787817,9.00E-04,0.0153
Nov_2019,1,HINI,8,COTA,8,3.344426662,0.192824285,0.0075,0.0525
Nov_2019,1,HINI,8,KOEL,8,4.607931433,0.247632653,2.00E-04,0.0096
Nov_2019,1,HINI,8,LOAF,8,4.614869209,0.247913061,5.00E-04,0.013
Nov_2019,1,HINI,8,OUOU,8,3.014807929,0.177187303,0.0025,0.0275
Nov_2019,1,HINI,8,PHAF,8,4.6740161,0.250295174,8.00E-04,0.0152
Nov_2019,1,HINI,8,REAR,8,3.673376751,0.207848042,0.0029,0.029
Nov_2019,1,HINI,8,SYCA,8,4.540402886,0.244892353,1.00E-04,0.0055
Nov_2019,1,HINI,8,TRAN,8,9.317662964,0.399596777,1.00E-04,0.0055
Nov_2019,1,HINI,8,TRST,8,6.085607411,0.302983489,3.00E-04,0.0111
Nov_2019,1,COTA,8,KOEL,8,2.737983237,0.16357904,0.0232,0.097
Nov_2019,1,COTA,8,LOAF,8,4.270716731,0.233746535,4.00E-04,0.0116
Nov_2019,1,COTA,8,OUOU,8,4.043737516,0.224107534,2.00E-04,0.0096
Nov_2019,1,COTA,8,PHAF,8,3.214731922,0.186743072,0.002,0.0255
Nov_2019,1,COTA,8,REAR,8,4.280261192,0.23414661,1.00E-04,0.0055
Nov_2019,1,COTA,8,SYCA,8,5.113513669,0.267533943,8.00E-04,0.0152
Nov_2019,1,COTA,8,TRAN,8,9.644227358,0.407889301,3.00E-04,0.0111
Nov_2019,1,COTA,8,TRST,8,7.428574785,0.346666769,6.00E-04,0.013
Nov_2019,1,KOEL,8,LOAF,8,3.200625395,0.186076106,0.0018,0.0255
Nov_2019,1,KOEL,8,OUOU,8,2.597128499,0.156480592,0.0065,0.052
Nov_2019,1,KOEL,8,PHAF,8,2.109520994,0.13094871,0.0504,0.1008
Nov_2019,1,KOEL,8,REAR,8,2.880413383,0.170636424,0.0075,0.0525
Nov_2019,1,KOEL,8,SYCA,8,6.347669501,0.311960517,1.00E-04,0.0055
Nov_2019,1,KOEL,8,TRAN,8,6.458391932,0.315684241,2.00E-04,0.0096
Nov_2019,1,KOEL,8,TRST,8,5.171558343,0.26975159,3.00E-04,0.0111
Nov_2019,1,LOAF,8,OUOU,8,1.863794921,0.117487331,0.0266,0.097
Nov_2019,1,LOAF,8,PHAF,8,3.391408643,0.195004828,0.0017,0.0255
Nov_2019,1,LOAF,8,REAR,8,3.187427991,0.185451133,0.001,0.016
Nov_2019,1,LOAF,8,SYCA,8,6.37630812,0.312927547,5.00E-04,0.013
Nov_2019,1,LOAF,8,TRAN,8,4.479226284,0.242392523,3.00E-04,0.0111
Nov_2019,1,LOAF,8,TRST,8,3.854461741,0.215882271,1.00E-04,0.0055
Nov_2019,1,OUOU,8,PHAF,8,3.045729626,0.178679921,5.00E-04,0.013
Nov_2019,1,OUOU,8,REAR,8,1.716841473,0.109235782,0.0678,0.1008
Nov_2019,1,OUOU,8,SYCA,8,6.038086056,0.301330478,4.00E-04,0.0116
Nov_2019,1,OUOU,8,TRAN,8,4.593879411,0.247064064,1.00E-04,0.0055
Nov_2019,1,OUOU,8,TRST,8,3.132978786,0.182862468,2.00E-04,0.0096
Nov_2019,1,PHAF,8,REAR,8,2.751672945,0.164262576,4.00E-04,0.0116
Nov_2019,1,PHAF,8,SYCA,8,6.841200783,0.328253677,5.00E-04,0.013
Nov_2019,1,PHAF,8,TRAN,8,7.073349054,0.33565377,2.00E-04,0.0096
Nov_2019,1,PHAF,8,TRST,8,5.78733283,0.292476651,3.00E-04,0.0111
Nov_2019,1,REAR,8,SYCA,8,7.009455531,0.333633374,2.00E-04,0.0096
Nov_2019,1,REAR,8,TRAN,8,6.114089487,0.303970483,3.00E-04,0.0111
Nov_2019,1,REAR,8,TRST,8,4.682999754,0.250655666,1.00E-04,0.0055
Nov_2019,1,SYCA,8,TRAN,8,13.68465002,0.494304606,3.00E-04,0.0111
Nov_2019,1,SYCA,8,TRST,8,10.1537355,0.42037951,2.00E-04,0.0096
Nov_2019,1,TRAN,8,TRST,8,2.257044579,0.138834864,0.0194,0.097
Nov_2019,2,AEME,8,HINI,8,7.402488135,0.345870447,4.00E-04,0.0116
Nov_2019,2,AEME,8,COTA,8,5.270006555,0.273482344,2.00E-04,0.01
Nov_2019,2,AEME,8,KOEL,8,3.221122306,0.187044854,1.00E-04,0.0055
Nov_2019,2,AEME,8,LOAF,8,2.460369687,0.149472323,0.0066,0.0351
Nov_2019,2,AEME,8,OUOU,8,2.21827307,0.136776157,0.0017,0.0225
