CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Apr_2019,2,AEME,8,PHAF,8,9.421229667,0.402251709,5.00E-04,0.0112
Apr_2019,2,AEME,8,REAR,8,4.753095892,0.253456598,4.00E-04,0.0112
Apr_2019,2,AEME,8,SYCA,8,9.523286084,0.404845057,3.00E-04,0.0111
Apr_2019,2,AEME,8,TRST,8,5.636024418,0.28702472,0.0019,0.0153
Apr_2019,2,TRAN,8,HINI,8,13.02654346,0.481990732,1.00E-04,0.0055
Apr_2019,2,TRAN,8,COTA,8,16.7675928,0.544975777,1.00E-04,0.0055
Apr_2019,2,TRAN,8,KOEL,8,13.50873325,0.491070713,3.00E-04,0.0111
Apr_2019,2,TRAN,8,LOAF,8,4.165606858,0.229312838,5.00E-04,0.0112
Apr_2019,2,TRAN,8,OUOU,8,5.613101208,0.286191416,2.00E-04,0.0092
Apr_2019,2,TRAN,8,PHAF,8,10.09346434,0.418929557,4.00E-04,0.0112
Apr_2019,2,TRAN,8,REAR,8,5.376298734,0.277467787,1.00E-04,0.0055
Apr_2019,2,TRAN,8,SYCA,8,10.18739229,0.421186053,3.00E-04,0.0111
Apr_2019,2,TRAN,8,TRST,8,2.767597882,0.165056313,0.0058,0.029
Apr_2019,2,HINI,8,COTA,8,20.54995918,0.59478968,1.00E-04,0.0055
Apr_2019,2,HINI,8,KOEL,8,13.49019612,0.490727533,1.00E-04,0.0055
Apr_2019,2,HINI,8,LOAF,8,6.195368441,0.306771746,4.00E-04,0.0112
Apr_2019,2,HINI,8,OUOU,8,6.798951673,0.326889152,1.00E-04,0.0055
Apr_2019,2,HINI,8,PHAF,8,11.48916133,0.450746934,4.00E-04,0.0112
Apr_2019,2,HINI,8,REAR,8,5.950273056,0.298255219,6.00E-04,0.0112
Apr_2019,2,HINI,8,SYCA,8,5.750401808,0.291153662,9.00E-04,0.0117
Apr_2019,2,HINI,8,TRST,8,18.00435493,0.562559532,2.00E-04,0.0092
Apr_2019,2,COTA,8,KOEL,8,3.739150161,0.210785191,4.00E-04,0.0112
Apr_2019,2,COTA,8,LOAF,8,8.827128846,0.386694661,4.00E-04,0.0112
Apr_2019,2,COTA,8,OUOU,8,5.878844278,0.295733705,3.00E-04,0.0111
Apr_2019,2,COTA,8,PHAF,8,1.317914692,0.086037474,0.2094,0.248
Apr_2019,2,COTA,8,REAR,8,5.516710843,0.282666013,3.00E-04,0.0111
Apr_2019,2,COTA,8,SYCA,8,5.569541474,0.284602554,3.00E-04,0.0111
Apr_2019,2,COTA,8,TRST,8,23.98396224,0.631423391,3.00E-04,0.0111
Apr_2019,2,KOEL,8,LOAF,8,7.558585448,0.350606744,5.00E-04,0.0112
Apr_2019,2,KOEL,8,OUOU,8,4.059162308,0.224770243,2.00E-04,0.0092
Apr_2019,2,KOEL,8,PHAF,8,2.067112953,0.128654909,0.0102,0.0408
Apr_2019,2,KOEL,8,REAR,8,3.681440927,0.208209328,0.0011,0.0132
Apr_2019,2,KOEL,8,SYCA,8,2.639926748,0.158650142,0.0038,0.0228
Apr_2019,2,KOEL,8,TRST,8,19.61301479,0.583494665,1.00E-04,0.0055
Apr_2019,2,LOAF,8,OUOU,8,3.052059017,0.178984779,7.00E-04,0.0112
Apr_2019,2,LOAF,8,PHAF,8,6.105409473,0.303669989,1.00E-04,0.0055
Apr_2019,2,LOAF,8,REAR,8,2.464911834,0.149706956,7.00E-04,0.0112
Apr_2019,2,LOAF,8,SYCA,8,5.406149654,0.2785792,2.00E-04,0.0092
Apr_2019,2,LOAF,8,TRST,8,6.717101665,0.324229797,2.00E-04,0.0092
Apr_2019,2,OUOU,8,PHAF,8,3.443712199,0.19741854,0.0013,0.0132
Apr_2019,2,OUOU,8,REAR,8,1.374441511,0.089397817,0.124,0.248
Apr_2019,2,OUOU,8,SYCA,8,3.767902096,0.212062295,5.00E-04,0.0112
Apr_2019,2,OUOU,8,TRST,8,7.891909861,0.360494352,3.00E-04,0.0111
Apr_2019,2,PHAF,8,REAR,8,2.699926433,0.161672954,0.0154,0.0462
Apr_2019,2,PHAF,8,SYCA,8,3.486581947,0.199386133,0.0017,0.0153
Apr_2019,2,PHAF,8,TRST,8,13.51367035,0.491162036,2.00E-04,0.0092
Apr_2019,2,REAR,8,SYCA,8,3.485022328,0.19931472,0.0018,0.0153
Apr_2019,2,REAR,8,TRST,8,7.260371062,0.341497853,2.00E-04,0.0092
Apr_2019,2,SYCA,8,TRST,8,14.45882853,0.508061269,2.00E-04,0.0092
Apr_2019,3,AEME,8,TRAN,8,3.235009945,0.187699918,5.00E-04,0.0108
Apr_2019,3,AEME,8,HINI,8,10.08280593,0.418672391,1.00E-04,0.0055
Apr_2019,3,AEME,8,COTA,8,8.212210554,0.369716041,5.00E-04,0.0108
Apr_2019,3,AEME,8,KOEL,8,4.608555888,0.247657901,0.0014,0.0154
Apr_2019,3,AEME,8,LOAF,8,3.492285762,0.199647194,1.00E-04,0.0055
Apr_2019,3,AEME,8,OUOU,8,2.880540664,0.170642678,0.0039,0.0288
Apr_2019,3,AEME,8,PHAF,8,7.086346558,0.336063269,3.00E-04,0.0108
Apr_2019,3,AEME,8,REAR,8,3.409297715,0.195832007,4.00E-04,0.0108
Apr_2019,3,AEME,8,SYCA,8,9.401329463,0.401743391,2.00E-04,0.0094
Apr_2019,3,AEME,8,TRST,8,3.797978646,0.21339382,7.00E-04,0.0119
Apr_2019,3,TRAN,8,HINI,8,19.24603666,0.578897174,2.00E-04,0.0094
Apr_2019,3,TRAN,8,COTA,8,19.02011654,0.576016033,3.00E-04,0.0108
Apr_2019,3,TRAN,8,KOEL,8,11.0627346,0.441401738,4.00E-04,0.0108
Apr_2019,3,TRAN,8,LOAF,8,4.961127732,0.261647292,2.00E-04,0.0094
Apr_2019,3,TRAN,8,OUOU,8,7.700705093,0.354859672,3.00E-04,0.0108
Apr_2019,3,TRAN,8,PHAF,8,15.58031089,0.526712209,2.00E-04,0.0094
Apr_2019,3,TRAN,8,REAR,8,6.84792925,0.328470476,1.00E-04,0.0055
Apr_2019,3,TRAN,8,SYCA,8,21.7465047,0.608353317,4.00E-04,0.0108
Apr_2019,3,TRAN,8,TRST,8,2.499787821,0.15150424,0.0205,0.1122
Apr_2019,3,HINI,8,COTA,8,19.61865449,0.583564535,2.00E-04,0.0094
Apr_2019,3,HINI,8,KOEL,8,7.818742293,0.358349816,1.00E-04,0.0055
Apr_2019,3,HINI,8,LOAF,8,6.367051089,0.312615266,3.00E-04,0.0108
Apr_2019,3,HINI,8,OUOU,8,7.908601473,0.360981575,3.00E-04,0.0108
Apr_2019,3,HINI,8,PHAF,8,17.07687476,0.54950425,4.00E-04,0.0108
Apr_2019,3,HINI,8,REAR,8,7.711648913,0.355184857,1.00E-04,0.0055
Apr_2019,3,HINI,8,SYCA,8,17.00987432,0.548530902,4.00E-04,0.0108
Apr_2019,3,HINI,8,TRST,8,22.38904498,0.615268826,2.00E-04,0.0094
Apr_2019,3,COTA,8,KOEL,8,2.440958815,0.148468155,0.0313,0.1252
Apr_2019,3,COTA,8,LOAF,8,7.326460509,0.343538512,3.00E-04,0.0108
Apr_2019,3,COTA,8,OUOU,8,4.537223769,0.244762853,2.00E-04,0.0094
Apr_2019,3,COTA,8,PHAF,8,1.238884854,0.081297606,0.2544,0.2544
Apr_2019,3,COTA,8,REAR,8,6.330686908,0.311385785,2.00E-04,0.0094
Apr_2019,3,COTA,8,SYCA,8,6.232087911,0.308029895,9.00E-04,0.0135
Apr_2019,3,COTA,8,TRST,8,22.06716397,0.611835297,3.00E-04,0.0108
Apr_2019,3,KOEL,8,LOAF,8,3.477361777,0.198963769,0.0032,0.0288
Apr_2019,3,KOEL,8,OUOU,8,2.019824475,0.126082809,0.0355,0.1252
Apr_2019,3,KOEL,8,PHAF,8,2.350248255,0.143743888,0.037,0.1252
Apr_2019,3,KOEL,8,REAR,8,3.359449259,0.193522802,0.0011,0.014
Apr_2019,3,KOEL,8,SYCA,8,2.758327494,0.164594438,0.0032,0.0288
Apr_2019,3,KOEL,8,TRST,8,12.86507867,0.478877387,4.00E-04,0.0108
Apr_2019,3,LOAF,8,OUOU,8,3.114003789,0.181956474,7.00E-04,0.0119
Apr_2019,3,LOAF,8,PHAF,8,7.401528836,0.345841126,2.00E-04,0.0094
Apr_2019,3,LOAF,8,REAR,8,2.520705549,0.152578565,0.0015,0.0154
Apr_2019,3,LOAF,8,SYCA,8,7.828428496,0.358634544,2.00E-04,0.0094
Apr_2019,3,LOAF,8,TRST,8,6.233129503,0.308065517,3.00E-04,0.0108
Apr_2019,3,OUOU,8,PHAF,8,3.864812341,0.216336576,0.001,0.014
Apr_2019,3,OUOU,8,REAR,8,1.884642115,0.118645551,0.0187,0.1122
Apr_2019,3,OUOU,8,SYCA,8,5.424721582,0.279268949,3.00E-04,0.0108
Apr_2019,3,OUOU,8,TRST,8,8.851624118,0.387352079,3.00E-04,0.0108
Apr_2019,3,PHAF,8,REAR,8,5.143368422,0.268676249,6.00E-04,0.0108
Apr_2019,3,PHAF,8,SYCA,8,5.153898099,0.269078287,0.001,0.014
Apr_2019,3,PHAF,8,TRST,8,18.03263617,0.562945743,1.00E-04,0.0055
Apr_2019,3,REAR,8,SYCA,8,7.350527001,0.344278481,1.00E-04,0.0055
Apr_2019,3,REAR,8,TRST,8,7.8987729,0.360694772,2.00E-04,0.0094
Apr_2019,3,SYCA,8,TRST,8,26.00894393,0.650078242,1.00E-04,0.0055
Apr_2019,4,AEME,8,TRAN,8,2.864575995,0.169857576,3.00E-04,0.0126
Apr_2019,4,AEME,8,HINI,8,10.89875837,0.437722966,3.00E-04,0.0126
Apr_2019,4,AEME,8,COTA,8,10.01002345,0.416910191,1.00E-04,0.0055
Apr_2019,4,AEME,8,KOEL,8,8.796371006,0.385867163,5.00E-04,0.0126
Apr_2019,4,AEME,8,LOAF,8,3.367070376,0.193876705,6.00E-04,0.0126
Apr_2019,4,AEME,8,OUOU,8,2.58559107,0.155893815,0.001,0.0126
Apr_2019,4,AEME,8,PHAF,8,10.17649944,0.420925265,1.00E-04,0.0055
Apr_2019,4,AEME,8,REAR,8,4.132487885,0.227905178,5.00E-04,0.0126
Apr_2019,4,AEME,8,SYCA,8,6.983940952,0.332823132,3.00E-04,0.0126
Apr_2019,4,AEME,8,TRST,8,2.88521135,0.17087209,0.0029,0.0174
Apr_2019,4,TRAN,8,HINI,8,15.03627152,0.517844432,1.00E-04,0.0055
Apr_2019,4,TRAN,8,COTA,8,14.35088964,0.506188336,2.00E-04,0.0102
Apr_2019,4,TRAN,8,KOEL,8,13.23614492,0.485977181,2.00E-04,0.0102
Apr_2019,4,TRAN,8,LOAF,8,4.125851076,0.227622475,2.00E-04,0.0102
Apr_2019,4,TRAN,8,OUOU,8,5.109550303,0.267382027,3.00E-04,0.0126
Apr_2019,4,TRAN,8,PHAF,8,13.79820779,0.49637041,4.00E-04,0.0126
Apr_2019,4,TRAN,8,REAR,8,5.879259258,0.295748407,4.00E-04,0.0126
Apr_2019,4,TRAN,8,SYCA,8,10.01638215,0.417064572,2.00E-04,0.0102
Apr_2019,4,TRAN,8,TRST,8,2.933497571,0.173236365,0.003,0.0174
Apr_2019,4,HINI,8,COTA,8,25.25487567,0.643356405,3.00E-04,0.0126
Apr_2019,4,HINI,8,KOEL,8,19.50337449,0.582131645,6.00E-04,0.0126
Apr_2019,4,HINI,8,LOAF,8,7.544543748,0.350183501,2.00E-04,0.0102
Apr_2019,4,HINI,8,OUOU,8,7.057957606,0.335168193,1.00E-04,0.0055
Apr_2019,4,HINI,8,PHAF,8,29.30750189,0.676730373,3.00E-04,0.0126
