CP,Iteration,Species1,nSamples1,Species2,nSamples2,F,R2,P,adjP
Apr_2018,1,AEME,8,OUOU,8,2.654702021,0.159396549,0.006,0.096
Apr_2018,1,AEME,8,COTA,8,4.66540614,0.24994935,2.00E-04,0.01
Apr_2018,1,AEME,8,HINI,6,4.12151524,0.255653093,6.00E-04,0.015
Apr_2018,1,AEME,8,KOEL,8,3.230365312,0.187480953,5.00E-04,0.0145
Apr_2018,1,AEME,8,SYCA,8,6.041650592,0.301454741,3.00E-04,0.012
Apr_2018,1,AEME,8,LOAF,8,5.524974714,0.282969622,2.00E-04,0.01
Apr_2018,1,AEME,8,PHAF,8,3.201556233,0.18612015,4.00E-04,0.0136
Apr_2018,1,AEME,8,REAR,8,2.674367998,0.160387968,0.0206,0.2024
Apr_2018,1,AEME,8,TRAN,8,7.34062055,0.343974091,3.00E-04,0.012
Apr_2018,1,AEME,8,TRST,8,10.67916782,0.432719932,4.00E-04,0.0136
Apr_2018,1,OUOU,8,COTA,8,4.64652189,0.249189737,0.0073,0.1095
Apr_2018,1,OUOU,8,HINI,6,4.112316455,0.255228133,0.0121,0.1694
Apr_2018,1,OUOU,8,KOEL,8,3.377129625,0.194343352,0.0126,0.1694
Apr_2018,1,OUOU,8,SYCA,8,5.959904993,0.298593856,0.0022,0.044
Apr_2018,1,OUOU,8,LOAF,8,5.889184888,0.296099861,5.00E-04,0.0145
Apr_2018,1,OUOU,8,PHAF,8,1.790547765,0.113393645,0.1005,0.2811
Apr_2018,1,OUOU,8,REAR,8,1.918607907,0.120526111,0.0937,0.2811
Apr_2018,1,OUOU,8,TRAN,8,9.446506783,0.402896127,1.00E-04,0.0055
Apr_2018,1,OUOU,8,TRST,8,12.74572596,0.476551879,3.00E-04,0.012
Apr_2018,1,COTA,8,HINI,6,3.3509573,0.218289794,0.0184,0.2024
Apr_2018,1,COTA,8,KOEL,8,2.757498366,0.164553104,0.0245,0.2024
Apr_2018,1,COTA,8,SYCA,8,3.841402545,0.215308328,0.0013,0.0286
Apr_2018,1,COTA,8,LOAF,8,13.1024651,0.483441822,2.00E-04,0.01
Apr_2018,1,COTA,8,PHAF,8,4.094276503,0.226274673,0.0011,0.0253
Apr_2018,1,COTA,8,REAR,8,4.231833905,0.232112355,0.0242,0.2024
Apr_2018,1,COTA,8,TRAN,8,23.41498087,0.625818331,6.00E-04,0.015
Apr_2018,1,COTA,8,TRST,8,35.75752103,0.718635501,4.00E-04,0.0136
Apr_2018,1,HINI,6,KOEL,8,1.478859259,0.109716945,0.1713,0.2811
Apr_2018,1,HINI,6,SYCA,8,6.232136593,0.341821517,2.00E-04,0.01
Apr_2018,1,HINI,6,LOAF,8,8.650380104,0.418896895,2.00E-04,0.01
Apr_2018,1,HINI,6,PHAF,8,3.950374933,0.247666588,0.0025,0.0475
Apr_2018,1,HINI,6,REAR,8,4.546612329,0.274776023,0.0145,0.174
Apr_2018,1,HINI,6,TRAN,8,18.04988016,0.600663965,4.00E-04,0.0136
Apr_2018,1,HINI,6,TRST,8,27.65855726,0.697417132,4.00E-04,0.0136
Apr_2018,1,KOEL,8,SYCA,8,3.559583765,0.202714587,0.0029,0.0522
Apr_2018,1,KOEL,8,LOAF,8,8.586377881,0.380157364,1.00E-04,0.0055
Apr_2018,1,KOEL,8,PHAF,8,2.621967138,0.157741085,0.0186,0.2024
Apr_2018,1,KOEL,8,REAR,8,3.116980259,0.182098724,0.0272,0.2024
Apr_2018,1,KOEL,8,TRAN,8,16.5439082,0.541643463,5.00E-04,0.0145
Apr_2018,1,KOEL,8,TRST,8,23.1400639,0.623048575,2.00E-04,0.01
Apr_2018,1,SYCA,8,LOAF,8,15.81914565,0.530502981,1.00E-04,0.0055
Apr_2018,1,SYCA,8,PHAF,8,4.418528804,0.23989586,0.0018,0.0378
Apr_2018,1,SYCA,8,REAR,8,7.077922235,0.33579791,0.0048,0.0816
Apr_2018,1,SYCA,8,TRAN,8,25.53930602,0.645921959,3.00E-04,0.012
Apr_2018,1,SYCA,8,TRST,8,40.90376537,0.745008381,2.00E-04,0.01
Apr_2018,1,LOAF,8,PHAF,8,7.559368191,0.350630321,2.00E-04,0.01
Apr_2018,1,LOAF,8,REAR,8,5.61293922,0.286185521,1.00E-04,0.0055
Apr_2018,1,LOAF,8,TRAN,8,12.04338001,0.462435368,5.00E-04,0.0145
Apr_2018,1,LOAF,8,TRST,8,14.97434225,0.51681388,2.00E-04,0.01
Apr_2018,1,PHAF,8,REAR,8,2.834832607,0.1683909,0.0276,0.2024
