SampleID
PNG_16_OUOU_15
PNG_16_SYCA_04
PNG_16_SYCA_05
PNG_16_SYCA_06
PNG_16_SYCA_07
PNG_16_SYCA_09
PNG_16_SYCA_10
PNG_16_TRSC_19
PNG_16_TRSC_20
PNG_16_TRSC_26
PNG_18_HINI_29
PNG_18_KOEL_14
PNG_18_KOEL_20
PNG_18_SYCA_17
PNG_18_SYCA_25
PNG_18_SYCA_27
PNG_18_SYCA_29
PNG_18_SYCA_43
PNG_18_OUOU_19
PNG_18_OUOU_20
PNG_19_ALBU_27
PNG_19_ALBU_38
PNG_19_COTA_16
PNG_19_COTA_17
PNG_19_COTA_18
PNG_19_COTA_19
PNG_19_COTA_22
PNG_19_COTA_25
PNG_19_COTA_34
PNG_19_COTA_38
PNG_19_COTA_39
PNG_19_COTA_44
PNG_19_KOEL_37
PNG_19_SYCA_20
PNG_19_SYCA_27
PNG_19_SYCA_28
PNG_19_SYCA_32
PNG_19_SYCA_36
PNG_19_SYCA_37
PNG_19_SYCA_39
PNG_20_COTA_06
PNG_20_SYCA_01
PNG_20_SYCA_05
PNG_20_SYCA_06
SER_18_COTA_62
SER_18_LOAF_05
