REFrank,InstCode,Institution,GPA,pct_foreign_PGs,cite_impact,h_index,graduate_salary,entry_tariff,pct_disab_stud,pct_ADHD_stud,pct_employed_grad,pct_deprived_stud,num_FTEs_submit,pct_phd_faculty,stud_satisfact,expend_per_stud,stud_staff_ratio,career_prospect,univ_income,pctStateSchools,websci_docs
65,0074,University of Portsmouth,2.75,.305832148,1.36,69,2.124015808,312,.07,.032,.922,.335999995,282,.40070922,85,4.918767632,19.76873616,58.69165748,184999,.95,4203
66,0073,Plymouth University,2.74,.288490295,1.52,81,2.097602844,313,.11,.057,.899,.305000007,366,.448888889,80,6.613222289,16.61360728,58.67707172,217791,.9310000000000001,7060
69,0050,Bournemouth University,2.72,.460177004,1.53,33,2.194615364,331,.1,.063,.916,.301999986,162,.372413793,70,6.912533434,20.44533752,62.11453744,120424,.9320000000000001,2005
66,0066,Manchester Metropolitan University,2.74,.121266969,1.09,47,1.992732644,341,.07,.037,.89,.407999992,313,.317307692,75,2.996769871,19.1150536,52.34567901,241102,.961,3393
66,0083,University of Westminster,2.72,.455156952,.91,30,2.143333435,314,.04,.023,.884,.493000001,210,.237288136,74,4.164129027,18.40882868,53.47705146,170437,.957,2178
70,0069,Northumbria University,2.71,.291897893,1.1,35,2.131538391,363,.05,.025,.92,.335999995,343,.306772908,83,5.372928228,18.16533499,60.36895674,217954,.924,2770
70,0058,University of East London,2.71,.232748538,.96,23,2.106164455,270,.06,.03,.856,.518999994,129,.41025641,81,3.304486919,23.73121849,44.85488127,155325,.981,1381
72,0063,Kingston University,2.7,.34250474,.99,33,2.156113386,295,.06,.031,.89,.418000013,139,.181372549,79,4.457795422,19.7810627,52.85467128,202686,.957,2303
72,0081,University of the West of England,2.7,.199099094,1.17,39,2,337,.08,.047,.95,.31099999,299,.342261905,83,3.819189479,20.75225676,62.02651515,222629,.924,3410
75,0056,Coventry University,2.67,.575586855,.88,29,2.128712893,310,.04,.02,.941,.412,153,.163636364,85,3.360754592,15.44336564,63.25706595,220433,.973,1886
75,0068,De Montfort University,2.67,.279320985,1.03,31,1.993718505,310,.12,.043,.9379999999999999,.374000013,218,.352697095,84,3.470682935,18.07705529,51.99835187,152655,.97,2151
79,0072,Oxford Brookes University,2.66,.311827958,1.05,42,2.20045042,361,.1,.063,.9350000000000001,.449000001,269,.301158301,82,5.484612702,16.68075976,59.55585464,165548,.736,2944
80,0061,University of Huddersfield,2.65,.279097378,1.05,31,2.004237413,327,.07,.029,.9379999999999999,.465000004,234,.307017544,85,4.551536882,17.88557675,64.12172984999999,142526,.983,1819
82,0052,Birmingham City University,2.64,.305039793,.91,21,2.084134579,314,.07,.038,.9,.456999987,122,.142857143,80,5.737945409,21.06587779,59.72635336,161453,.97,725
83,0060,University of Hertfordshire,2.61,.250452071,1.45,74,2.155999899,340,.06,.03,.9320000000000001,.412,192,.242902208,83,4.03164502,19.79228894,56.42673522,236275,.977,3410
