Reference,Year,Continent,Country,Economic status,Region,Conservation priority of the area,Type of road (paved/unpaved),Type of structure monitored,Focal species,Monitoring start date,Monitoring end date,Period of monitoring,Main research findings,Recommendations,Conclusions,Camera Make and Model,Fencing design,Height (m),Length (m),Interval delay (S),Camera Multishot,Camera Photo / Video,Camera Height Placed (m),Camera Mounting angle,Number of cameras per underpass,Structure width (m),Structure height (m),Structure length (m),Notes,,,,,,,,,
McCollister & Van Manen 2010,2010,North America,"Washington State, USA",High-income,Highway 64,Forest/Woodland,Paved,Wildlife underpass crossing,Deer  ,01-Aug-06,01-Jul-07,11 months,"The study recorded 242 occasions of white-tailed deer use of underpass areas before highway construction began and Following completion of the highway, we collected 2,433 photographs of 9 species with deer representing 93% of all crossings.","Continuous fencing between underpasses may further reduce the number of vehicle collisions for deer but additional design features (e.g., buried fencing) should be considered for other wildlife species.",Deer use of underpasses may be a function of the ease with which deer movements can be guided by fencing.,Actively triggered cameras,Fenced,N/A,N/A,N/A,N/A,Photo,N/A,N/A,2,N/A,N/A,N/A,N/A,,,,,,,,,
Millward et al. 2020 ,2020,North America,"Washington State, USA",High-income,I-90 transportation corridor,Forest/Woodland,Paved,Wildlife underpass crossing,Mammal,01-Jul-17,01-Oct-17,2 weeks ,The camera trap data documented 351 small mammal visitations from a total of 838 animal photographs over 761 trap-nights. ,"Recommend that designing WCS that contain high-quality, suitable habitat may be important to ensure the connectivity effectiveness of mitigation structures  ",The availability of WCS is critical for improving connectivity between habitat patches separated by highways,"models RapidFire, Silent Image, Hyperfire, and Convert IR; Reconynx, Holmen, Wisconsin, USA)",No Fencing,N/A,N/A,30,3,Photo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Mitchell et al. 2022,2022,Australia,Australia,High-income,Montane ash forest,Forest/Woodland,Not paved,Canopy bridge,Arboreal,07-Apr-14,08-Apr-15,12 months,"We found that both bridges were used by Leadbeater’s Possum and five other species of arboreal marsupial to cross narrow, forestry roads","Recommend that future studies should assess the effect of narrow
forest gaps and canopy bridges on movement
for aboreal animals, with a
focus on population-level effects and comparison
to reference conditions","Ladder bridges appear to be the better design choice for a wider range of arboreal marsupials as they were used more frequently, offer greater stability, and provide better predator avoidance than single-rope designs.",Buckeye X7D cameras,N/A,N/A,N/A,30,N/A,Video,6,N/A,2,N/A,6,15,N/A,,,,,,,,,
Murphy-Mariscal et al. 2015,2015,North America,"California, USA",High-income,Riverside County,Desert,Paved,Non-wildlife underpass crossing,Multi-taxa,01-Jul-10,01-Nov-12,29 moths,"In total, 3,778 native wildlife occurrences, 315 domestic animal occurrences, and 5,974 human-related crossings were recorded as tracks and photos at the underpass sites over 4,279 monitoring days",Recommends constructing structures with a variety of dimensions to encourage utilization by multiple species,A wide variety of wildlife utilize the underpass structures and this confirms the value of these structures in facilitating wildlife movement beneath the roadway.,Infrared motion detection trail cameras,No Fencing,N/A,N/A,N/A,N/A,Photo,0.45,N/A,N/A,11.5,4.5,112,"complement the camera surveys, we developed track beds",,,,,,,,,
Mys?ajek et al. 2020,2020,Europe,Poland,High-income,Silesian Forest,Forest/Woodland,Paved,Wildlife underpass & Eco-bridge,Mammal,01-Oct-10,01-Jun-13,33 months,"Wildlife crossings were mostly used by wild animals (51.5%), followed by humans (34.8%), livestock and pets (dogs and cats) (13.7%)",Recommend monitoring WCS in all seasons for at least 3 years as a minimum standard for the post-investment assessment of WCS utilization by animals.,"The study suggest that monitoring of WCS in areas with
strongly marked seasons should be conducted throughout all
seasons.",Bushnell Trophy Cam & Ecotone HE- 30,Fenced,N/A,N/A,30,N/A,Video,N/A,N/A,>1,15-45,4.5-4.7,15-114m,N/A,,,,,,,,,
Nekaris et al. 2021,2021,Asia,Indonesia,Upper-middle income,Java-Bali Montane Rain Forest,Forest/Woodland,Paved,Canopy bridge,Javan palm civets and Javan slow lorises,01-Jul-17,01-Dec-19,2 years,"Javan palm civets and Javan slow lorises regularly used artificial bridges, but their use varied based on temperature, season and moon phase",The study recommends that artificial bridges could prove vital to their future conservation,The study showed that camera traps were an excellent method to examine bridge use continuously for a two-year period,Bushnell HD camera traps,N/A,N/A,N/A,3,3,Photo & Video,N/A,N/A,2,N/A,4.2,57.9,N/A,,,,,,,,,
Ng et al. 2004,2004,North America,"California, USA",High-income,Ventura County,Forest/Woodland,Paved,Non-wildlife underpass crossing,Mammal,01-Jul-99,30-Jun-00,12 months,"The study has recorded 531 (19.5%) native large and mid-sized mammals, 1640 (60.2%) humans, 155 (5.7%) domestic animals, and 397 (14.6%) small mammals utilising the monitored underpasses","The study recommends that simple improvements such as habitat restoration near crossing points and animal-proof fencing to funnel wildlife to passages, can improve use of crossing structures between road fragmented habitats ",Passage dimensions significantly influenced passage use by animals,Remotely triggered cameras,No Fencing,N/A,N/A,N/A,1,Photo,N/A,N/A,3,42,"3,7-5,2",44-97,N/A,,,,,,,,,
Nojoumi et al. 2022,2022,North America,Canada,High-income,Alberta,National/Provincial/Nature Reserve,Paved,Wildlife underpass crossing,Elk and White-tailed deer,01-May-04,01-Oct-04,5 months,The results included observations of 21 deer and 15 elk crossings.,"Conservation and management efforts towards minimizing the effect of roads, especially near corridors designed to permit wildlife are most needed",The study has observed that ungulates were more likely to use the underpasses when they were not disturbed by traffic and this suggests that traffic can affect connectivity at wildlife crossing structures,TrailMaster active infra-red video cameras,Fenced,2.4,N/A,N/A,N/A,Video,1,N/A,3,40,9,3.5,"To record behavior, we used only video footage of animals walking towards the underpass",,,,,,,,,
Ow et al. 2022,2022,Asia,Singapore,High-income,"Old Upper Thomson Road,",National/Provincial/Nature Reserve,Paved,Canopy bridge,Arboreal,01-Apr-20,01-Aug-21,16 months,"The study recorded 64 118 videos, with 6218 (9.70%) containing vertebrates and seven species, including three primates, two squirrels and two reptiles, utilising the bridges to travel between the forests.",The study recommends that incorporating connectivity habitat will improve restoration efforts and benefit wildlife,The study has shown that rope bridges are useful for arboreal species and can complement national efforts to restore connectivity in fragmented habitats.,2MP HDCVI IR Bullet Camera),No Fencing,N/A,N/A,N/A,N/A,Video,10,N/A,1,0.3,10,15,N/A,,,,,,,,,
Pagnucco et al. 2011,2011,North America,Canada,High-income,Alberta,National/Provincial/Nature Reserve,Paved,Wildlife underpass crossing,Herpetofauna,28-Aug-09,14-Oct-09,9 months,Camera data revealed the same patterns of demographics and spatio-temporal variation in tunnel use for A. macrodactylum as did trapping,Recommends that managers should either augment motion-detection cameras or rely on images recorded at set time intervals to document tunnel use effectively by small animals such as A. macrodactylum.,"The study suggest that cameras represent a novel, cost-efficient, noninvasive approach to monitoring amphibian tunnel use.",Motion-detecting camera,No Fencing,N/A,N/A,N/A,3,Photo,N/A,N/A,2,0.5,0.33,N/A,N/A,,,,,,,,,
Paudel et al. 2020,2020,Asia,Nepal,Lower-middle income,Barandabhar Corridor Forest,Protected Area,Paved,Wildlife underpass crossing,Multi-taxa,01-Mar-19,01-Apr-19,1 month,Revealed that seven species of mammals were recorded using the underpasses,"To comprehensively assess the functionality of underpasses, we need studies that will investigate species-wise deaths related to vehicle-wildlife collision in presence and/or absence of underpasses in similar habitats. This is necessary because it will help address knowledge gaps in developing such mitigation and/or offset measures.",The newly constructed underpasses seemed effective in ensuring wildlife movement in Barandabhar Corridor Forest.,"Cuddeback camera traps (Xchange IR,model no. 1279)",Fenced,N/A,1300,N/A,N/A,Photo,0.6,N/A,2,N/A,N/A,N/A,N/A,,,,,,,,,
Pearcy 2014,2014,Africa,South Africa,Upper-middle income,Kruger National Park,National/Provincial/Nature Reserve,Paved & Unpaved,Non-wildlife underpass crossing,Mammal,14 November 2012.,18 November 2012.,5 days,We found a total of 11 species on the bridge and 12 species in the 10-m transect adjacent to the bridge,"Recommends that when constructing human infrastructure in protected areas, managers should minimize impact on the ecosystem, while allowing tourists access to wildlife.","Although bridges had no effect on animal presence, our study was limited to a five-day sampling period.",Bushnell Trophy Cameras,N/A,N/A,N/A,N/A,>2,N/A,N/A,N/A,N/A,10,N/A,5,N/A,,,,,,,,,
Plaschke et al. 2021,2021,Europe,Germany,High-income,Brandenburg state Highway A12,Forest/Woodland,Paved,Eco-bridge,"Wolves, red deer, roe deer, wild boar",01-Oct-17,01-Oct-18,12 months,"The study identified 931 crossing events: 111 by wolves (65 individuals, 46 wolf packs), 431 by red deer, 106 by roe deer, 41 by wild boar, and 43 by humans",Future investigations into the effectiveness of green bridges to reconnect landscapes and to reduce wildlife road-associated mortality will further improve our knowledge on how best to aid wildlife recolonization of their historic range in a landscape heavily dominated by human activity.,"Wolves showed distinct seasonal and daily patterns in their use of green bridges. Green bridge use was most frequently during winter, particularly by packs of wolves.",Dörr SnapShot Limited cameras,Fenced,N/A,N/A,30,2,Photo,1,N/A,2,50,N/A,N/A,N/A,,,,,,,,,
Pomezanski & Bennett 2018,2018,North America,Canada,High-income,Guelph,Agricultural landscape/Wetland/Farmland,Paved,Wildlife underpass crossing,Multi-taxa,24-Apr-16,30-Oct-16,6 months,"In total, there were 2254 individual crossing events of documented from July 1 to October 30 2016",Comprehensive monitoring efforts are needed to monitor all hours of the day and throughout the warm month season to capture movement by all types of wildlife.,"To comprehensively monitor underpass usage, cameras must be active continuously and utilize high frequency time lapse and motion sensors simultaneously to capture crossing events by both endothermic and ectothermic species",Reconyx PC900 cameras,Fenced,N/A,250,N/A,N/A,Photo,N/A,N/A,2,N/A,N/A,25,N/A,,,,,,,,,
Prist et al. 2020,2020,South America,Brazil,Upper-middle income,"São Paulo,",Forest/Woodland,Paved,Non-wildlife underpass crossing,Water opossum,01-Nov-17,01-Nov-19,2 years,"The study discovered 16 independent camera trapping records (19 movies) of Chironectes minimus over 6,750 camera-trap-days","The study reinforce the need for road ecology studies, on setting camera traps at strategic locations to sample taxa that require specific habitat requirements.",The study confirmed that streams crossing highways through culverts can mitigate highway impacts on C. minimus by promoting connectivity and reducing the mortality risk of the species.,BushnellTM Aggressor No-Glow 20 MegaPixel camera traps,No Fencing,N/A,N/A,N/A,N/A,Video,N/A,N/A,1,N/A,N/A,N/A,N/A,,,,,,,,,
Read et al. 2021,2021,North America,Canada,High-income,Simcoe Watershed,Agricultural landscape/Wetland/Farmland,Paved,Non-wildlife underpass crossing,Herpetofauna,08-Jul-05,09-Jul-05,1 year,The study indicated that the ecopassages significantly reduced turtle road mortality at the treatment sites but were not effective at mitigating road mortality of other herpetiles.,"Ecopassages, such as the ones tested in this study, should be widely implemented in road-kill hotspots across all regions to reduce the negative effects of roads","Most turtle road-kill at the ecopassages sites occurred at fence ends, highlighting the need for solutions to address fence-end effects for herpetiles.",Cuddeback Long RangeIR trail cameras ,Fenced,0.41,N/A,30,1,Photo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Sawyer et al. 2016,2016,North America,"Wyoming, USA",High-income,U.S. Highway 191,Agricultural landscape/Wetland/Farmland,Paved,Wildlife underpass & Eco-bridge,Pronghorn and Mule deer,04-Jul-05,07-Jul-05,3 years,"The study has documented 40,251 crossings of the highway by mule deer and 19,290 crossings by pronghorn.",Mitigating roadway impacts requires that crossing structures be properly designed and located for the species of interest,"Tis work has shown that overpasses and underpasses can increase the amount of back-and-forth movement of migratory mule deer and pronghorn, allowing them to easily access habitats on either side of a roadway.",Digital infrared Reconyx cameras,Fenced,1.5,N/A,N/A,N/A,Photo,N/A,N/A,2,20-45,4,13,N/A,,,,,,,,,
Saxena & Habib 2022,2022,Asia,India,Lower-middle income,NH 44,Forest/Woodland,Paved,Wildlife underpass crossing,Mammal,N/A,N/A,22 months,"The study has obtained 181,118 photo-captures, including captures of 21 wild mammal species","Recommend that mitigation structures should be diverse in terms of their sizes, and the largest structures should cater to the needs of species with large body and group sizes in the landscape.",CS are an effective mitigation strategy to restore natural movement near roads since differential effects of animal behavior on CS use was found,Single motion-triggered Cuddeback C1,Fenced,N/A,N/A,N/A,N/A,Photo,N/A,N/A,Varied with the size of the CS,50-750,5,N/A,N/A,,,,,,,,,
Saxena & Habib 2022,2022,Asia,India,Lower-middle income,Maharashtra ,National/Provincial/Nature Reserve,Paved,Wildlife underpass crossing,Predator/prey,01-Mar-19,01-Dec-20,21 months,The study has revealed that an increase in crossing structure widths was associated with a decrease in prey–predator latencies,"Further research on establishing the trade-off between the effectiveness of crossing structures and the predation risk for
prey species should include the study of predation patterns, kill site characteristics near roads and aspects of predator and prey behaviour","The use of camera traps provides finerscale
temporal data for studying crossing structure effectiveness and predator-prey interactions",Single Motion-triggered Cuddeback,N/A,N/A,N/A,N/A,N/A,Photo,N/A,N/A,N/A,50-750,5,N/A,The study monitored underpass crossing for predator-prey interactions,,,,,,,,,
Schmidt et al. 2021,2021,North America,"Texas, USA",High-income,south Texas,Protected Area,Paved,Wildlife underpass crossing,Felid,01-May-13,01-Oct-19,6.5 years,"During the 6.5-year monitoring period we recorded 4090 detections of bobcats (65% identifiable) and 63 detections of ocelots (94% identifiable) over 65,062 camera trap monitoring days.",Recommend that there should be long-term population monitoring to contextualize road mitigation efficacy,"Assessing the effectiveness of road mitigation measures is essential for informing crossing structure design and placement and for optimizing conservation practices in road impacted ecosystems,","Bushnell® Trophy Cam TM, Cuddeback Models C, C123",No Fencing,N/A,N/A,1,N/A,Photo,N/A,N/A,2,N/A,N/A,N/A,N/A,,,,,,,,,
Secco et al. 2022,2022,South America,Brazil,Upper-middle income,BR-101/RJ North highway,Forest/Woodland,Paved,Canopy bridge,Golden lion tamarins,eptember 2021,01-Dec-21,4 months,The study revealed that entire groups are using these passages and now have home ranges spreading across both sides of the road.,"Targets for future studies should  seek to understand the influence of the landscape around the highway, and the structural characteristics of the passages, on the variable crossing rate of the different species.","For arboreal species, investing in multiplying structures like these along highwayis a more economical mitigation strategy with a satisfactory level of efficiency compared to large structures as landscape bridges (vegetated viaducts), which cost approximately 5 times more",Camera traps,Fenced,N/A,N/A,N/A,N/A,Photo,40,N/A,2,2.20-4.15,2.73-2.97,40,N/A,,,,,,,,,
Seo et al. 2021,2021,Asia,Korea,High-income,southern part of the Korean peninsula,Mountainous,Paved,Wildlife underpass & Ecobridge,Multi-taxa,08-Jul-05,10-Jul-05,3years,The results show that 18 wildlife crossing structures were selected with propensity-score (PS) matching method.,"Demonstrate that management of WCS itself is important, but conservation of surrounding habitats and landscape management plans are also significant.","Demonstrate that management of WCS itself is important, but conservation of surrounding habitats and landscape management plans are also significant.",Wildlife camera trap (Reconyx),N/A,N/A,N/A,N/A,N/A,Photo,N/A,N/A,2.0-4.0,N/A,N/A,N/A,N/A,,,,,,,,,
Simpson et al. 2016,2016,North America,"Nevada, USA",High-income,US 93 in northeastern Nevada,N/A,Paved,Wildlife underpass & Ecobridge,Ungulate,03-Jul-05,06-Jul-05,3 years,"We documented 35,369 mule deer that successfully crossed over or through of the crossing structures during 8 migratory periods","Not all crossing structures are created equal, however, managers should consider what kind of structure will provide the best outcome for the target species.",Wildlife crossing structures reduced habitat fragmentation and enhanced connectivity by allowing safe passage across US 93.,IR Professional Cameras,Fenced,N/A,6400,N/A,N/A,Photo,N/A,N/A,N/A,8,6,28,N/A,,,,,,,,,
Soanes et al. 2013,2013,Australia,Australia,High-income,Hume Freeway,Agricultural landscape/Wetland/Farmland,Paved,Canopy bridge,Squirrel glider,01-Aug-07,01-May-11,3.9 years,The study detected squirrel gliders using all five crossing structures installed at locations where the Hume Freeway was previously a barrier to movement,Further studies should identify the number of individuals using a structure and their demographic characteristics when inferring the impacts of mitigation on connectivity in the absence of population data,This study shows that canopy bridges and glider poles can rapidly re-establish the movement of squirrel gliders across a road barrier.,Motion-triggered digital cameras,N/A,N/A,N/A,3,5,Photo,6,N/A,2,0.5,6,70,N/A,,,,,,,,,
Soanes et al. 2015,2015,Australia,Australia,High-income,Hume Freeway,Forest/Woodland,Paved,Canopy bridge,Arboreal,01-Apr-12,01-Feb-13,11 months,The study has recoded five species of arboreal marsupial were detected using canopy bridges and glider poles at 11 sites,Information gained from monitoring studies should improve understanding the conservation value of wildlife crossing structures,The study showed that canopy bridges and glider poles benefit arboreal marsupials by providing safe access to resources that would otherwise be inaccessible,"Motion triggered, infrared cameras",No Fencing,N/A,N/A,N/A,9,Video,N/A,N/A,2,0.5,6,60-85,PIT tag reading systems,,,,,,,,,
Sparks & Gates 2012,2012,North America,"Maryland, USA",High-income,Maryland,Ecoregion,Paved,Non-wildlife underpass crossing,Multi-taxa,08-Aug-08,03-Jan-11,2.5 years,"The study recorded 32,783 identifiable images of wildlife, of which forty species were recorded by camera traps",Retrofitting existing culverts or designing cost-effective underpasses that provide basic wildlife needs and promote wildlife passage across roadways sould be prioritized,The study identified a large number of wildlife species using existing culverts to cross beneath roadways.,Infrared motion detecting digital cameras,No Fencing,N/A,N/A,60,N/A,Photo,N/A,N/A,1,0.61 - 4.57,0.61 - 4.57,N/A,N/A,,,,,,,,,
Sparks & Gates 2017,2017,North America,"Maryland, USA",High-income,N/A,Ecoregion,Paved,Non-wildlife underpass crossing,Multi-taxa,28-Aug-08,03-Jan-11,2 years,The study detected more crossings/culvert/day in the Piedmont ecoregion of Maryland for several species associated with farmland and suburbia,"Seasonal and regional differences of species behaviour and ecology must be considered by future studies seeking to document animal use of culverts elsewhere, or retrofitting existing culverts to enhance crossings by particular animal species",Seasonal and regional differences in the behavior and ecology of wildlife species influence culvert crossing rates and use,Passive infra-red motion-detecting digital cameras,No Fencing,N/A,N/A,60,N/A,Photo,0.61,N/A,1,2.44,1.9,46.36,N/A,,,,,,,,,
Sukmasuang et al. 2020,2020,Asia,Thailand,Upper-middle income,Khao Yai-Thap Lan National Parks,Protected Area,Paved,Wildlife underpass crossing,Multi-taxa,01-Sep-17,Novermber 2018,14 months,"6,707 animals were captured using the monitored wildlife corridors, there were humans and also pets, including cats and dogs.","Design of wildlife corridors should be improved in such that it become suitable for use by animals. This include considering increasing the construction of underpasses for mammal at locations with the highest and the number of crossings and also must reduce noise from vehicles, especially at night.","Wildlife corridors have appeared to have high influence on the appearance of wildlife, demonstrating the potential of the corridors be used by wildlife for travelling",N/A,No Fencing,N/A,N/A,10,3,Photo,0.3-0.4,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
Šver et al. 2016,2016,Europe,Croatia,High-income,A1 motorway,Forest/Woodland,Paved,Eco-bridge,Wolves,03-Jul-05,08-Jul-05,5 Years,"During monitoring period we have recorded 132 camera-events of wolves on the green bridges and 185
events containing wolves on the viaducts",Researchers and conservationists should use developed cost-effective approach in the monitoring of wolves and other wildlife species,"Wildlifecrossing structures can serve as an excellent long-term wildlife monitoring stations for the species with large and stable home ranges over prolonged periods, such as wolves.","Cuddeback, Green Bay, WI, USA",Fenced,2,478900,60,N/A,Photo & Video,0.5,N/A,4,N/A,N/A,N/A,N/A,,,,,,,,,
Teixeira et al. 2013,2013,South America,Brazil,Upper-middle income,Porto Alegre,Protected area,Paved,Canopy bridge,Arboreal,01-Aug-08,01-Oct-09,15 months,The study recorded three native mammal species using rope bridges,"The study demonstrate the use of these structures by all target species, and recommend that the importance of these movements for gene flow and population persistence remains to be evaluated.",Canopy bridges may be important to mitigate the impact of roads and power lines on wildlife,Camera traps,N/A,N/A,N/A,N/A,N/A,Photo,N/A,N/A,N/A,0.5,N/A,N/A,(The bridge is constructed with four 12 mm parallel ropes) Local people were also trained to register their observations,,,,,,,,,
Villalobos-Hoffman et al. 2022,2022,North America,Costa Rica,Upper-middle income,Tapir Biological Corridor (PTBC),National/Provincial/Nature Reserve,Paved,Wildlife underpass crossing + Canopy bridge,Multi-taxa,N/A,N/A,N/A,The underpasses and overpasses eventually used by 21 mammalian species.,Recommend that best practices demand that mitigation strategies be accompanied by a program to monitor the effectiveness of underpasses and overpasses,The presence of wildlife crossings has reduced the number of roadkill mortalities that would otherwise have occurred without the crossings,N/A,No Fencing,N/A,N/A,N/A,N/A,Photo,N/A,N/A,N/A,1.5,2.5,N/A,N/A,,,,,,,,,
Wang et al. 2016,2016,Asia,China,Upper-middle income,Changbai Mountain,National/Provincial/Nature Reserve,Paved,Wildlife underpass crossing,Multi-taxa,03-Jul-05,05-Jul-05,13 months,"A total of 13 medium and large-sized wildlife species crossed highway through tunnels, bridges and culverts",Recommend that short fences should be set around the bridges and culverts to guide animals to cross the passages,"Tunnels, bridges, and culverts have become important passages for wildlife, although these structures were originally built for non-wildlife purposes",N/A,No Fencing,N/A,N/A,N/A,N/A,Photo,0.5,N/A,N/A,N/A,N/A,N/A,Used both infra-red camera trapping and snow tracking  ,,,,,,,,,
Wang et al. 2018,2018,Asia,China,Upper-middle income,Qinghai–Tibet railway,National/Provincial/Nature Reserve,Railway,Non-wildlife underpass crossing,Mammal,01-Aug-14,01-Jun-16,16  months,Thirteen species of mammals were detected using small bridges and culverts to cross the railway,The study suggest that road design schemes include wider crossing structures to benefit the most species.,"The study indicates that small bridges and culverts, even if not originally designed for the movement of wildlife, can facilitate wildlife movement across the transportation infrastructure and can be important parts of regional conservation strategies ",Infrared cameras,N/A,N/A,N/A,Oct-60,3,Photo,0.5,N/A,4,1.5-23,2-5.7,45076,N/A,,,,,,,,,
Warnock-Juteau et al. 2022,2022,North America,Canada,High-income,Quebec,Ecoregion,Paved & Unpaved,Non-wildlife underpass crossing,Mammal,01-Sep-16,01-Nov-18,27 months,This study provide evidence that 21 species of mammals in the study area successfully crossed through at least one of the eight observed underpasses,The study recommend  installation of fencing should be installed along Highway to increase the use of existing underpasses by mammals by guiding wildlife to the structures as this will decrease road mortality.,"Wildlife fencing is effective at reducing road mortality, whereas measures that are less expensive than fencing, such as wildlife warning signs and reflectors, are ineffective, and wildlife passages do not reduce road mortality unless fences are present",Infrared motion-detection camera traps,No Fencing,N/A,N/A,N/A,N/A,Photo,1.2,N/A,4,1.6-25,1.8-15,41.9-94.3,N/A,,,,,,,,,
Yap et al. 2022,2022,Asia,Malaysia,Upper-middle income,"Teluk Bahang, Penang,",Forest/Woodland,Paved,Canopy bridge,Arboreal,01-Apr-19,01-May-21,24 months,"The study has recorded a total of 2128 animal crossings, comprising three mammal species between March 2019 and May 2021","Recommend that researchers collaborate with multiple stakeholders, including topographers for location selection and engineers who could recommended bridge selection and placement","Road and urban canopy bridges should be included as part of the town and state planning proposals to mitigate habitat fragmentation and raise awareness
on the impact of roadkill and the expanding human-wildlife interface.",Bushnell Model 119537,N/A,N/A,N/A,N/A,3,Photo & Video,12,N/A,N/A,N/A,12,12.5,N/A,,,,,,,,,
Zainol et al. 2021,2021,Asia,Malaysia,Upper-middle income,Felda Aring,Forest/Woodland,Paved,Non-wildlife underpass crossing,Mammal,01-Dec-17,01-Jul-18,8 months,"Out of all recorded medium- to large mammal species, 16 were recorded at the forest edges while ten were recorded at the viaducts, and five were recorded at the bridges",Future research should assess the viaducts usage when the trees planted at the viaducts start to bear fruits (change in vegetation cover/habitat),"Most of the common large-mammal species inhabiting the forest edges were recorded utilising the CS, and the viaducts were categorised as the most effective wildlife crossing along the road",Digital camera traps,No Fencing,N/A,N/A,60,3,Photo,0.3,N/A,N/A,140-245,13.93-15.40,10.30-12.95,N/A,,,,,,,,,
