Ha_stage,Treatment,Prey,samples,Prey_density,Live_aphids_24h,Dead_aphid_24h,Predation_24h
adult,E,Save,E50-2,50,9,0,41
adult,E,Save,E50-3,50,27,0,23
adult,E,Save,E50-4,50,21,0,29
adult,E,Save,E50-5,50,10,0,40
adult,E,Save,E100-1,100,56,0,44
adult,E,Save,E100-2,100,40,0,60
adult,E,Save,E100-3,100,54,0,46
adult,E,Save,E100-4,100,53,0,47
adult,E,Save,E100-5,100,44,0,56
adult,E,Save,E150-1,150,94,0,56
adult,E,Save,E150-2,150,83,0,67
adult,E,Save,E150-3,150,110,0,40
adult,E,Save,E150-4,150,62,0,88
adult,E,Save,E150-5,150,72,0,78
adult,E,Save,E200-1,200,74,0,126
adult,E,Save,E200-2,200,99,0,101
adult,E,Save,E200-3,200,66,0,134
adult,E,Save,E200-4,200,112,0,88
adult,E,Save,E200-5,200,101,0,99
adult,E,Save,E250-1,250,146,0,104
adult,E,Save,E250-2,250,101,0,149
adult,E,Save,E250-3,250,110,0,140
adult,E,Save,E250-4,250,125,0,125
adult,E,Save,E250-5,250,135,0,115
adult,A,Rpad,A50-1,50,32,1,17
adult,A,Rpad,A50-2,50,0,0,50
adult,A,Rpad,A50-3,50,45,0,5
adult,A,Rpad,A50-4,50,2,0,48
adult,A,Rpad,A50-5,50,16,0,34
adult,A,Rpad,A100-1,100,84,2,14
adult,A,Rpad,A100-2,100,61,3,36
adult,A,Rpad,A100-3,100,19,2,79
adult,A,Rpad,A100-4,100,83,1,16
adult,A,Rpad,A100-5,100,54,0,46
adult,A,Rpad,A150-1,150,92,6,52
adult,A,Rpad,A150-2,150,119,0,31
adult,A,Rpad,A150-3,150,107,1,42
adult,A,Rpad,A150-4,150,72,2,76
adult,A,Rpad,A150-5,150,102,3,45
adult,A,Rpad,A200-1,200,160,4,36
adult,A,Rpad,A200-2,200,149,1,50
adult,A,Rpad,A200-3,200,152,0,48
adult,A,Rpad,A200-4,200,170,3,27
adult,A,Rpad,A200-5,200,156,2,42
adult,A,Rpad,A250-1,250,152,1,97
adult,A,Rpad,A250-2,250,203,3,44
adult,A,Rpad,A250-3,250,194,4,52
adult,A,Rpad,A250-4,250,218,2,30
adult,A,Rpad,A250-5,250,181,6,63
adult,E,Rpad,E50-1,50,16,2,32
adult,E,Rpad,E50-2,50,0,0,50
adult,E,Rpad,E50-3,50,0,0,50
adult,E,Rpad,E50-4,50,0,0,50
adult,E,Rpad,E50-5,50,3,0,47
adult,E,Rpad,E100-1,100,45,1,54
adult,E,Rpad,E100-2,100,7,2,91
adult,E,Rpad,E100-3,100,0,6,94
adult,E,Rpad,E100-4,100,30,1,69
adult,E,Rpad,E100-5,100,36,1,63
adult,E,Rpad,E150-1,150,83,3,64
adult,E,Rpad,E150-2,150,53,2,95
adult,E,Rpad,E150-3,150,86,4,60
adult,E,Rpad,E150-4,150,91,3,56
adult,E,Rpad,E150-5,150,47,4,99
adult,E,Rpad,E200-1,200,194,6,0
adult,E,Rpad,E200-2,200,104,5,91
adult,E,Rpad,E200-3,200,58,2,140
adult,E,Rpad,E200-4,200,83,2,115
adult,E,Rpad,E200-5,200,0,3,197
adult,E,Rpad,E250-1,250,120,2,128
adult,E,Rpad,E250-2,250,173,6,71
adult,E,Rpad,E250-3,250,189,4,57
adult,E,Rpad,E250-4,250,182,5,63
adult,E,Rpad,E250-5,250,158,4,88
