Test;Test301;;;;;;;;;;;;;;;;;;;;;
Mud;MA;;;;;;;;;;;;;;;Column 1 was misplaced in the outer left position. The backlight quality at this location influenced the processing of these images in a negative way;;;;;;
Duration;;;;;;;;;;;;;;;;;;;;;;
Column;Col1;;;;;;;;;;;;;;;;;;;;;
ClimateDataFile;C:\_data\18_005 slibkolom\Proefbeelden kolommen\Run 3\Test301_MA\Test301_ClimatedataHal3.csv;;;;;;;;;;;;;;;;;;;;;
Time Stamp;C:\_projects\18_005_MudConsolidationColumns\Processing\Branch\10SmallColumns\Source\TFS\TFS_Tubes_v1\TFS_Tubes_col1_Test301.ini;;;;;;;;;;;;;;;;;;;;;
Timestamp;Timestamp [s];ImageNr;Image1;Image2;Image3;Temperature [°C];Relative Humidity [%];Column1 [px];Column1 Valid;Column2 [px];Column2 Valid;Column3 [px];Column3 Valid;;;;;? Z1;;? Z2;;? Z3
26/05/2020 17:26;18899;22;Image20200526-162648_22_65.000.bmp;Image20200526-162648_22_80.000.bmp;Image20200526-162648_22_120.000.bmp;;;16.539.559;TRUE;16.884.500;TRUE;17.350.150;TRUE;;;899;;;;113.151;;135.338
26/05/2020 17:41;19800;23;Image20200526-164149_23_65.000.bmp;Image20200526-164149_23_80.000.bmp;Image20200526-164149_23_120.000.bmp;;;16.621.172;TRUE;16.983.029;TRUE;17.470.766;TRUE;;;901;;81.613;;98.529;;120.616
26/05/2020 17:56;20700;24;Image20200526-165649_24_65.000.bmp;Image20200526-165649_24_80.000.bmp;Image20200526-165649_24_120.000.bmp;;;16.728.658;TRUE;17.069.840;TRUE;17.564.774;TRUE;;;900;;107.486;;86.811;;94.008
26/05/2020 18:11;21600;25;Image20200526-171149_25_65.000.bmp;Image20200526-171149_25_80.000.bmp;Image20200526-171149_25_120.000.bmp;;;16.815.782;TRUE;17.149.428;TRUE;17.686.499;TRUE;;;900;;87.124;;79.588;;121.725
26/05/2020 18:26;22499;26;Image20200526-172648_26_65.000.bmp;Image20200526-172648_26_80.000.bmp;Image20200526-172648_26_120.000.bmp;;;16.882.912;TRUE;17.227.869;TRUE;17.765.558;TRUE;;;899;;67.130;;78.441;;79.059
26/05/2020 18:41;23400;27;Image20200526-174149_27_65.000.bmp;Image20200526-174149_27_80.000.bmp;Image20200526-174149_27_120.000.bmp;;;16.950.066;TRUE;17.294.139;TRUE;17.838.900;TRUE;;;901;;67.154;;66.270;;73.342
26/05/2020 18:56;24300;28;Image20200526-175649_28_65.000.bmp;Image20200526-175649_28_80.000.bmp;Image20200526-175649_28_120.000.bmp;;;17.013.672;TRUE;17.352.277;TRUE;17.904.111;TRUE;;;900;;63.606;;58.138;;65.211
26/05/2020 19:11;25200;29;Image20200526-181149_29_65.000.bmp;Image20200526-181149_29_80.000.bmp;Image20200526-181149_29_120.000.bmp;;;17.075.836;TRUE;17.405.811;TRUE;17.961.011;TRUE;;;900;;62.164;;53.534;;56.900
26/05/2020 19:26;26100;30;Image20200526-182649_30_65.000.bmp;Image20200526-182649_30_80.000.bmp;Image20200526-182649_30_120.000.bmp;;;17.135.573;TRUE;17.457.791;TRUE;18.013.874;TRUE;;;900;;59.737;;51.980;;52.863
26/05/2020 19:41;27000;31;Image20200526-184149_31_65.000.bmp;Image20200526-184149_31_80.000.bmp;Image20200526-184149_31_120.000.bmp;;;17.194.562;TRUE;17.509.426;TRUE;18.060.974;TRUE;;;900;;58.989;;51.635;;47.100
26/05/2020 19:56;27900;32;Image20200526-185649_32_65.000.bmp;Image20200526-185649_32_80.000.bmp;Image20200526-185649_32_120.000.bmp;;;17.244.080;TRUE;17.556.646;TRUE;18.108.832;TRUE;;;900;;49.518;;47.220;;47.858
26/05/2020 20:11;28800;33;Image20200526-191149_33_65.000.bmp;Image20200526-191149_33_80.000.bmp;Image20200526-191149_33_120.000.bmp;;;17.294.992;TRUE;17.605.451;TRUE;18.151.555;TRUE;;;900;;50.912;;48.805;;42.723
26/05/2020 20:26;29700;34;Image20200526-192649_34_65.000.bmp;Image20200526-192649_34_80.000.bmp;Image20200526-192649_34_120.000.bmp;;;17.341.789;TRUE;17.651.133;TRUE;18.193.094;TRUE;;;900;;46.797;;45.682;;41.539
26/05/2020 20:41;30600;35;Image20200526-194149_35_65.000.bmp;Image20200526-194149_35_80.000.bmp;Image20200526-194149_35_120.000.bmp;;;17.431.715;TRUE;17.694.968;TRUE;18.233.250;TRUE;;;900;;89.926;;43.835;;40.156
26/05/2020 20:56;31500;36;Image20200526-195649_36_65.000.bmp;Image20200526-195649_36_80.000.bmp;Image20200526-195649_36_120.000.bmp;;;17.438.561;TRUE;17.738.773;TRUE;18.273.441;TRUE;;;900;;6.846;;43.805;;40.191
26/05/2020 21:11;32400;37;Image20200526-201149_37_65.000.bmp;Image20200526-201149_37_80.000.bmp;Image20200526-201149_37_120.000.bmp;;;17.565.088;TRUE;17.779.804;TRUE;18.311.835;TRUE;;;900;;126.527;;41.031;;38.394
26/05/2020 21:26;33300;38;Image20200526-202649_38_65.000.bmp;Image20200526-202649_38_80.000.bmp;Image20200526-202649_38_120.000.bmp;;;17.624.129;TRUE;17.820.875;TRUE;18.347.699;TRUE;;;900;;59.041;;41.071;;35.864
26/05/2020 21:41;34200;39;Image20200526-204149_39_65.000.bmp;Image20200526-204149_39_80.000.bmp;Image20200526-204149_39_120.000.bmp;;;17.685.243;TRUE;17.860.261;TRUE;18.382.412;TRUE;;;900;;61.114;;39.386;;34.713
26/05/2020 21:56;35100;40;Image20200526-205649_40_65.000.bmp;Image20200526-205649_40_80.000.bmp;Image20200526-205649_40_120.000.bmp;;;17.683.166;TRUE;17.898.502;TRUE;18.417.329;TRUE;;;900;;-2.077;;38.241;;34.917
26/05/2020 22:11;36000;41;Image20200526-211149_41_65.000.bmp;Image20200526-211149_41_80.000.bmp;Image20200526-211149_41_120.000.bmp;;;17.769.497;TRUE;17.935.452;TRUE;18.450.818;TRUE;;;900;;86.331;;36.950;;33.489
26/05/2020 22:26;36900;42;Image20200526-212649_42_65.000.bmp;Image20200526-212649_42_80.000.bmp;Image20200526-212649_42_120.000.bmp;;;17.813.085;TRUE;17.971.866;TRUE;18.484.290;TRUE;;;900;;43.588;;36.414;;33.472
26/05/2020 22:41;37800;43;Image20200526-214149_43_65.000.bmp;Image20200526-214149_43_80.000.bmp;Image20200526-214149_43_120.000.bmp;;;17.859.210;TRUE;18.008.777;TRUE;18.515.613;TRUE;;;900;;46.125;;36.911;;31.323
26/05/2020 22:56;38700;44;Image20200526-215649_44_65.000.bmp;Image20200526-215649_44_80.000.bmp;Image20200526-215649_44_120.000.bmp;;;17.899.371;TRUE;18.042.184;TRUE;18.548.865;TRUE;;;900;;40.161;;33.407;;33.252
26/05/2020 23:11;39600;45;Image20200526-221149_45_65.000.bmp;Image20200526-221149_45_80.000.bmp;Image20200526-221149_45_120.000.bmp;;;17.938.900;TRUE;18.074.911;TRUE;18.579.135;TRUE;;;900;;39.529;;32.727;;30.270
26/05/2020 23:26;40500;46;Image20200526-222649_46_65.000.bmp;Image20200526-222649_46_80.000.bmp;Image20200526-222649_46_120.000.bmp;;;17.980.097;TRUE;18.108.784;TRUE;18.610.988;TRUE;;;900;;41.197;;33.873;;31.853
26/05/2020 23:41;41400;47;Image20200526-224149_47_65.000.bmp;Image20200526-224149_47_80.000.bmp;Image20200526-224149_47_120.000.bmp;;;18.019.366;TRUE;18.140.099;TRUE;18.639.175;TRUE;;;900;;39.269;;31.315;;28.187
26/05/2020 23:56;42300;48;Image20200526-225649_48_65.000.bmp;Image20200526-225649_48_80.000.bmp;Image20200526-225649_48_120.000.bmp;;;18.057.164;TRUE;18.170.690;TRUE;18.669.590;TRUE;;;900;;37.798;;30.591;;30.415
27/05/2020 0:11;43200;49;Image20200526-231149_49_65.000.bmp;Image20200526-231149_49_80.000.bmp;Image20200526-231149_49_120.000.bmp;;;18.087.682;TRUE;18.200.217;TRUE;18.697.252;TRUE;;;900;;30.518;;29.527;;27.662
27/05/2020 0:26;44100;50;Image20200526-232649_50_65.000.bmp;Image20200526-232649_50_80.000.bmp;Image20200526-232649_50_120.000.bmp;;;18.105.419;TRUE;18.230.518;TRUE;18.726.667;TRUE;;;900;;17.737;;30.301;;29.415
27/05/2020 0:41;45000;51;Image20200526-234149_51_65.000.bmp;Image20200526-234149_51_80.000.bmp;Image20200526-234149_51_120.000.bmp;;;18.140.635;TRUE;18.259.182;TRUE;18.753.619;TRUE;;;900;;35.216;;28.664;;26.952
27/05/2020 0:56;45900;52;Image20200526-235649_52_65.000.bmp;Image20200526-235649_52_80.000.bmp;Image20200526-235649_52_120.000.bmp;;;18.163.528;TRUE;18.288.693;TRUE;18.780.552;TRUE;;;900;;22.893;;29.511;;26.933
27/05/2020 1:11;46800;53;Image20200527-001149_53_65.000.bmp;Image20200527-001149_53_80.000.bmp;Image20200527-001149_53_120.000.bmp;;;18.189.227;TRUE;18.315.084;TRUE;18.807.434;TRUE;;;900;;25.699;;26.391;;26.882
27/05/2020 1:26;47699;54;Image20200527-002648_54_65.000.bmp;Image20200527-002648_54_80.000.bmp;Image20200527-002648_54_120.000.bmp;;;18.218.538;TRUE;18.341.627;TRUE;18.833.981;TRUE;;;899;;29.311;;26.543;;26.547
27/05/2020 1:41;48600;55;Image20200527-004149_55_65.000.bmp;Image20200527-004149_55_80.000.bmp;Image20200527-004149_55_120.000.bmp;;;18.239.424;TRUE;18.369.854;TRUE;18.857.947;TRUE;;;901;;20.886;;28.227;;23.966
27/05/2020 1:56;49500;56;Image20200527-005649_56_65.000.bmp;Image20200527-005649_56_80.000.bmp;Image20200527-005649_56_120.000.bmp;;;18.263.458;TRUE;18.395.146;TRUE;18.884.317;TRUE;;;900;;24.034;;25.292;;26.370
