,source,target,type,weight,bottleneck_flux,norm_bottleneck_flux
16805,1787,725,Undirected,18,0.0,0.0
16806,0,1035,Undirected,5,0.0,0.0
16807,1494,1494,Undirected,124,0.0,0.0
16808,1227,1109,Undirected,4,0.0,0.0
16809,1888,913,Undirected,3,0.0,0.0
16810,392,18,Undirected,7,0.0,0.0
16811,1306,789,Undirected,4,0.0,0.0
16812,1371,1499,Undirected,3,0.0,0.0
16813,1890,615,Undirected,87,0.0,0.0
16814,1853,1279,Undirected,10,0.0,0.0
16815,1141,1838,Undirected,9,0.0,0.0
16816,692,692,Undirected,34,0.0,0.0
16817,1714,611,Undirected,2,0.0,0.0
16818,612,758,Undirected,29,0.0,0.0
16819,1937,1382,Undirected,6,0.0,0.0
16820,1504,1240,Undirected,1,0.0,0.0
16821,57,411,Undirected,5,0.0,0.0
16822,902,30,Undirected,4,0.0,0.0
16823,793,199,Undirected,1,0.0,0.0
16824,1203,286,Undirected,3,0.0,0.0
16825,171,171,Undirected,118,0.0,0.0
16826,301,1855,Undirected,8,0.0,0.0
16827,1827,567,Undirected,5,0.0,0.0
16828,392,1733,Undirected,1,0.0,0.0
16829,1684,758,Undirected,117,0.0,0.0
16830,544,331,Undirected,2,0.0,0.0
16831,1600,494,Undirected,1,0.0,0.0
16832,1769,1226,Undirected,1,0.0,0.0
16833,142,463,Undirected,1,0.0,0.0
16834,155,155,Undirected,14,0.0,0.0
16835,1634,1092,Undirected,51,0.0,0.0
16836,1605,1159,Undirected,1,0.0,0.0
16837,1800,1476,Undirected,11,0.0,0.0
16838,1866,1371,Undirected,2,0.0,0.0
16839,1502,1926,Undirected,1,0.0,0.0
16840,1713,1713,Undirected,148,0.0,0.0
16841,753,199,Undirected,1,0.0,0.0
16842,1227,967,Undirected,1,0.0,0.0
16843,558,543,Undirected,3,0.0,0.0
16844,1152,1066,Undirected,1,0.0,0.0
16845,1681,813,Undirected,9,0.0,0.0
16846,266,1818,Undirected,40,0.0,0.0
16847,880,1159,Undirected,1,0.0,0.0
16848,1742,1742,Undirected,6,0.0,0.0
16849,1197,1750,Undirected,1,0.0,0.0
16850,1233,948,Undirected,12,0.0,0.0
16851,1547,308,Undirected,14,0.0,0.0
16852,1928,1987,Undirected,8,0.0,0.0
16853,1194,1602,Undirected,6,0.0,0.0
16854,659,1926,Undirected,50,0.0,0.0
16855,33,374,Undirected,2,0.0,0.0
16856,1713,57,Undirected,16,0.0,0.0
16857,1378,951,Undirected,1,0.0,0.0
16858,1762,1762,Undirected,59,0.0,0.0
16859,432,1523,Undirected,1,0.0,0.0
16860,1356,780,Undirected,1,0.0,0.0
16861,852,1383,Undirected,2,0.0,0.0
16862,49,1066,Undirected,1,0.0,0.0
16863,1251,711,Undirected,3,0.0,0.0
16864,258,819,Undirected,9,0.0,0.0
16865,1160,211,Undirected,329,0.0,0.0
16866,690,1989,Undirected,1,0.0,0.0
16867,1514,99,Undirected,31,0.0,0.0
16868,1136,983,Undirected,2,0.0,0.0
16869,296,589,Undirected,8,0.0,0.0
16870,1772,1606,Undirected,1,0.0,0.0
16871,176,1603,Undirected,2,0.0,0.0
16872,1513,1957,Undirected,6,0.0,0.0
16873,1603,580,Undirected,12,0.0,0.0
16874,931,383,Undirected,2,0.0,0.0
16875,1269,1269,Undirected,98,0.0,0.0
16876,1251,758,Undirected,10,0.0,0.0
16877,1106,732,Undirected,11,7.203425010490894e-07,0.6197773353878753
16878,451,623,Undirected,3,0.0,0.0
16879,1693,1693,Undirected,4,0.0,0.0
16880,1272,130,Undirected,10,0.0,0.0
16881,868,1887,Undirected,1,0.0,0.0
16882,269,173,Undirected,1,0.0,0.0
16883,1932,127,Undirected,13,0.0,0.0
16884,122,1180,Undirected,16,0.0,0.0
16885,454,879,Undirected,5,0.0,0.0
16886,708,1398,Undirected,1,0.0,0.0
16887,1760,1579,Undirected,3,0.0,0.0
16888,1150,166,Undirected,11,0.0,0.0
16889,1603,1964,Undirected,1,0.0,0.0
16890,1873,1787,Undirected,4,0.0,0.0
16891,385,385,Undirected,20,0.0,0.0
16892,424,1974,Undirected,10,0.0,0.0
16893,218,389,Undirected,48,0.0,0.0
16894,1248,1392,Undirected,4,0.0,0.0
16895,1361,442,Undirected,34,0.0,0.0
16896,1627,1087,Undirected,5,0.0,0.0
16897,1338,939,Undirected,1,0.0,0.0
16898,1232,978,Undirected,1,0.0,0.0
16899,848,990,Undirected,1,0.0,0.0
16900,816,1031,Undirected,1,0.0,0.0
16901,993,1941,Undirected,4,0.0,0.0
16902,978,819,Undirected,1,0.0,0.0
16903,1595,1851,Undirected,1,0.0,0.0
16904,275,1604,Undirected,3,0.0,0.0
16905,280,980,Undirected,4,0.0,0.0
16906,1324,1935,Undirected,1,0.0,0.0
16907,0,1627,Undirected,4,0.0,0.0
16908,810,231,Undirected,1,0.0,0.0
16909,770,1532,Undirected,1,0.0,0.0
16910,1054,1455,Undirected,1,0.0,0.0
16911,196,1260,Undirected,1,0.0,0.0
16912,1503,911,Undirected,3,0.0,0.0
16913,1018,853,Undirected,6,0.0,0.0
16914,1141,1607,Undirected,1,0.0,0.0
16915,1310,215,Undirected,1,0.0,0.0
16916,1988,1319,Undirected,2,0.0,0.0
16917,970,1410,Undirected,23,0.0,0.0
16918,33,949,Undirected,6,0.0,0.0
16919,840,1657,Undirected,2,0.0,0.0
16920,1464,1614,Undirected,1,0.0,0.0
16921,1819,1015,Undirected,1,0.0,0.0
16922,1026,290,Undirected,3,0.0,0.0
16923,100,1061,Undirected,5,0.0,0.0
16924,1696,1101,Undirected,1,0.0,0.0
16925,0,909,Undirected,3,0.0,0.0
16926,816,930,Undirected,5,0.0,0.0
16927,1482,1229,Undirected,9,0.0,0.0
16928,1728,509,Undirected,1,0.0,0.0
16929,584,1599,Undirected,1,0.0,0.0
16930,809,1110,Undirected,1,0.0,0.0
16931,1000,1442,Undirected,3,0.0,0.0
16932,1392,1827,Undirected,1,0.0,0.0
16933,781,151,Undirected,1,0.0,0.0
16934,1233,342,Undirected,8,0.0,0.0
16935,1320,96,Undirected,2,0.0,0.0
16936,1161,1819,Undirected,2,0.0,0.0
16937,995,1404,Undirected,25,0.0,0.0
16938,468,1605,Undirected,6,0.0,0.0
16939,767,351,Undirected,2,0.0,0.0
16940,1570,871,Undirected,1,0.0,0.0
16941,1834,1883,Undirected,1,0.0,0.0
16942,1344,1823,Undirected,2,0.0,0.0
16943,1135,1135,Undirected,5,0.0,0.0
16944,1371,1758,Undirected,1,0.0,0.0
16945,1600,819,Undirected,2,0.0,0.0
16946,1945,1593,Undirected,2,0.0,0.0
16947,1824,625,Undirected,287,0.0,0.0
16948,1257,1204,Undirected,8,0.0,0.0
16949,1192,1576,Undirected,43,0.0,0.0
16950,1547,1827,Undirected,13,0.0,0.0
16951,1202,1612,Undirected,1,0.0,0.0
16952,896,1315,Undirected,1,0.0,0.0
16953,297,297,Undirected,54,0.0,0.0
16954,304,751,Undirected,21,0.0,0.0
16955,1465,282,Undirected,7,0.0,0.0
16956,1955,1955,Undirected,1,0.0,0.0
16957,1298,127,Undirected,2,0.0,0.0
16958,668,86,Undirected,1,0.0,0.0
16959,1640,1964,Undirected,1,0.0,0.0
16960,876,1958,Undirected,5,0.0,0.0
16961,1928,1928,Undirected,484,0.0,0.0
16962,74,1109,Undirected,49,0.0,0.0
16963,1219,1316,Undirected,11,0.0,0.0
16964,176,1900,Undirected,2,0.0,0.0
16965,1980,1054,Undirected,15,0.0,0.0
16966,706,1970,Undirected,1,0.0,0.0
16967,283,499,Undirected,1,0.0,0.0
16968,1155,758,Undirected,39,0.0,0.0
16969,1809,1491,Undirected,17,0.0,0.0
16970,819,1356,Undirected,45,0.0,0.0
16971,1438,1191,Undirected,7,0.0,0.0
16972,626,1549,Undirected,1,0.0,0.0
16973,1581,1453,Undirected,3,0.0,0.0
16974,130,347,Undirected,3,0.0,0.0
16975,728,814,Undirected,1,0.0,0.0
16976,1721,604,Undirected,2,0.0,0.0
16977,330,330,Undirected,9,0.0,0.0
16978,1988,887,Undirected,1,0.0,0.0
16979,1091,635,Undirected,6,0.0,0.0
16980,817,261,Undirected,7,0.0,0.0
16981,986,701,Undirected,6,0.0,0.0
16982,1548,1590,Undirected,10,0.0,0.0
16983,1344,1700,Undirected,32,0.0,0.0
16984,1376,1957,Undirected,13,0.0,0.0
16985,1837,1087,Undirected,23,0.0,0.0
16986,627,1332,Undirected,23,0.0,0.0
16987,889,1077,Undirected,9,0.0,0.0
16988,1078,1455,Undirected,2,0.0,0.0
