1.0515e-17,8.0843e-16,1.1445e-15,9.9006e-16,1.2028e-15,9.3303e-16,1.6522e-15,8.0397e-16,4.1452e-16,1.3941e-15,1.1413e-15,1.3875e-15,1.3559e-15,1.1271e-15,1.0894e-15,1.0475e-15,9.348e-16,1.3809e-15,1.4066e-15,1.2176e-15,1.2675e-15,-5.4941e-15,1.7187e-13,1.049e-13,6.7501e-14,5.441e-14,8.1139e-15,3.4154e-15,1.8941e-15,1.1458e-15,1.5883e-15,-3.4694e-16,-1.9366e-16,2.3729e-15,3.6659e-16,1.6532e-16,5.782e-15,8.0697e-15,8.7839e-14,-9.6297e-15,3.6963e-14,5.9384e-14,1.2943e-14,8.0205e-15,5.626e-15,2.9483e-15,-1.6946e-15,-7.3778e-14,-7.6328e-15,-2.9512e-15,-4.2632e-15,7.6158e-16,9.8942e-16,9.7821e-16,8.5838e-16,2.119e-15,1.0156e-15,5.0705e-16,3.131e-16,1.4215e-15,-7.9747e-16,-3.8259e-15,1.6843e-14,4.0774e-14,1.5339e-14,6.1368e-15,1.9884e-15,5.096e-15,2.1258e-15,2.6595e-15,1.4876e-15,1.3018e-15,1.8572e-15,2.1995e-15,1.6079e-15,1.2453e-15,1.1233e-15,1.1948e-15,5.3681e-16,1.0158e-15,1.2003e-15,2.2549e-15,-1.1702e-15,1.3368e-15,1.5689e-15,-2.116e-16,1.4623e-15,9.9682e-16,3.1327e-16,5.3209e-16,1.7683e-17
-8.9197e-17,-0.86827,-0.83547,-0.84678,-0.77687,-0.80445,-0.87348,-0.82049,-0.81488,-0.82462,-0.80174,-0.91109,-0.92923,-0.85253,-0.83008,-0.81918,-0.81792,-0.78663,-0.79164,-0.80268,-0.82625,-0.8336,-154.27,-115.82,-64.678,-39.825,-8.5114,4.7778,6.0651,6.89,6.5704,7.3834,7.302,7.2042,7.0741,6.6846,7.2929,154.06,345.32,172.92,-23.442,-36.708,-5.5598,0.83178,3.9562,4.9876,6.5223,239.35,42.76,18.273,19.595,8.2295,7.5754,6.5292,6.6316,6.146,6.8873,6.8247,6.6011,6.4193,57.621,74.684,51.749,159.35,87.718,56.729,46.371,25.135,14.903,13.034,9.3671,8.182,8.8034,8.7567,7.4851,7.4064,7.2614,7.1583,6.5623,6.3433,6.4741,7.2538,7.1861,6.5055,7.033,6.4732,6.5585,6.8915,6.6845,7.113,2.0599e-15
-1.661e-16,4.2492,4.1064,4.167,3.8281,3.9432,4.2636,4.0164,3.9956,4.0563,3.9377,4.4579,4.5496,4.1832,4.0876,4.0246,4.0184,3.8441,3.8817,3.941,4.0504,4.0868,747.4,565.75,318.28,194.48,42.991,21.526,13.588,11.387,12.682,10.562,10.668,11.48,11.026,11.015,11.147,146.29,322.48,160.89,190.67,228.01,74.007,42.256,26.231,19.614,27.933,244.02,48.217,23.24,22.672,12.867,11.677,10.314,10.913,10.339,10.941,11.059,10.839,10.361,57.886,73.143,74.456,303.47,171.34,109.32,78.815,49.157,29.782,26.878,18.93,17.571,16.505,14.551,13.191,12.751,13.775,12.771,11.772,14.542,13.835,13.013,12.16,11.491,11.777,10.998,10.858,11.14,10.601,11.441,6.6705e-16
1.6858e-16,10.56,10.485,10.717,9.9267,9.9005,10.423,9.998,10.052,10.407,10.009,11.065,11.339,10.57,10.558,10.249,10.232,9.4684,9.766,9.9948,10.175,10.272,1737.3,1389.4,818.86,477.01,128.03,30.149,16.333,11.892,15.652,5.7403,7.8319,9.2042,9.4122,9.5478,8.5402,-9.9171,-34.83,-5.1809,475.88,501.58,164.96,83.593,43.544,32.251,46.988,20.987,11.73,10.862,7.4043,9.6891,9.0682,8.6677,9.3953,9.3813,9.0163,9.3103,9.2133,8.8158,2.7646,-0.2655,38.429,259.24,199.88,104.88,63.136,50.019,30.388,28.681,22.291,20.919,18.248,14.285,14.107,13.643,15.662,13.663,13.387,20.741,18.767,14.997,12.005,11.257,10.776,10.85,9.9213,9.8003,9.1071,9.592,2.1589e-16
3.7164e-16,9.2464,9.8373,10.266,9.7239,9.2068,9.0455,8.9652,9.2479,9.8163,9.2831,9.6905,9.967,9.7392,10.174,9.6685,9.5426,8.4512,8.9867,9.1525,9.1825,9.4239,1156.5,1223.4,813.76,435.23,183.39,34.521,22.372,18.277,21.332,6.0703,8.8064,8.8497,11.069,9.7675,8.9059,3.7532,-5.5307,18.57,507.73,344.96,148.51,72.974,33.83,36.082,44.744,40.021,11.842,10.798,8.951,8.8575,9.3717,9.521,9.5695,9.91,9.4296,9.4612,9.1473,9.2451,7.0116,5.87,14.871,130.41,229.2,90.945,48.406,42.854,27.184,25.6,25.199,21.669,21.981,19.037,18.321,17.839,18.497,16.74,19.462,27.668,25.11,20.004,14.607,12.481,11.882,12.735,11.117,10.902,10.268,9.9682,6.326e-16
6.7813e-16,8.2375,9.0405,9.6571,9.3214,9.5023,9.169,8.6979,8.9911,8.7941,8.4676,8.7731,8.7613,9.1371,9.4025,9.2997,8.7821,8.8944,8.7669,8.1055,8.3661,9.1179,539.45,1317.5,911.3,514.11,271.84,102.73,46.486,27.13,25.848,17.581,9.242,8.6421,11.499,9.8927,9.5075,15.945,22.818,-17.904,540.26,291.85,140.88,79.646,33.119,48.137,31.89,48.291,16.729,11.382,10.893,9.2104,9.8315,9.7675,9.9274,10.185,9.8384,9.5966,9.2877,9.3754,11.283,11.999,11.286,54.132,202.67,113.96,50.534,33.238,31.001,25.262,25.327,21.022,25.288,25.123,22.064,18.833,18.279,17.96,27.089,32.125,28.319,20.406,15.753,14.3,13.012,12.493,11.661,11.164,10.541,10.415,6.9047e-16
6.7946e-16,8.6123,9.2075,10.04,9.4976,10.033,9.7841,9.2568,9.3592,8.6417,8.579,9.3458,9.071,9.3289,9.3728,9.4996,9.1028,9.6806,9.3767,8.5901,8.6963,9.3565,202.61,1968.1,1256.5,592.54,297.58,148.19,55.121,28.912,30.848,26.623,10.549,8.9151,10.687,9.3486,9.4195,7.8926,4.2176,130.07,561.12,294.45,128.99,81.606,34.301,59.586,26.761,23.264,17.179,11.089,10.186,9.773,9.7448,9.2377,9.9577,9.7564,9.6767,9.3763,9.518,9.3605,8.5826,8.2962,12.007,39.857,156.36,135.78,49.558,32.853,37.179,27.616,25.773,21.71,26.149,28.002,24.03,18.358,18.571,19.83,25.455,32.049,26.089,17.742,14.628,14.395,13.441,11.49,11.523,10.711,10.121,10.308,7.1451e-16
5.6477e-16,8.9196,9.1956,9.9039,9.0012,9.0523,9.0707,9.1933,9.0657,8.6882,8.6163,9.6868,9.552,9.0704,9.2408,9.1913,9.2294,9.0509,9.3631,9.3956,8.8956,8.8446,4.4068,2178.3,1390.9,578.6,252.34,118.26,46.193,21.225,42.091,23.352,11.003,9.7467,10.115,8.9095,8.9843,10.378,10.523,498.3,464.14,211.32,92.823,58.684,29.206,61.487,31.189,19.092,15.861,11.7,9.6794,10.048,9.6246,9.0005,9.9219,9.2387,9.524,9.4566,9.9686,9.6861,9.6091,9.1277,9.3,51.433,150.83,119.53,40.26,40.798,39.873,29.387,27.196,24.428,26.008,28.577,26.037,19.933,21.209,23.28,22.56,28.205,21.392,15.999,13.34,12.856,13.068,11.404,11.347,10.498,10.1,10.148,8.0208e-16
8.6412e-16,9.1634,9.1013,8.9491,8.105,8.3836,9.2473,9.5481,9.2334,9.1442,8.8126,9.5455,10.044,9.1778,9.3178,9.361,8.9498,9.1136,9.4731,9.5637,9.1161,8.9563,-2.526,938.74,936.57,669.59,269.45,78.059,58.072,14.541,62.195,20.773,8.7163,9.8704,9.8629,9.3001,8.5462,10.516,14.361,687.3,261.61,125.47,70.032,40.31,29.234,57.652,33.257,23.062,13.235,11.862,9.451,9.689,9.4728,9.177,9.9083,9.0921,9.6217,9.99,10.065,9.6019,10.196,9.5897,9.2961,63.202,192.29,83.645,40.944,43.587,39.512,28.48,26.182,26.717,28.032,30.97,29.331,22.97,22.318,23.894,35.635,23.367,19.324,15.684,13.616,11.996,11.684,11.147,10.804,10.233,10.146,10.105,1.4409e-15
1.2422e-15,9.3486,9.254,8.6441,8.3201,8.5933,9.1677,9.6466,9.1773,9.2642,8.9777,8.6709,9.8115,9.7267,9.582,9.4337,8.6213,9.0648,9.9182,9.3125,9.4346,9.3083,15.567,93.286,1032.4,809.67,324.35,81.371,62.821,25.41,77.962,56.709,22.703,10.117,9.6669,9.8,8.9516,9.6589,-0.37574,613.18,156.15,77.487,56.716,38.448,32.335,47.999,43.853,29.602,15.612,12.252,10.053,9.6656,8.9359,9.1265,9.962,9.0284,9.7984,10.275,9.8528,9.0599,10.09,9.1524,9.6545,52.028,191.43,83.095,41.158,46.508,37.081,26.991,25.743,26.866,30.342,30.836,28.064,22.916,20.302,19.174,31.56,19.037,17.052,14.341,12.796,11.392,10.581,10.581,10.342,10.202,10.205,9.7293,1.5688e-15
