-3.1197e-18,3.6153e-17,-9.0849e-19,5.6603e-18,1.0835e-16,5.1262e-17,4.1019e-17,5.562e-17,-2.5441e-17,-8.4113e-18,2.991e-16,5.9981e-17,7.0987e-17,5.671e-17,6.9701e-17,1.1098e-16,9.0628e-17,1.0897e-16,2.0026e-17,1.388e-16,7.862e-17,9.3863e-17,-4.9527e-17,4.1444e-17,3.7846e-17,2.7922e-17,9.5417e-18,5.7258e-17,8.5124e-17,6.6851e-17,1.0011e-16,6.551e-17,-3.5533e-17,-3.0074e-17,7.6435e-17,5.812e-17,7.8851e-17,7.2703e-17,6.1804e-17,1.1652e-16,-8.6422e-18,2.1727e-16,6.0917e-17,1.2609e-16,1.6334e-16,-4.3147e-16,1.9541e-16,-1.0173e-17,-2.3398e-17,6.0057e-17,1.7864e-18,1.248e-17,-2.2742e-17,8.3907e-17,-6.6933e-17,-5.31e-18
5.0553e-17,0.44761,0.49297,0.56392,0.56129,0.56965,0.50278,0.39501,0.45475,0.38478,0.58842,0.60066,0.52861,0.2955,0.54137,0.4891,0.45509,0.64247,0.57829,0.44149,0.33236,0.43096,0.54958,0.41787,0.40372,0.60446,0.51193,0.58047,0.43117,0.37805,0.45322,0.57959,0.56375,0.58026,0.45356,0.50987,0.43338,0.33396,0.51179,0.6017,0.59174,0.46208,0.58699,0.58251,0.38741,0.80788,0.42111,0.54034,0.49834,0.48837,0.51132,0.68997,0.72414,1.3779,1.7734,-4.361e-17
1.3419e-16,0.80595,0.65102,0.80151,0.86728,0.86368,0.95227,0.76533,0.68293,0.6433,1.0555,0.95088,0.94767,0.59634,0.86755,0.78652,0.67974,0.95553,0.97196,0.786,0.64703,0.85506,0.97874,0.69496,0.66075,0.98859,0.78654,1.0195,0.76824,0.70371,0.86797,1.0617,0.97601,0.96502,0.7592,0.90735,0.78675,0.66978,0.82009,0.99495,0.96518,0.77337,1.0215,0.98355,1.3558,-0.2774,1.0791,0.96943,0.84876,0.84049,0.93037,1.1407,1.1573,1.8488,2.777,-6.0412e-17
4.5234e-17,0.77313,0.47456,0.51546,0.60075,0.5926,0.93951,0.77055,0.54389,0.56923,0.78554,0.9079,0.9122,0.64814,0.6551,0.72127,0.50594,0.64527,0.81636,0.74181,0.77017,0.86553,0.789,0.64864,0.61965,0.79458,0.67468,0.90057,0.69951,0.77164,0.84947,0.94006,0.7886,0.79315,0.69503,0.91044,0.75259,0.71453,0.71053,0.87264,0.75961,0.803,0.94837,0.97158,3.5399,2.7411,1.6896,0.97281,0.81302,0.83833,1.0085,1.0023,0.86323,0.8419,1.9161,8.095e-17
1.3362e-16,0.8162,0.92462,0.70884,0.5919,0.61724,0.88232,0.72269,0.76456,0.67239,0.70281,1.3642,0.99265,0.68693,0.67417,0.98121,0.68263,0.73849,0.81712,0.77138,0.99227,0.78035,0.5975,0.85567,0.83027,0.81613,0.95908,0.86956,0.69384,0.94015,0.76388,0.74244,0.63701,0.7788,0.8324,1.0701,0.76214,0.71825,0.91541,0.98084,0.78409,1.1885,1.0325,1.3401,6.9981,15.865,2.3253,1.1511,1.0052,1.1591,1.1533,0.95343,0.78612,0.71684,1.398,2.2476e-16
1.4027e-16,0.81035,1.1244,1.0886,0.76807,0.72953,0.76063,0.68005,0.89282,0.81285,2.4219,1.5191,1.0472,0.82289,0.9102,1.0264,0.91938,0.97087,0.82501,0.7072,0.96789,0.80023,0.8864,1.0357,0.86659,0.87903,1.0306,0.91257,0.74997,0.8507,0.68973,0.62362,0.68412,0.74667,0.82612,1.0094,0.72219,0.76994,1.0467,0.85161,1.0017,1.3202,0.99702,1.5993,8.4093,21.246,2.614,1.234,1.0259,1.5345,0.66602,0.14446,0.69261,0.63341,0.46217,1.3992e-16
4.7176e-17,0.76242,0.86214,1.1948,0.97858,0.76735,0.80691,0.72572,0.8278,0.95167,3.7682,1.9028,1.1621,0.96848,1.0484,0.86621,0.92131,1.0104,0.82952,0.59863,0.78131,0.94513,1.2228,1.0339,0.71575,0.78825,0.81856,0.84282,0.75333,0.67947,0.68878,0.64028,0.75233,0.75732,0.72916,0.83299,0.7472,0.86473,0.98061,0.66509,1.1114,1.0386,0.85679,1.4529,6.4804,14.018,2.2905,1.1268,0.9841,1.1707,2.3568,1.842,0.85327,0.77765,2.1065,1.5385e-16
-1.0929e-17,0.766,0.58719,0.91037,1.0764,0.74168,1.0557,0.85617,0.7396,1.0358,2.686,2.7304,1.3858,1.0302,0.89751,0.81249,0.69339,0.83851,0.87382,0.61951,0.75217,1.0517,1.0973,0.89099,0.53886,0.62672,0.63086,0.6547,0.72939,0.75247,0.76754,0.79618,0.73786,0.91098,0.76995,0.78895,0.89118,0.92286,0.85364,0.75358,0.95052,0.70839,0.76977,1.0463,2.8601,2.8423,1.5662,0.94358,0.98227,0.95515,7.9155,6.2071,1.4078,1.3448,5.9476,6.8603e-16
3.6932e-17,0.81835,0.77417,0.65314,0.89964,0.72782,0.97008,0.85552,0.69826,0.84757,1.2704,2.3107,1.3841,1.0709,0.68771,0.89129,0.55846,0.7826,0.82233,0.78733,0.98335,0.87711,0.79385,0.71681,0.28807,0.74203,0.61596,0.6539,0.90875,0.94793,0.81618,1.0121,0.86977,0.99365,0.89419,0.74717,0.85752,0.82103,0.78862,0.84427,0.72886,0.82145,0.69301,0.8237,1.136,0.16922,1.1831,0.81233,0.66264,4.0449,12.873,5.0941,1.624,1.1716,3.3509,3.7584e-16
8.7492e-17,0.87679,1.0358,0.68506,0.67385,0.77025,0.83648,0.62386,0.73323,0.70202,0.6049,1.2458,1.1633,1.0533,0.80894,0.92307,0.59346,0.82466,0.70573,0.88335,1.1132,0.7082,0.59081,0.64644,0.45442,0.96935,0.76128,0.67746,1.0248,0.98287,0.84848,1.0856,0.94254,0.94567,0.95585,0.80648,0.80397,0.58789,0.89095,0.8034,0.65811,1.1111,0.70657,0.83995,0.94177,1.3914,1.0414,0.74458,1.3246,6.4496,11.305,2.1955,1.4529,0.86565,0.24613,2.0739e-16
