-4.1925e-16,1.6515e-15,3.8138e-16,6.4206e-16,4.0486e-16,5.7438e-16,-1.1937e-16,3.1697e-16,4.3953e-16,5.6889e-16,8.9843e-16,5.5075e-16,1.4169e-15,1.229e-15,1.4351e-15,1.1499e-17,8.8738e-16,4.5299e-16,7.7715e-16,2.1784e-15,-5.9233e-16,6.7328e-16,-1.3865e-16,8.8724e-16,2.5655e-16,1.0756e-15,1.5169e-16,6.1851e-16,6.6291e-16,6.5921e-16,8.6262e-17,6.5201e-16,1.8229e-15,4.094e-16,4.9005e-16,-2.4556e-16,3.5108e-16,-2.7201e-16,4.7268e-16,9.456e-16,1.4244e-18,4.0152e-16,9.4835e-16,4.6192e-16,2.5762e-16,5.2428e-17,7.5527e-16,2.4519e-15,1.616e-15,8.4964e-16,1.5732e-15,8.3829e-16,5.5874e-16,6.8712e-16,4.6819e-16,1.4037e-16,1.1365e-15,2.2325e-16,1.4987e-16,7.2228e-16,1.7175e-16,9.2363e-17,-1.4463e-16,1.6534e-15,1.396e-15,5.7805e-16,6.6198e-16,4.0416e-15,4.7448e-16,8.8617e-16,3.8584e-16,8.0249e-16,6.7186e-16,1.1953e-15,4.4976e-16,-6.8948e-16,-1.8756e-16,2.5392e-16,-1.088e-16,9.6447e-16,2.3744e-16,4.739e-16,1.2959e-15,1.975e-16,9.4411e-16,7.7367e-16,7.5655e-16,1.8083e-15,3.5099e-16,1.002e-15,7.2626e-16,7.6212e-16,9.9245e-16,3.9578e-16,-1.3018e-15,-1.9039e-16,1.0829e-15,6.2101e-16,4.9763e-16,-7.1841e-17,5.3388e-16,5.7194e-16,1.0279e-15,5.6256e-16,6.0734e-16,9.3266e-16,-1.8045e-16,5.6313e-16,1.1335e-15,1.1043e-15,1.4757e-15,7.6126e-16,6.1831e-16,1.3354e-15,1.2618e-15,3.0672e-16,8.4083e-16,8.6853e-16,5.064e-16,4.9681e-16,9.0568e-16,6.8391e-16,-7.2648e-16,7.8715e-16,8.5637e-16,7.7146e-16,6.25e-16,1.9996e-15,7.3518e-16,7.3472e-17,-6.7674e-16,-1.9831e-16,6.6e-16,8.2128e-16,4.8294e-16,6.6532e-16,-5.5886e-16,2.6637e-16,6.5738e-16,1.4029e-16,9.1984e-16,2.6007e-15,1.2251e-15,6.4717e-16,1.3629e-17
-4.8179e-16,7.2758,4.4241,3.0149,3.4142,6.9923,4.8953,1.5996,3.7646,3.1889,1.7431,4.0058,4.9764,4.7511,4.38,5.9215,3.5718,1.6435,2.684,6.088,5.2767,2.291,4.0447,3.3642,7.3219,5.5568,4.5207,8.3801,8.2165,6.0637,5.5982,1.6549,3.909,4.148,6.326,4.5373,8.9968,5.5557,2.6138,3.9733,3.4366,4.7716,4.288,3.9507,5.6916,2.8965,5.8314,6.1697,7.3463,6.0337,4.1299,4.5087,5.2973,6.9337,6.2588,8.7502,6.0819,3.038,4.8357,1.6867,1.9868,3.3437,5.0395,5.4091,6.5907,3.7828,2.723,9.1098,6.4883,6.8432,2.7501,4.2534,4.0225,4.0724,3.5343,6.5279,4.2791,2.8888,5.2914,6.4645,3.2755,5.3653,2.5792,4.8864,3.9808,4.1628,4.9908,4.7145,2.9552,4.9776,4.2177,1.836,3.3582,1.9748,5.9211,5.6785,4.3713,4.5083,4.193,4.1184,2.7739,3.1064,4.2102,4.9755,5.9652,4.7938,4.7819,3.265,3.3559,5.9751,6.5068,7.4841,5.2961,4.8433,5.3591,4.6327,3.0769,4.6004,4.757,5.3352,3.9545,2.9813,5.6066,6.4998,5.609,5.9445,5.2057,9.1442,5.9947,4.9886,4.3767,3.3124,3.3373,5.8866,5.6084,1.7345,3.7928,2.2574,3.135,3.9255,6.4617,7.7314,6.0919,2.1709,6.5484e-16
8.1676e-16,14.524,9.3638,4.178,6.4241,9.668,6.553,3.1841,5.0461,6.2341,5.3593,6.4635,8.2489,9.7624,9.7086,9.2002,5.6332,4.1306,5.0315,9.6872,8.4154,2.986,4.8249,5.5528,12.725,10.419,7.068,14.83,12.692,9.2677,8.3514,4.7821,7.6789,6.5177,9.7047,7.9242,12.458,8.937,4.4028,6.376,4.9342,6.7409,6.8826,7.209,10.117,6.4488,7.9685,10.227,11.361,8.252,7.8016,8.3464,9.2911,10.522,7.8289,12.285,11.908,4.5696,7.1843,4.2649,3.2696,6.5548,8.5826,8.4055,10.841,6.7805,5.603,13.747,9.6002,10.396,5.4835,7.4417,8.5362,8.478,5.1825,11.719,6.5871,4.9923,8.1743,10.225,4.5509,7.68,7.0542,8.7376,6.1185,8.4114,7.049,9.599,4.3301,7.4377,5.9895,5.4754,7.5674,4.0588,9.8215,8.895,7.9866,8.5237,6.6032,5.0158,5.3532,5.5708,8.3605,8.4313,8.4415,6.6782,7.9615,8.0827,7.3647,8.9679,9.1453,10.241,8.7202,10.453,10.315,7.6129,6.8421,9.8646,8.9044,8.4748,8.9622,5.5145,7.9724,12.987,11.662,8.7798,10.807,15.768,10.046,7.1969,5.1626,4.9638,8.781,10.629,8.9488,4.9418,5.8118,4.8986,7.1144,6.5318,11.604,12.525,11.334,5.4082,1.3694e-15
9.565e-16,15.182,11.516,2.5512,7.0704,6.475,4.146,4.9915,5.0545,7.9727,6.5613,4.3468,7.0526,8.9674,9.7055,6.4366,4.5404,5.5275,6.379,7.1758,6.4372,3.3543,3.8537,5.5669,11.346,10.221,7.3554,12.13,7.5881,6.7725,6.9103,7.5546,8.4851,5.8872,8.2108,7.0881,7.509,6.6668,4.3892,5.5905,2.9189,4.2273,5.0978,8.5214,9.2437,7.2993,4.8576,8.1795,7.9359,5.4211,8.6649,7.5776,8.4618,7.1364,4.9775,7.1321,10.444,3.5457,5.037,6.4554,5.1907,7.2991,7.3859,6.9739,8.3187,6.3879,6.6764,8.4942,6.3476,7.6892,6.9503,6.8296,10.224,10.167,4.3109,10.766,4.2622,4.8182,6.6238,6.7092,3.806,5.6271,9.3442,7.9276,4.6778,9.5202,6.2555,11.143,3.2495,5.0478,5.3048,8.7979,8.4284,5.7473,9.0594,7.2556,9.163,9.6761,4.7181,3.7153,5.9288,5.2421,8.4771,8.0917,4.8518,5.6911,6.5841,10.449,9.0551,7.0693,5.7252,6.3418,8.1183,10.606,9.5153,6.4566,7.9894,9.0351,8.3825,6.1702,8.6718,5.9,5.5578,13.72,13.431,5.6601,10.166,13.245,8.4546,4.8837,2.8864,5.1241,11.194,8.9398,8.1517,6.9945,5.4502,5.3111,8.6697,6.0989,9.4389,9.7728,10.691,6.2612,1.574e-15
1.1782e-15,12.875,11.913,3.0966,8.9177,8.5249,5.4689,8.0951,9.8968,10.186,4.593,3.0732,6.6871,4.6333,5.3091,4.9759,4.5374,5.4621,8.2387,5.8393,5.9929,8.0076,8.7273,7.2222,10.058,9.193,10.732,8.2789,3.0656,6.2457,8.7111,8.8103,8.9303,7.5288,9.743,6.0465,7.2342,5.0279,5.6704,5.9499,2.7075,4.4897,4.2515,11.332,7.9512,6.3784,5.5738,6.4696,5.6966,6.49,10.215,5.7997,7.4775,5.7711,8.726,6.0945,5.7547,4.2094,5.2699,7.9689,10.088,7.9874,6.3576,7.9292,6.1205,5.9371,7.5158,5.565,5.5531,7.1362,8.4192,6.3651,10.448,10.565,6.1997,8.665,3.2502,5.6455,6.9489,4.262,6.5033,7.406,8.0502,6.9539,5.3514,9.5966,9.9341,11.998,4.3852,4.4033,8.3777,9.7864,6.5493,7.6923,10.033,7.0045,11.322,11.06,4.0946,7.1304,6.2603,5.2875,7.521,9.4788,4.3315,8.9033,5.6429,9.9204,9.4549,8.0663,5.5271,7.1317,8.8596,6.7345,6.7,6.0931,7.0916,4.5047,6.7264,5.3272,4.9998,7.2629,6.4205,12.284,13.129,4.8227,6.0375,9.8014,8.1322,5.5781,4.7323,8.0987,9.1659,5.966,9.1667,7.5081,7.2143,4.8394,8.4104,6.3607,5.278,8.0001,9.1086,4.5265,1.2741e-15
1.0395e-16,8.6797,7.8854,5.6281,12.018,12.067,7.3321,8.4675,11.421,8.5199,6.9974,6.3898,6.4443,2.9765,2.8388,5.4198,4.6041,4.3934,5.7906,6.24,7.9234,12.022,11.374,7.9815,8.8495,8.4103,10.309,8.4627,3.0159,6.261,9.153,7.8448,8.6496,8.6665,9.47,4.7208,7.4058,4.7319,7.2393,5.2924,5.3322,6.5801,5.8262,11.396,6.2638,6.2906,7.5934,5.4696,3.9784,6.6725,11.084,5.2087,5.8829,6.2777,11.75,7.3568,5.0525,5.4266,7.362,7.2943,10.508,8.3603,5.303,8.7069,5.3534,5.421,7.7357,7.4289,6.6545,5.9445,6.5446,5.9023,8.2775,7.7154,8.3716,5.1035,5.8402,7.1898,6.0219,6.9377,9.3458,10.275,5.858,7.0538,8.2194,7.8752,10.982,11.475,7.2094,4.7783,9.5254,6.5429,5.013,5.9124,9.6145,4.5854,9.8545,9.137,6.2354,7.3443,5.3033,6.7807,8.3874,10.695,7.2587,9.7412,5.0695,7.9972,8.3595,8.3156,5.5457,8.4414,6.9141,4.0967,5.8248,5.5126,5.4219,5.7617,5.5554,7.6224,7.9898,9.6052,7.0599,9.8188,10.062,6.179,5.8791,6.2364,10.029,8.2839,3.5012,8.0718,6.3264,5.6567,6.9437,9.4035,6.352,6.4866,7.2695,4.6212,3.2057,6.7802,8.8226,4.0917,9.7717e-16
2.571e-16,6.606,7.8994,8.3862,10.584,11.151,10.136,9.0105,8.3289,6.8098,9.4892,9.6927,8.3793,4.0801,2.7214,7.3841,6.0264,4.8173,3.9815,6.521,10.039,11.051,9.1417,9.8907,9.3665,9.3174,9.1585,8.3924,5.3874,5.7163,8.4189,7.3868,8.1378,8.6691,6.9228,6.2589,7.6366,7.1476,9.2478,8.132,10.293,8.0461,8.8168,10.012,5.5373,7.5249,9.4372,6.47,4.6851,5.5334,9.4266,6.088,6.15,6.2254,9.1359,7.9612,5.9927,5.4731,9.106,6.5023,6.9268,7.7756,5.4953,9.0747,5.941,4.7868,7.6682,9.0907,9.315,5.0454,5.5398,7.4978,6.7969,5.8857,9.0779,4.8483,9.2096,7.3345,5.5114,10.492,9.1485,10.166,4.522,7.8029,9.6837,6.5208,9.4298,10.424,8.7348,5.1975,8.3839,3.4153,5.5687,4.1,6.665,3.5797,7.3757,5.2373,8.183,6.2435,5.2437,8.8326,9.9694,9.3847,9.7648,9.7666,5.9879,6.5224,6.3909,8.5494,4.9146,8.6885,4.7394,3.5585,6.2056,7.2002,6.6101,8.1483,5.7494,8.5471,10.643,8.9271,5.5152,7.1686,8.0414,7.3994,7.8227,6.5561,9.8189,9.7198,2.8911,6.152,6.625,8.0904,6.8076,11.026,5.9396,7.8214,6.0746,5.6178,4.8846,5.9637,8.9281,6.9315,8.142e-16
1.3704e-15,7.3481,11.854,10.078,7.7149,7.308,12.96,11.666,5.2972,6.3411,8.3407,9.8453,10.253,6.7489,4.6287,8.9809,7.9731,5.8305,5.899,6.2197,10.157,7.1114,5.7744,11.599,10.94,10.505,9.6812,6.9281,6.1814,5.4657,8.6168,7.4801,7.3176,8.1277,4.9201,9.455,8.7618,11.077,9.6454,12.42,14.192,7.5443,10.678,9.9805,6.1433,8.9646,10.654,7.8705,8.2133,5.1912,6.8266,6.9135,7.7067,6.5948,6.2372,7.1842,5.8716,4.6928,9.262,6.1885,3.7024,6.6433,6.2843,8.7396,7.1441,5.3025,6.8,7.8283,11.48,5.3229,6.461,10.15,7.7845,6.5606,8.4225,8.1073,9.4835,6.9947,6.6458,10.774,6.9335,7.1765,3.7853,8.2212,8.0478,6.8288,8.0778,8.6806,7.8214,6.3866,8.25,4.0281,6.9371,4.5149,3.5662,5.0744,6.2715,3.6059,7.8863,6.1296,7.0044,8.84,9.8061,6.8156,9.7839,10.775,8.4058,6.9506,4.7388,8.331,5.2148,7.5504,4.7275,4.4776,6.8683,10.485,9.3956,7.2595,6.6212,6.7061,8.7997,6.3594,3.9542,5.6939,7.6043,7.8391,9.1775,9.7724,7.1278,8.5582,4.5295,5.2273,8.1942,9.8941,9.6688,11.148,6.2088,7.5143,5.5148,9.1004,8.0378,5.8167,9.1484,10.724,7.7643e-16
9.6069e-16,7.5022,9.8293,10.348,11.565,7.1696,12.352,13.453,6.8581,3.9884,6.7263,9.0793,7.4631,10.398,8.6459,8.0573,8.1348,4.9004,7.7767,6.4727,8.2213,6.2792,6.4545,8.7946,10.253,8.8598,9.032,8.1078,4.3482,7.1006,10.048,5.8565,5.7659,7.3769,5.5255,8.7681,10.135,12.105,5.9855,9.5166,12.924,6.1181,9.435,11.215,6.4556,9.0445,11.127,6.6844,11.326,6.7789,7.0586,6.3611,7.0293,9.8602,11.075,6.5885,6.3468,4.81,8.2109,5.3658,4.1336,6.2906,5.5047,7.4123,7.8137,8.0117,4.6976,6.715,10.513,5.5065,5.4728,9.6074,8.9142,6.3109,7.7437,9.4275,6.1707,8.5429,7.6302,8.5452,6.4239,5.1189,2.6317,7.7582,5.5934,7.5739,7.8098,5.38,6.5545,9.0657,10.898,7.2662,6.4366,4.797,4.0191,5.3992,5.5438,6.5054,6.4215,5.4466,8.3057,5.6181,7.4724,6.4653,8.3578,11.219,10.364,9.1779,4.2559,5.0337,7.713,5.5727,5.5572,6.4043,8.1792,10.814,8.7211,5.9202,7.0047,5.9279,7.967,7.5706,5.9479,6.6463,5.8359,8.3617,10.191,9.819,6.602,6.7932,4.5057,6.4565,6.6814,7.8118,8.9655,11.048,3.59,7.6567,5.9167,8.6609,8.8253,6.5674,9.8132,10.886,1.1968e-15
1.1556e-15,7.5155,8.3545,8.9476,7.9401,6.4277,9.1607,10.884,8.3319,4.4491,8.1748,9.263,7.9329,11.511,9.6829,6.8745,10.832,8.3907,6.7206,6.2536,7.3776,7.0982,8.5788,7.614,7.8643,7.2456,7.2463,7.9484,6.9256,9.5242,9.8543,7.0633,5.6828,6.332,5.6325,6.2894,10.932,7.7438,4.6047,4.721,9.2974,7.3046,7.6966,9.2208,5.2969,7.4082,11.594,7.9398,10.709,8.156,8.5672,7.4755,7.2036,9.7059,11.01,7.703,9.1601,4.818,6.985,8.3138,7.2503,7.0226,6.0901,9.5835,7.4852,9.2637,5.2186,9.2883,10.017,5.4275,6.3367,6.7227,6.5792,5.936,8.0422,10.264,5.9313,6.6289,7.776,8.12,6.5696,4.5871,2.7396,7.3434,5.646,7.6723,6.8474,3.8142,7.6358,9.1393,10.489,8.9875,5.6009,5.4748,7.5678,6.864,6.2881,8.0807,5.6351,5.9635,6.9601,5.6529,7.6742,6.5409,5.7632,12.354,10.538,10.013,4.2638,1.9985,9.3668,7.6648,5.7941,7.861,9.0039,9.1941,8.3044,6.6174,8.9186,7.1218,7.5652,8.8877,8.9653,8.9737,7.3399,7.129,9.1299,8.7387,7.7753,7.7606,7.0484,10.699,9.387,5.9295,7.7478,10.991,5.1911,8.8099,6.8135,8.2503,9.1381,8.6095,7.455,7.9897,8.7895e-16
