-6.157e-17,-7.0178e-16,-1.7504e-15,1.2708e-15,6.5829e-16,4.816e-16,1.8944e-16,2.7118e-15,2.2057e-15,1.3844e-15,3.8072e-16,1.4893e-15,1.5893e-15,1.3508e-15,8.7235e-17,-5.2869e-16,5.9801e-16,1.3427e-15,2.7741e-15,1.3238e-15,1.0129e-15,6.5385e-16,3.6973e-16,3.3083e-15,4.3449e-16,8.5319e-16,9.2491e-16,2.6325e-17,2.9727e-16,7.7789e-16,3.977e-16,4.7232e-16,7.9144e-16,7.6124e-16,2.7968e-15,2.2468e-16,3.0322e-15,1.4863e-15,1.8672e-15,1.804e-15,1.7279e-16,8.6692e-17,1.2487e-15,2.054e-16,1.2864e-15,2.6057e-15,6.8131e-16,5.9333e-16,1.5253e-15,-6.5778e-17,1.0797e-15,8.0038e-16,5.1231e-17,-7.2839e-18,-6.8283e-16,1.1796e-16
4.9547e-16,5.8855,7.0951,5.2102,5.4559,2.3584,2.5406,6.8977,9.2597,6.8537,8.1149,7.8336,6.9524,5.0267,7.0161,5.7278,4.7149,6.7913,8.3031,5.3022,3.5581,5.3881,5.4497,6.2638,5.5134,2.3149,3.1551,4.4385,4.3132,6.9801,7.7393,1.0288,3.261,2.6673,5.3622,5.3697,7.2961,5.9173,6.2888,5.2294,9.3837,4.4909,7.4377,2.0198,4.5522,7.925,4.9788,3.3571,4.2352,5.3974,3.1182,4.3221,3.0673,4.7871,7.2741,4.0651e-17
1.2658e-15,8.5103,11.937,9.3051,8.2594,5.3265,4.0981,12.564,16.361,9.7122,13.954,12.377,12.455,12.521,11.475,9.1187,7.7321,13.496,13.217,9.96,5.4805,8.2456,10.012,12.134,10.985,6.8477,9.0508,6.231,6.7453,11.604,13.442,3.9391,7.0723,6.2254,10.415,9.5111,14.04,9.6702,11.077,9.5399,13.586,6.1618,13.78,4.307,8.9634,11.873,9.2767,5.7614,9.048,13,7.6418,7.7418,6.7004,7.9777,11.437,1.3018e-15
1.1914e-15,6.7876,10.604,9.376,6.5424,6.8863,3.7507,10.35,13.443,6.525,10.367,8.014,10.657,17.146,9.2153,7.3592,6.2237,13.341,9.6559,10.611,5.1979,5.4264,8.9064,11.722,10.351,11.159,13.391,4.2075,5.2533,10.699,13.261,9.1097,9.9194,8.5407,10.954,9.4275,13.133,8.4338,8.8909,10.509,9.321,4.2855,13.029,4.6059,9.7455,9.2215,9.7876,5.6593,9.8342,15.609,11.07,8.8603,8.5831,7.2753,10.88,4.601e-16
1.0465e-15,10.005,11.495,10.768,8.304,8.3085,5.3687,7.0428,10.028,9.0674,6.9701,5.3622,8.7836,18.027,9.2488,8.656,6.3461,11.217,8.6352,12.33,8.31,5.233,7.2716,9.7461,7.6477,13.646,13.382,5.8458,6.135,12.699,15.306,15.462,13.669,10.213,11.44,10.689,10.088,10.279,6.7039,13.527,12.358,6.8769,11.737,4.3124,10.63,12.423,11.676,8.219,8.3251,13.059,13.731,12.999,10.475,8.8565,16.512,3.1539e-16
7.5273e-16,8.2426,9.7872,9.0712,7.0926,10.02,7.3222,8.3266,9.1015,11.127,10.174,6.3379,9.5436,13.272,9.2189,10.258,6.8399,11.231,8.005,12.42,9.1684,8.1584,7.2371,8.4784,8.8597,12.635,8.4747,6.0738,7.2459,10.141,10.558,17.289,13.277,9.4931,11.577,8.6294,8.3103,11.476,8.4615,12.595,15.97,7.678,9.3979,6.4519,11.111,13.564,13.254,13.574,6.7251,10.462,13.256,14.755,11.499,9.2592,17.847,1.253e-16
6.3704e-16,6.4609,8.2873,7.0867,5.5877,10.225,9.7332,11.017,9.1326,10.891,14.45,9.3872,10.956,8.7337,9.9757,9.7484,6.0438,10.243,7.5866,10.723,8.1917,11.539,8.5901,8.7231,9.6766,10.043,4.8274,7.1789,9.4069,7.7705,5.7425,15.213,12.032,10.628,11.806,5.3332,7.7267,10.164,10.323,9.6465,17.03,7.3187,6.6933,10.438,10.588,10.933,14.208,17.178,7.2235,8.1645,11.959,13.638,12.277,9.1352,17.663,1.609e-15
5.8949e-16,11.535,10.008,8.3471,7.5625,8.8382,12.643,10.769,8.2339,10.47,13.451,11.315,10.507,9.5499,12.429,8.7699,4.3227,6.2425,9.5172,9.4657,8.6125,12.262,9.4794,10.162,6.7783,8.0088,5.9215,11.04,12.9,10.938,8.6441,12.791,13.703,15.757,12.502,5.6939,7.5865,7.2963,8.6961,8.9784,15.815,8.656,5.5255,12.407,9.2767,8.2503,14.207,14.988,9.8135,4.8715,11.61,11.819,13.118,10.976,19.682,3.0799e-16
4.3049e-16,15.297,9.4178,9.0889,7.9963,10.075,13.768,10.055,7.3443,10.915,10.993,9.309,9.3037,11.578,12.829,12.397,4.3546,5.7806,14.463,10.354,10.17,9.4786,7.7212,11.246,7.9279,5.7727,5.1811,10.434,13.459,11.738,10.504,11.225,13.613,17.578,12.365,9.5622,8.6809,5.0127,7.643,9.2779,11.382,9.1628,7.0356,8.4698,8.2267,8.0414,11.093,8.8137,11.235,2.372,8.7852,9.5947,12.285,13.951,14.173,1.0823e-15
3.723e-16,13.358,10.266,10.128,10.735,12.125,14.868,10.338,7.1054,11.676,9.2061,8.7048,11.592,12.91,11.666,16.043,6.2259,9.7095,15.82,10.516,11.551,9.7137,5.7646,8.8357,9.5186,5.6359,4.9362,8.3499,13.462,10.684,9.9141,10.6,11.43,15.58,10.787,9.6338,8.9369,6.7445,8.745,12.462,6.0988,8.8686,9.8033,6.015,8.8439,8.0115,8.2907,6.3703,12.151,3.1637,7.5457,9.8443,11.525,13.706,7.823,1.5033e-15
