rowID,host_Arctos_record,ID_number,ID_type,other_identifier,other_identifier_type,pers_cat_no,sci_name,common_name,state,county,specific_locality,analysis_locality,verbatim_latitude,verbatim_longitude,analysis_lat,analysis_lon,verbatim_elev,coll_date,coll_day,coll_month,coll_year,collecting_event_ID,tissue_type,PCR_pos_01,Haem_01,Plas_01,H_haplo1,H_haplo2,H_haplo3,P_haplo1,H_count,P_count,haplotype_count,coinfection_01,novel_01,novel_count,novel_haplo_name,micro_pos_01,micro_num_infected_HP,micro_num_infected_total,micro_num_screened,micro_HP_parasitemia_percent,micro_total_parasitemia_percent,rgbif_elev,analysis_elev,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tempPC1,tempPC2,precipPC1,precipPC2
97,NA,272132665,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Pinyon Canyon,Pinyon Canyon,NA,NA,34.38896,-106.5546,NA,6/27/2018,27,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,18,25,10000,0.18,0.25,1858,1858,11.9875,16.69167,44.27498,800.22473,31.8,-5.9,37.7,21.16667,7.23333,21.96667,2.28333,319,64,11,66.33655,165,39,138,48,-0.349056437,-0.682774903,0.210377184,-0.469389459
98,NA,272132679,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Pinyon Canyon,Pinyon Canyon,NA,NA,34.38896,-106.5546,NA,7/9/2018,9,7,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,18,29,10000,0.18,0.29,1858,1858,11.9875,16.69167,44.27498,800.22473,31.8,-5.9,37.7,21.16667,7.23333,21.96667,2.28333,319,64,11,66.33655,165,39,138,48,-0.349056437,-0.682774903,0.210377184,-0.469389459
100,NA,272132655,band number,PM01M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Private Montoso,Private Montoso,34.28943,-106.58099,34.28943,-106.58099,NA,6/20/2018,20,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,124,126,10000,1.24,1.26,1853,1853,11.87083,17.14167,45.58954,783.86993,31.6,-6,37.6,20.88333,7.16667,21.66667,2.38333,315,64,11,67.90343,165,38,138,46,-0.428093428,-1.132421375,0.080397104,-0.612767727
101,NA,272132656,band number,PM02M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Private Montoso,Private Montoso,NA,NA,34.2982,-106.577,NA,6/22/2018,22,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,91,91,10000,0.91,0.91,1866,1866,11.79167,16.98333,45.40998,780.41895,31.4,-6,37.4,20.76667,7.08333,21.55,2.35,319,65,11,67.8679,167,39,140,47,-0.271285809,-1.256692703,0.269108612,-0.66480158
102,NA,272132657,band number,PM03M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Private Montoso,Private Montoso,34.30527,-106.574,34.30527,-106.574,NA,6/22/2018,22,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,48,72,10000,0.48,0.72,1880,1880,11.64583,16.875,45.24129,781.12817,31.2,-6.1,37.3,20.61667,6.95,21.41667,2.2,325,65,11,67.03892,169,40,142,47,-0.073312048,-1.293266698,0.422598836,-0.656721777
103,NA,272132661,band number,PM05M,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Private Montoso,Private Montoso,NA,NA,34.2982,-106.577,NA,6/26/2018,26,6,2018,NA,whole blood,1,1,0,VIRVIC01,NA,NA,NA,1,0,1,0,1,1,VIRVIC01,1,103,129,10000,1.03,1.29,1866,1866,11.79167,16.98333,45.40998,780.41895,31.4,-6,37.4,20.76667,7.08333,21.55,2.35,319,65,11,67.8679,167,39,140,47,-0.271285809,-1.256692703,0.269108612,-0.66480158
136,NA,272132629,band number,NA,NA,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Montoso,Sepultura Flats,NA,NA,34.2686,-106.6336,NA,5/10/2018,10,5,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,268,269,10000,2.68,2.69,1771,1771,12.39167,17.85,46.00516,805.89258,32.6,-6.2,38.8,21.66667,7.65,22.41667,2.6,296,61,10,69.14566,156,34,130,41,-1.212165403,-0.288751978,-0.816347088,-0.559300624
137,NA,272132662,band number,X044JA,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.30644,-106.61325,34.30644,-106.61325,NA,6/27/2018,27,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1879,1879,12.05833,17.03333,45.18126,788.60303,31.8,-5.9,37.7,21.15,7.3,21.9,2.51667,314,64,11,68.28707,165,38,138,45,-0.560049436,-0.94809018,0.04466644,-0.650173004
138,NA,272132663,band number,X044JB,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.30644,-106.61325,34.30644,-106.61325,NA,6/27/2018,27,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1879,1879,12.05833,17.03333,45.18126,788.60303,31.8,-5.9,37.7,21.15,7.3,21.9,2.51667,314,64,11,68.28707,165,38,138,45,-0.560049436,-0.94809018,0.04466644,-0.650173004
139,NA,272132664,band number,X044JC,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.30644,-106.61325,34.30644,-106.61325,NA,6/27/2018,27,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1879,1879,12.05833,17.03333,45.18126,788.60303,31.8,-5.9,37.7,21.15,7.3,21.9,2.51667,314,64,11,68.28707,165,38,138,45,-0.560049436,-0.94809018,0.04466644,-0.650173004
140,NA,272132666,band number,X029J1,GRVI ID ,NA,Vireo vicinior,gray vireo,New Mexico,Socorro,Sepultura Flats,Sepultura Flats,34.28477,-106.61479,34.28477,-106.61479,NA,6/28/2018,28,6,2018,NA,whole blood,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,10000,NA,NA,1837,1837,12.05417,17.09167,45.33599,789.31921,31.8,-5.9,37.7,21.15,7.3,21.9,2.5,310,63,10,68.71404,163,36,136,44,-0.586520276,-0.959963052,-0.285887559,-0.704934851
