ID_pair;KDE;Factor;Level;Difference
A6_2020_1;KDE99;OSO;Urban;0,112001895
A6_2020_2;KDE99;OSO;Urban;0,346531491
H6_2021;KDE99;OSO;Urban;-11,95416963
HA17_2020;KDE99;OSO;Urban;-0,115159988
HA1_2020;KDE99;OSO;Urban;0,045091707
HA9_2020;KDE99;OSO;Urban;0,484193257
G2_2022;KDE99;OSO;Urban;-2,291011935
A6_2021;KDE99;OSO;Urban;0,197703349
A2_2021;KDE99;OSO;Urban;0,517483234
H10_2022;KDE99;OSO;Urban;-5,368664202
HA15_2022;KDE99;OSO;Urban;-1,021172492
H4_2016;KDE99;OSO;Urban;0,553416772
G2_2016;KDE99;OSO;Urban;1,260417638
H1_2016;KDE99;OSO;Urban;0,081013634
H6_2016;KDE99;OSO;Urban;-3,656447304
A6_2016;KDE99;OSO;Urban;0,34343485
H10_2017;KDE99;OSO;Urban;-4,649829964
A2_2017;KDE99;OSO;Urban;0,689393597
G2_2018;KDE99;OSO;Urban;2,131549662
H4_2019;KDE99;OSO;Urban;0,553658091
H11_2018;KDE99;OSO;Wetland;0,243932007
H4_2018;KDE99;OSO;Wetland;0,048485385
G3_2018;KDE99;OSO;Wetland;0,005753826
G4_2019;KDE99;OSO;Wetland;NA
H10_2019;KDE99;OSO;Wetland;-0,11309516
G2_2019;KDE99;OSO;Wetland;0,04278292
D15_2020;KDE99;OSO;Wetland;0,005911039
HA17_2018;KDE99;OSO;Wetland;0,003025841
HA12_2019;KDE99;OSO;Wetland;1,853700771
HA13_2020;KDE99;OSO;Wetland;0,015815358
HA11_2019;KDE99;OSO;Wetland;0,099001807
H11_2019;KDE99;OSO;Wetland;0,372079907
H7_2020;KDE99;OSO;Wetland;0,53750123
H10_2020;KDE99;OSO;Wetland;0,008080624
A4_2020;KDE99;OSO;Wetland;0,026203696
A6_2020_1;KDE99;OSO;Wetland;0,014954519
A6_2020_2;KDE99;OSO;Wetland;0,02520252
H6_2021;KDE99;OSO;Wetland;-0,005618325
HA17_2020;KDE99;OSO;Wetland;0,003025841
HA1_2020;KDE99;OSO;Wetland;0,001218695
HA9_2020;KDE99;OSO;Wetland;-6,162334302
G2_2022;KDE99;OSO;Wetland;0,027527534
A6_2021;KDE99;OSO;Wetland;0,02109625
A2_2021;KDE99;OSO;Wetland;-0,016424934
H10_2022;KDE99;OSO;Wetland;0,01306105
HA15_2022;KDE99;OSO;Wetland;0,049554843
H4_2016;KDE99;OSO;Wetland;0,058988484
G2_2016;KDE99;OSO;Wetland;-0,042383496
H1_2016;KDE99;OSO;Wetland;0,005691844
H6_2016;KDE99;OSO;Wetland;-0,062834403
A6_2016;KDE99;OSO;Wetland;-0,000133178
H10_2017;KDE99;OSO;Wetland;0,024563235
A2_2017;KDE99;OSO;Wetland;0,024835948
G2_2018;KDE99;OSO;Wetland;0,074644006
H4_2019;KDE99;OSO;Wetland;0,058988484
H11_2018;KDE99;OSO;Rocky;1,022575608
H4_2018;KDE99;OSO;Rocky;-1,052097039
G3_2018;KDE99;OSO;Rocky;0,279198076
G4_2019;KDE99;OSO;Rocky;0,004583792
H10_2019;KDE99;OSO;Rocky;3,14677617
G2_2019;KDE99;OSO;Rocky;0,007655795
D15_2020;KDE99;OSO;Rocky;NA
HA17_2018;KDE99;OSO;Rocky;3,401337191
HA12_2019;KDE99;OSO;Rocky;3,026628403
HA13_2020;KDE99;OSO;Rocky;-1,481900615
HA11_2019;KDE99;OSO;Rocky;2,615706584
H11_2019;KDE99;OSO;Rocky;0,486495006
H7_2020;KDE99;OSO;Rocky;-15,65704059
H10_2020;KDE99;OSO;Rocky;1,702405872
A4_2020;KDE99;OSO;Rocky;0,008293593
A6_2020_1;KDE99;OSO;Rocky;NA
A6_2020_2;KDE99;OSO;Rocky;NA
H6_2021;KDE99;OSO;Rocky;0,011981249
HA17_2020;KDE99;OSO;Rocky;-6,341362758
HA1_2020;KDE99;OSO;Rocky;-27,39291495
HA9_2020;KDE99;OSO;Rocky;0,062020564
G2_2022;KDE99;OSO;Rocky;-0,020614088
A6_2021;KDE99;OSO;Rocky;NA
A2_2021;KDE99;OSO;Rocky;-0,004937808
H10_2022;KDE99;OSO;Rocky;1,260419183
HA15_2022;KDE99;OSO;Rocky;6,42891422
H4_2016;KDE99;OSO;Rocky;0,958583062
G2_2016;KDE99;OSO;Rocky;0,007655795
H1_2016;KDE99;OSO;Rocky;NA
H6_2016;KDE99;OSO;Rocky;-0,019709227
A6_2016;KDE99;OSO;Rocky;NA
H10_2017;KDE99;OSO;Rocky;0,605101239
A2_2017;KDE99;OSO;Rocky;0,00068238
G2_2018;KDE99;OSO;Rocky;0,007655795
H4_2019;KDE99;OSO;Rocky;-0,350100937
