site,sample,pcr1,pcr2,pcr3,pcr4,pcr5,pcr6,Big_Lagoon,Davis_Lake,Eel_River_Estuary_Preserve,HBNWR_SCU_North,HBNWR_SCU_South,Lake_Earl,Martin_Slough_,Ocean_Ranch,Salt_River,Stone_Lagoon,Ten_Mile_River,Tillas_Slough
51,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
52,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
52,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
53,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
53,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
54,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
54,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
55,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
55,2,0,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
56,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
56,2,1,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
57,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
57,2,1,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
58,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
58,2,0,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
59,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
59,2,0,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
60,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
60,2,1,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
61,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61,2,1,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
62,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
62,2,0,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
63,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,2,0,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
64,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,2,0,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
65,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,2,1,,,,,,0,0,0,1,0,0,0,0,0,0,0,0
66,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
66,2,0,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
69,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
69,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
70,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
70,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,2,0,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
72,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
72,2,0,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
73,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
73,2,0,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
74,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
74,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
75,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,2,1,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,2,0,,,,,,0,0,0,0,0,0,0,0,0,0,1,0
77,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
77,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
78,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
78,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
79,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
79,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
80,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
80,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
81,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
81,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
82,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
82,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
83,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
83,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
84,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
84,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
85,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
85,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
86,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
86,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
87,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
87,2,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
88,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
88,2,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
89,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
89,2,1,,,,,,0,0,1,0,0,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
95,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
95,2,1,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
96,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
96,2,1,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
97,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
98,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
98,2,0,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
99,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
