Estuary,SiteName,SampleId,taxon_name,sumreads
Devereux Slough,Santa Clara River Mouth,SSEHN2DP,Mugil cephalus,96
Santa Clara River,J Street Canal,T6UYA40I,Mugil cephalus,63
Calleguas Creek,Calleagus Creek Bridge - down 1,UQDK4PXP,Mugil cephalus,2211
Santa Clara River,J Street Canal,V12I57BA,Mugil cephalus,284
Calleguas Creek,Revlon Slough - Up 1,V7RYHLTF,Mugil cephalus,22
Devereux Slough,Santa Clara River Mouth,VTSM35KT,Mugil cephalus,471
Calleguas Creek,Revlon Slough - Down 1,XVU6B64D,Mugil cephalus,1069
Santa Clara River,J Street Canal,YCSYA7NE,Mugil cephalus,87
Devereux Slough,Santa Clara River Mouth,ZF0XLNXD,Mugil cephalus,61
Santa Clara River,J Street Canal,4K1V2B70,Paralichthys californicus,15
Calleguas Creek,Calleagus Creek Bridge - down 2,4LR1IE16,Paralichthys californicus,11
Santa Clara River,J Street Canal,54M852FW,Paralichthys californicus,12
Santa Clara River,J Street Canal,8HDYA6AT,Paralichthys californicus,13
Santa Clara River,J Street Canal,8YPPQ58L,Paralichthys californicus,10
Santa Clara River,J Street Canal,97QVXLNB,Paralichthys californicus,9
Calleguas Creek,Calleagus Creek Bridge - up 3,AV1G647K,Paralichthys californicus,9
Calleguas Creek,Calleagus Creek Bridge - down 2,CXM7RKC1,Paralichthys californicus,8
Santa Clara River,J Street Canal,GI9NGV51,Paralichthys californicus,11
Santa Clara River,J Street Canal,ICW0XL4W,Paralichthys californicus,14
Santa Clara River,J Street Canal,RV1Z2FN1,Paralichthys californicus,9
Santa Clara River,J Street Canal,T6UYA40I,Paralichthys californicus,24
Santa Clara River,J Street Canal,V12I57BA,Paralichthys californicus,10
Devereux Slough,Santa Clara River Mouth,0166WUI5,Pimephales promelas,176
Devereux Slough,Santa Clara River Mouth,5DZGRPJ8,Pimephales promelas,101
Devereux Slough,Santa Clara River Mouth,5W8VHBOX,Pimephales promelas,392
Devereux Slough,Santa Clara River Mouth,6FC330ZX,Pimephales promelas,192
Devereux Slough,Santa Clara River Mouth,AF6NPL98,Pimephales promelas,230
Devereux Slough,Santa Clara River Mouth,K56BBPGJ,Pimephales promelas,54
Devereux Slough,Santa Clara River Mouth,M3BWLMVW,Pimephales promelas,325
Devereux Slough,Santa Clara River Mouth,OAZV1TYJ,Pimephales promelas,386
Devereux Slough,Santa Clara River Mouth,PFDNIGDZ,Pimephales promelas,114
Devereux Slough,Santa Clara River Mouth,Q3HPLTAL,Pimephales promelas,108
Devereux Slough,Santa Clara River Mouth,SD2QNYHT,Pimephales promelas,74
Devereux Slough,Santa Clara River Mouth,SNF5Y17H,Pimephales promelas,126
Devereux Slough,Santa Clara River Mouth,SSEHN2DP,Pimephales promelas,151
Devereux Slough,Santa Clara River Mouth,VTSM35KT,Pimephales promelas,343
Devereux Slough,Santa Clara River Mouth,ZF0XLNXD,Pimephales promelas,251
