cross,cross_larval_env,pop_pairing_type,block,cage,obs,comb_type,comb,total,am_pop1,am_pop2,dm_pop1F_pop2M,dm_pop2F_pop1M
4SC x 4CC,salt x corn,between,8.4,E,TB,same,same_r,20,5,5,5,5
7SC x 7CC,salt x corn,between,8.4,F,TB,diff,diff_b,20,7,8,2,3
5SC x 6SC,salt x salt,within,8.4,G,TB,same,same_b,20,6,2,10,2
1SC x 2SC,salt x salt,within,9.1,A,TB,diff,diff_r,20,4,6,6,4
1CC x 2CC,corn x corn,within,9.1,B,TB,same,same_r,18,6,2,4,6
1SC x 1CC,salt x corn,between,9.1,C,TB,same,same_b,20,5,7,2,6
2SC x 2CC,salt x corn,between,9.1,D,IG,same,same_r,20,7,5,5,3
3CC x 4CC,corn x corn,within,9.1,E,IG,same,same_b,19,1,7,5,6
5SC x 5CC,salt x corn,between,9.1,F,IG,diff,diff_b,20,6,8,3,3
6SC x 6CC,salt x corn,between,9.2,A,IG,same,same_r,19,3,5,5,6
3SC x 3CC,salt x corn,between,9.2,B,IG,diff,diff_r,20,6,5,4,5
3SC x 4SC,salt x salt,within,9.2,C,IG,diff,diff_b,20,6,5,4,5
3CC x 4CC,corn x corn,within,9.2,D,TB,diff,diff_r,20,3,6,3,8
5SC x 5CC,salt x corn,between,9.2,E,TB,same,same_b,22,4,7,4,7
2SC x 2CC,salt x corn,between,9.2,F,TB,diff,diff_b,20,6,8,2,4
4SC x 4CC,salt x corn,between,9.3,A,TB,diff,diff_b,21,5,6,5,5
5SC x 6SC,salt x salt,within,9.3,B,TB,diff,diff_b,20,9,3,3,5
7SC x 7CC,salt x corn,between,9.3,C,TB,same,same_b,20,4,1,7,8
5CC x 6CC,corn x corn,within,9.3,D,TB,same,same_r,20,5,7,5,3
1CC x 2CC,corn x corn,within,9.3,E,IG,diff,diff_r,19,5,7,3,4
1SC x 1CC,salt x corn,between,9.3,F,IG,diff,diff_b,21,6,7,6,2
1SC x 2SC,salt x salt,within,9.3,G,IG,same,same_r,20,7,2,5,6
5SC x 6SC,salt x salt,within,9.4,A,IG,diff,diff_r,20,6,4,4,6
7SC x 7CC,salt x corn,between,9.4,B,IG,diff,diff_r,20,6,7,4,3
5CC x 6CC,corn x corn,within,9.4,C,IG,diff,diff_b,20,6,6,3,5
1CC x 2CC,corn x corn,within,9.4,D,IG,diff,diff_b,20,2,5,8,5
3SC x 3CC,salt x corn,between,9.4,E,TB,same,same_r,20,8,7,3,2
1SC x 1CC,salt x corn,between,9.4,F,TB,diff,diff_r,20,8,3,6,3
3SC x 4SC,salt x salt,within,9.4,G,TB,same,same_b,20,4,8,3,5
