Plantlabel,PlantlabelDNA,Replicate,Generation,Soil,Soilline,Pollinationline,Herbivoryline,Treatment,Native_soil,Seedssowedout,Germination,Germinationrate,Weightperseed,NbFlowers,Height,leaf_size,Lengthperbranch,Timetofirstflower,Flowerproduction,Flowerdiameter,Petal_length,Petal_width,Style,Stamen,Herkogamy,Visits,MatriceNB
RA_G1_L_08,RA_G1_L_08,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,38.1,7.59,10.3,22,22,9.81,0.664,0.254,0.916,0.486,0.43,NA,NA
RA_G1_L_09,RA_G1_L_09,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,34.1,7.015,4.7,23,15,12.64,1.122,0.5565,0.9865,0.747,0.2395,NA,NA
RA_G1_L_10,RA_G1_L_10,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,39.6,8.19,7.7,22,21,14.57,1.0965,0.4725,0.8995,0.68,0.2195,NA,NA
RA_G1_L_11,RA_G1_L_11,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,38.2,9.75,5.7,23,18,15.085,1.1235,0.5205,0.6845,0.6405,0.044,NA,NA
RA_G1_L_02,RA_G1_L_02,A,1,L,G1,G1,G1,LG1,1,4,3,75,NA,5,37,10.385,6.4,23,18,14.545,1.0425,0.496,0.785,0.611,0.174,NA,NA
RA_G1_L_12,RA_G1_L_12,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,27.3,5.145,5.3,24,13,11.48,0.892,0.419,0.79,0.634,0.156,NA,NA
RA_G1_L_13,RA_G1_L_13,A,1,L,G1,G1,G1,LG1,1,4,3,75,NA,6,31.6,11.85,NA,23,9,14.83,1.087,0.533,1.0625,0.778,0.2845,NA,NA
RA_G1_L_14,RA_G1_L_14,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,32.2,5.865,17.6,22,22,12.875,0.883,0.4405,0.8375,0.705,0.1325,NA,NA
RA_G1_L_15,RA_G1_L_15,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,6,34.4,6.46,7.7,23,30,13.24,0.9805,0.412,0.957,0.6395,0.3175,NA,NA
RA_G1_L_16,RA_G1_L_16,A,1,L,G1,G1,G1,LG1,1,4,2,50,NA,4,19.1,5.83,6,21,9,14.655,1.046,0.5345,0.7365,0.61,0.1535,NA,NA
RA_G1_L_03,RA_G1_L_03,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,17.1,6.05,12.8,19,15,13.985,0.899,0.4235,0.7605,0.5995,0.161,NA,NA
RA_G1_L_17,RA_G1_L_17,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,7,42.3,14.415,NA,25,27,15.705,1.055,0.492,0.7185,0.7115,0.147,NA,NA
RA_G1_L_18,RA_G1_L_18,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,21.5,3.23,8.5,22,23,10.69,0.8525,0.387,0.5065,0.6085,0.102,NA,NA
RA_G1_L_19,RA_G1_L_19,A,1,L,G1,G1,G1,LG1,1,4,3,75,NA,8,34.5,11.165,NA,26,16,13.96,0.932,0.492,0.6535,0.6215,0.057,NA,NA
RA_G1_L_20,RA_G1_L_20,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,32.7,11.7,NA,26,19,14.795,1.054,0.422,0.637,0.7135,0.0765,NA,NA
RA_G1_L_21,RA_G1_L_21,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,14,40.7,17.15,8.1,25,33,NA,NA,NA,NA,NA,NA,NA,NA
RA_G1_L_22,RA_G1_L_22,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,31,5.51,NA,23,20,14.625,1.0945,0.4925,0.835,0.5685,0.2665,NA,NA
RA_G1_L_23,RA_G1_L_23,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,0,34.7,9.1,NA,25,15,13.135,1.036,0.3995,0.7765,0.602,0.1905,NA,NA
RA_G1_L_24,RA_G1_L_24,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,6,34.3,6.2,NA,23,32,13.8,0.9275,0.414,0.6205,0.608,0.1405,NA,NA
RA_G1_L_25,RA_G1_L_25,A,1,L,G1,G1,G1,LG1,1,4,2,50,NA,10,34.6,11.48,NA,21,23,13.59,1.0095,0.434,0.687,0.582,0.105,NA,NA
RA_G1_L_26,RA_G1_L_26,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,45.7,7.41,9,21,23,9.92,1.111,0.569,0.53,0.42,0.11,NA,NA
RA_G1_L_04,RA_G1_L_04,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,37.8,9.18,NA,23,28,16.95,1.0875,0.488,0.8655,0.656,0.2095,NA,NA
RA_G1_L_27,RA_G1_L_27,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,4,31.2,6.36,2.7,23,18,12.375,0.901,0.337,0.7915,0.654,0.1375,NA,NA
RA_G1_L_28,RA_G1_L_28,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,10,24.4,10.8,NA,20,16,12.005,0.8595,0.438,0.694,0.6065,0.0885,NA,NA
RA_G1_L_05,RA_G1_L_05,A,1,L,G1,G1,G1,LG1,1,4,3,75,NA,10,33.1,8.05,NA,24,28,13.985,0.9415,0.524,0.6095,0.6255,0.031,NA,NA
RA_G1_L_29,RA_G1_L_29,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,31.1,5.2,4.7,23,14,12.91,0.937,0.372,1.037,0.584,0.453,NA,NA
RA_G1_L_30,RA_G1_L_30,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,9,36.2,15.21,NA,22,17,14.145,1.049,0.4095,0.9285,0.582,0.3465,NA,NA
RA_G1_L_31,RA_G1_L_31,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,32,4.08,8.1,22,18,11.89,1.003,0.374,1.103,0.684,0.419,NA,NA
RA_G1_L_32,RA_G1_L_32,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,7,37.4,9.6,6.2,23,28,14.38,1.0585,0.4095,0.723,0.6865,0.0365,NA,NA
RA_G1_L_33,RA_G1_L_33,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,0,32.1,9.855,11.6,24,16,10.26,0.845,0.377,0.7715,0.5925,0.179,NA,NA
RA_G1_L_06,RA_G1_L_06,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,3,26.4,4.68,8.3,23,18,10.89,0.915,0.402,0.936,0.643,0.293,NA,NA
RA_G1_L_34,RA_G1_L_34,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,36,9.625,NA,23,15,15.095,1.0315,0.51,0.6245,0.676,0.0995,NA,NA
RA_G1_L_35,RA_G1_L_35,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,15,29.3,7.98,10.4,23,23,12.92,0.9885,0.4485,0.5175,0.6405,0.123,NA,NA
RA_G1_L_36,RA_G1_L_36,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,8,39.8,5.13,31.1,22,27,13.61,0.988,0.466,0.742,0.621,0.121,NA,NA
RA_G1_L_07,RA_G1_L_07,A,1,L,G1,G1,G1,LG1,1,4,2,50,NA,13,44.2,11.44,NA,24,33,13.185,0.902,0.4295,0.5705,0.656,0.0855,NA,NA
RA_G1_L_01,RA_G1_L_01,A,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,27.7,7.04,NA,24,14,15.05,1.065,0.469,0.868,0.7405,0.1275,NA,NA
RB_G1_L_03,RB_G1_L_03,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,4,30.2,7.015,5.4,20,18,12.17,0.871,0.417,0.486,0.561,0.075,NA,NA
RB_G1_L_04,RB_G1_L_04,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,12,36.7,17.15,NA,21,24,14.05,0.919,0.516,0.5725,0.5085,0.064,NA,NA
RB_G1_L_01,RB_G1_L_01,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,25.2,5.51,NA,20,19,15.195,0.9935,0.481,1.0955,0.736,0.3595,NA,NA
RB_G1_L_05,RB_G1_L_05,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,13,29.4,6.16,16.1,22,35,10.97,0.7725,0.4035,0.4845,0.5995,0.115,NA,NA
RB_G1_L_06,RB_G1_L_06,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,8,30.1,5.985,12.3,20,23,12.91,0.955,0.452,0.596,0.725,0.129,NA,NA
RB_G1_L_07,RB_G1_L_07,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,29.7,7.44,7.1,20,20,13.225,0.857,0.445,0.794,0.5935,0.2005,NA,NA
RB_G1_L_08,RB_G1_L_08,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,20.3,3.84,3.8,22,10,12.385,0.914,0.449,0.6715,0.7365,0.187,NA,NA
RB_G1_L_09,RB_G1_L_09,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,14,18.7,7.375,8.3,20,20,14.56,0.982,0.446,0.6695,0.6085,0.139,NA,NA
RB_G1_L_10,RB_G1_L_10,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,0,29,6,7.7,22,15,11.455,0.4785,0.369,0.5815,0.6945,0.113,NA,NA
RB_G1_L_11,RB_G1_L_11,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,32,5.51,4.5,20,15,13.565,0.8955,0.5175,0.6745,0.616,0.1075,NA,NA
RB_G1_L_12,RB_G1_L_12,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,7,34.1,4.23,11.5,20,21,12.4,1.1005,0.4505,0.7105,0.616,0.1165,NA,NA
RB_G1_L_13,RB_G1_L_13,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,2,33.1,5.7,12.5,22,20,13.49,1.05,0.458,0.8885,0.5945,0.294,NA,NA
RB_G1_L_14,RB_G1_L_14,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,11,42.2,13,NA,19,27,NA,NA,NA,NA,NA,NA,NA,NA
RB_G1_L_15,RB_G1_L_15,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,32.4,5.8,3.1,24,21,10.505,0.622,0.3525,0.7225,0.6015,0.121,NA,NA
RB_G1_L_16,RB_G1_L_16,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,37.5,9.625,11.8,20,23,15.815,0.5815,0.596,0.7595,0.5735,0.186,NA,NA
RB_G1_L_17,RB_G1_L_17,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,8,28,3.99,20.2,22,29,NA,NA,NA,NA,NA,NA,NA,NA
RB_G1_L_18,RB_G1_L_18,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,8,33.4,4.86,11.5,20,28,16.1,1.035,0.449,1.0505,0.636,0.4145,NA,NA
RB_G1_L_19,RB_G1_L_19,B,1,L,G1,G1,G1,LG1,1,4,2,50,NA,4,40,11.47,NA,22,24,14.115,0.983,0.5135,0.4935,0.7105,0.217,NA,NA
RB_G1_L_20,RB_G1_L_20,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,4,31.6,6.67,15.9,20,21,NA,NA,NA,NA,NA,NA,NA,NA
RB_G1_L_21,RB_G1_L_21,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,3,33.2,6.6,11.8,22,30,12.81,0.792,0.434,1,0.529,0.471,NA,NA
RB_G1_L_02,RB_G1_L_02,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,31,7.965,NA,21,18,16.75,1.1195,0.532,0.971,0.723,0.248,NA,NA
RB_G1_L_22,RB_G1_L_22,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,6,35.3,7.35,4.2,20,28,12.78,0.9425,0.3905,0.931,0.6185,0.3125,NA,NA
RB_G1_L_23,RB_G1_L_23,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,8,42,9.5,NA,20,25,NA,NA,NA,NA,NA,NA,NA,NA
RB_G1_L_24,RB_G1_L_24,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,13,29.4,6.09,16.4,22,25,11.01,0.577,0.404,0.5305,0.599,0.0685,NA,NA
RB_G1_L_25,RB_G1_L_25,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,0,47,9.36,11.2,20,27,14.37,1.0855,0.4335,0.7305,0.5795,0.151,NA,NA
RB_G1_L_26,RB_G1_L_26,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,31.9,5.8,9.8,20,17,11.78,0.7195,0.3355,0.651,0.6005,0.0505,NA,NA
RB_G1_L_27,RB_G1_L_27,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,3,48.8,6.84,5.7,25,29,14.225,0.6125,0.441,0.884,0.615,0.269,NA,NA
RB_G1_L_28,RB_G1_L_28,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,8,32.6,9.375,10,24,34,15.87,1.051,0.553,0.7205,0.637,0.0835,NA,NA
RB_G1_L_29,RB_G1_L_29,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,5,27.1,8.64,NA,19,21,13.265,0.9825,0.4725,0.768,0.6295,0.1385,NA,NA
RB_G1_L_30,RB_G1_L_30,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,4,23.6,4.56,3.3,24,20,13.83,0.9915,0.4705,0.775,0.616,0.159,NA,NA
RB_G1_L_31,RB_G1_L_31,B,1,L,G1,G1,G1,LG1,1,4,3,75,NA,8,30.5,6.7,13.2,20,34,15.805,1.0505,0.509,0.44,0.709,0.269,NA,NA
RB_G1_L_32,RB_G1_L_32,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,9,34.8,18.54,NA,21,12,15.28,0.984,0.45,0.8355,0.6275,0.208,NA,NA
RB_G1_L_33,RB_G1_L_33,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,11,31.2,13.28,NA,23,30,11.86,0.798,0.344,0.618,0.6055,0.0355,NA,NA
RB_G1_L_34,RB_G1_L_34,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,1,30.7,6.27,13,24,18,12.8,0.8655,0.3935,0.5125,0.595,0.0825,NA,NA
RB_G1_L_35,RB_G1_L_35,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,2,32.1,6.96,NA,22,8,13.82,1.017,0.442,0.672,0.6335,0.1265,NA,NA
RB_G1_L_36,RB_G1_L_36,B,1,L,G1,G1,G1,LG1,1,4,4,100,NA,9,48.7,12.18,NA,22,31,14.335,1.005,0.5115,0.699,0.5865,0.1265,NA,NA
RA_G1_T_08,RA_G1_T_08,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,11,41.4,10.27,12.4,21,33,12.2,0.882,0.426,0.8255,0.4925,0.333,NA,NA
RA_G1_T_09,RA_G1_T_09,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,4,32.7,7.2,29.5,20,27,14.475,1.07,0.512,0.847,0.728,0.119,NA,NA
RA_G1_T_10,RA_G1_T_10,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,13,41.9,8.64,5.4,24,36,12.75,0.926,0.447,0.703,0.5255,0.1775,NA,NA
RA_G1_T_11,RA_G1_T_11,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,3,40.2,5.04,36.5,23,17,14.62,0.9565,0.4775,0.4845,0.583,0.0985,NA,NA
RA_G1_T_02,RA_G1_T_02,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,6,39.8,9.455,13.4,24,39,12.39,1.0455,0.4905,0.9455,0.7205,0.225,NA,NA
RA_G1_T_12,RA_G1_T_12,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,8,34,6.72,26.3,21,32,11.01,0.8165,0.368,0.72,0.521,0.199,NA,NA
RA_G1_T_13,RA_G1_T_13,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,8,41.8,6.3,22.2,23,37,14.255,0.9535,0.4625,0.759,0.596,0.163,NA,NA
RA_G1_T_14,RA_G1_T_14,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,9,22.4,4,32.2,23,21,13.685,1.028,0.518,0.8095,0.6535,0.156,NA,NA
RA_G1_T_15,RA_G1_T_15,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,0,29.1,5.94,NA,23,14,13.61,0.834,0.337,0.837,0.6175,0.2195,NA,NA
RA_G1_T_16,RA_G1_T_16,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,12,30.8,5.1,12.8,23,25,13.18,0.906,0.428,0.6675,0.58,0.0875,NA,NA
RA_G1_T_03,RA_G1_T_03,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,9,26.9,5.5,28.8,22,39,12.2,0.8345,0.375,0.6275,0.5255,0.102,NA,NA
RA_G1_T_17,RA_G1_T_17,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,7,31.4,8.52,39.3,20,20,12.43,0.8715,0.4475,0.5645,0.696,0.1315,NA,NA
RA_G1_T_18,RA_G1_T_18,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,4,28.4,4.59,35.6,21,23,15.19,1.0455,0.534,0.602,0.7605,0.1585,NA,NA
RA_G1_T_19,RA_G1_T_19,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,6,38.1,5.795,4.1,24,21,14.255,0.9895,0.5045,0.7795,0.53,0.2495,NA,NA
RA_G1_T_20,RA_G1_T_20,A,1,T,G1,G1,G1,TG1,1,4,2,50,NA,5,35.1,11.55,6.2,23,16,14.415,0.9895,0.415,0.592,0.6885,0.0965,NA,NA
RA_G1_T_21,RA_G1_T_21,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,4,40.8,8.14,15.4,19,34,14.38,1.0525,0.445,0.96,0.6375,0.3225,NA,NA
RA_G1_T_22,RA_G1_T_22,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,7,35.2,4.7,11.7,22,26,13.335,0.9455,0.453,0.9,0.509,0.391,NA,NA
RA_G1_T_23,RA_G1_T_23,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,2,33.7,11.025,3.7,21,25,12.13,0.9495,0.378,0.729,0.6195,0.1095,NA,NA
RA_G1_T_24,RA_G1_T_24,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,4,31.4,6.82,NA,20,31,12.115,0.875,0.421,0.7995,0.6115,0.188,NA,NA
RA_G1_T_25,RA_G1_T_25,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,3,34.6,6.615,23.6,22,31,12.3,0.989,0.4155,1.3905,0.707,0.6835,NA,NA
RA_G1_T_26,RA_G1_T_26,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,2,44.7,4.845,8.9,23,26,12.87,0.9795,0.4125,0.889,0.667,0.222,NA,NA
RA_G1_T_04,RA_G1_T_04,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,2,38.4,6.82,3.2,24,26,14.195,1.047,0.4415,1.0275,0.597,0.4305,NA,NA
RA_G1_T_27,RA_G1_T_27,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,14,46.7,15.2,NA,22,30,13.93,1.0125,0.4075,0.723,0.6535,0.0695,NA,NA
RA_G1_T_28,RA_G1_T_28,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,6,35.5,13.28,NA,21,22,14.985,0.965,0.51,0.6195,0.684,0.0645,NA,NA
RA_G1_T_05,RA_G1_T_05,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,0,37.2,11.88,5.7,21,32,15.005,1.056,0.513,0.885,0.643,0.242,NA,NA
RA_G1_T_29,RA_G1_T_29,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,5,32.8,10.54,30.6,24,30,15.345,1.133,0.4105,1.045,0.67,0.375,NA,NA
RA_G1_T_30,RA_G1_T_30,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,11,38.2,14.415,NA,21,27,14.275,1.083,0.5325,0.908,0.6475,0.2605,NA,NA
RA_G1_T_31,RA_G1_T_31,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,4,37.7,8.76,16.9,20,33,14.2,0.969,0.437,0.799,0.632,0.167,NA,NA
RA_G1_T_32,RA_G1_T_32,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,16,38.7,8.52,22.5,22,29,13.85,0.984,0.4045,0.7795,0.719,0.0605,NA,NA
RA_G1_T_33,RA_G1_T_33,A,1,T,G1,G1,G1,TG1,1,4,3,75,NA,8,30.4,8.7,27.6,24,24,11.86,0.791,0.467,0.726,0.53,0.196,NA,NA
RA_G1_T_06,RA_G1_T_06,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,4,25.8,3.92,13.6,22,13,14.075,0.965,0.5215,0.57,0.5885,0.0865,NA,NA
RA_G1_T_34,RA_G1_T_34,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,0,31.2,10.125,NA,22,19,13.905,1.0865,0.488,0.8745,0.658,0.2165,NA,NA
RA_G1_T_35,RA_G1_T_35,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,2,39.5,7.125,5,23,23,14.395,1.0805,0.5235,0.8025,0.6075,0.195,NA,NA
RA_G1_T_36,RA_G1_T_36,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,5,43.8,9.75,16.9,23,35,14.235,1.105,0.467,0.8685,0.678,0.1905,NA,NA
RA_G1_T_07,RA_G1_T_07,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,6,37.7,7.93,18.1,22,27,14.16,1.074,0.497,1.034,0.654,0.38,NA,NA
RA_G1_T_01,RA_G1_T_01,A,1,T,G1,G1,G1,TG1,1,4,4,100,NA,12,26.5,3.08,10.1,23,21,13.005,0.9605,0.38,0.7625,0.599,0.1635,NA,NA
RB_G1_T_03,RB_G1_T_03,B,1,T,G1,G1,G1,TG1,1,4,3,75,NA,3,39.4,10.78,NA,24,25,13.415,1.0195,0.4,0.7585,0.6465,0.112,NA,NA
RB_G1_T_04,RB_G1_T_04,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,10,27.5,5.7,35.1,20,34,9.955,0.862,0.3445,0.6825,0.575,0.1075,NA,NA
RB_G1_T_01,RB_G1_T_01,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,7,36.4,6.3,5.7,21,35,14.99,1.0955,0.5005,0.829,0.666,0.163,NA,NA
RB_G1_T_05,RB_G1_T_05,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,17,42.7,5.5,19.9,19,37,11.08,0.702,0.34,0.6135,0.522,0.0915,NA,NA
RB_G1_T_06,RB_G1_T_06,B,1,T,G1,G1,G1,TG1,1,4,3,75,NA,13,34.8,8.91,34.8,20,29,12.5,0.8565,0.3585,0.53,0.6115,0.0815,NA,NA
RB_G1_T_07,RB_G1_T_07,B,1,T,G1,G1,G1,TG1,1,4,3,75,NA,17,27.2,9.585,26.8,20,26,12.215,1.009,0.378,0.8625,0.606,0.2565,NA,NA
RB_G1_T_08,RB_G1_T_08,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,15,24,3.42,13.1,20,24,13.485,0.7765,0.414,0.801,0.586,0.215,NA,NA
RB_G1_T_09,RB_G1_T_09,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,7,27.4,7.14,12.5,19,29,14.035,1.1435,0.459,0.804,0.742,0.062,NA,NA
RB_G1_T_10,RB_G1_T_10,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,4,43.1,7.625,12.2,23,30,13.88,0.572,0.361,1.125,0.475,0.65,NA,NA
RB_G1_T_11,RB_G1_T_11,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,3,41.7,8.625,10.5,21,26,NA,NA,NA,NA,NA,NA,NA,NA
RB_G1_T_12,RB_G1_T_12,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,7,26.6,3.225,21.6,20,21,9.23,0.646,0.344,0.726,0.531,0.195,NA,NA
RB_G1_T_13,RB_G1_T_13,B,1,T,G1,G1,G1,TG1,1,4,2,50,NA,2,37.9,8.64,4.7,22,26,11.735,0.871,0.3905,0.737,0.5585,0.1785,NA,NA
RB_G1_T_14,RB_G1_T_14,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,3,36.4,9.75,3.1,23,29,13,1.0835,0.439,0.912,0.6385,0.2735,NA,NA
RB_G1_T_15,RB_G1_T_15,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,8,40.8,8.37,20.3,21,39,12.815,1.071,0.4575,1.1915,0.722,0.4695,NA,NA
RB_G1_T_16,RB_G1_T_16,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,10,36.1,8.64,36.2,22,33,13.34,0.957,0.4605,0.867,0.7005,0.1665,NA,NA
RB_G1_T_17,RB_G1_T_17,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,6,43.7,5.88,16.1,20,33,12.97,0.992,0.4275,0.8705,0.6785,0.192,NA,NA
RB_G1_T_18,RB_G1_T_18,B,1,T,G1,G1,G1,TG1,1,4,3,75,NA,7,27,5.13,9.9,20,42,13.955,1.0455,0.44,0.8435,0.6835,0.16,NA,NA
RB_G1_T_19,RB_G1_T_19,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,1,47.7,8.875,27.6,21,24,12.715,0.912,0.3475,0.9555,0.6915,0.264,NA,NA
RB_G1_T_20,RB_G1_T_20,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,12,37.4,12.21,20.9,19,42,12.365,0.9135,0.4215,0.7235,0.6395,0.1,NA,NA
RB_G1_T_21,RB_G1_T_21,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,8,26.6,6.6,32.6,20,33,14.115,1.007,0.4645,0.91,0.6995,0.2105,NA,NA
RB_G1_T_02,RB_G1_T_02,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,3,35.1,8.41,23.5,22,31,9.955,0.6755,0.403,0.4535,0.5665,0.113,NA,NA
RB_G1_T_22,RB_G1_T_22,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,11,29.3,4.41,31.9,20,26,13.23,0.9305,0.484,0.7125,0.6975,0.185,NA,NA
RB_G1_T_23,RB_G1_T_23,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,8,36.9,4.86,24.2,21,35,12.47,0.8565,0.41,0.778,0.5905,0.1875,NA,NA
RB_G1_T_24,RB_G1_T_24,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,7,28.8,7.2,29.8,20,24,12.49,0.9105,0.4265,0.675,0.583,0.092,NA,NA
RB_G1_T_25,RB_G1_T_25,B,1,T,G1,G1,G1,TG1,1,4,3,75,NA,6,40.5,7.1,7.1,20,25,14.7,1.0955,0.465,0.8375,0.6735,0.164,NA,NA
RB_G1_T_26,RB_G1_T_26,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,2,37.2,8,15.3,22,24,11.96,0.758,0.295,0.905,0.594,0.311,NA,NA
RB_G1_T_27,RB_G1_T_27,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,6,29.1,9,27.3,20,34,13.375,0.954,0.402,0.7755,0.5835,0.192,NA,NA
RB_G1_T_28,RB_G1_T_28,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,5,38.1,9.24,NA,20,33,11.75,0.757,0.354,0.978,0.598,0.38,NA,NA
RB_G1_T_29,RB_G1_T_29,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,2,25.8,10.4,NA,22,25,11.62,0.7865,0.3585,0.9635,0.65,0.3135,NA,NA
RB_G1_T_30,RB_G1_T_30,B,1,T,G1,G1,G1,TG1,1,4,3,75,NA,7,42.3,8.25,9.4,19,34,14.145,1.014,0.4405,0.5475,0.613,0.0655,NA,NA
RB_G1_T_31,RB_G1_T_31,B,1,T,G1,G1,G1,TG1,1,4,4,100,NA,11,36.4,7.245,17.3,20,33,13.135,0.929,0.3445,0.679,0.646,0.089,NA,NA
