Types,Litter_mass_loss,BG,NAP,AP,Vector_length,Vector_angle,Litter_C_loss,Litter_lignin_loss,Litter_cellulose_loss,Litter_hemicellulose_loss,Litter_N_loss,Litter_P_loss,ST,SM,C,Lignin,Cellulose,Hemicellulose,N,P,C:N,N:P,Lignin:N,Bacteria,Fungi,Total PLFAs
Root,49.4,28.93,19.62,6.73,1.01,51.41,46.57,47.19,46.64,47.54,52.66,45.55,2.2,0.201895113,46.27,18.46,39.84,29.48,1.75,92.71,25.63,189.01,10.53,32.92886872,33.61031764,118.4623696
Root,11.7,16.92,8.34,20.71,1.18,56.12,4.44,1.71,2.7,1.7,0.77,22.42,7.5,0.205,47.93,17.26,36.76,27.96,0.6,186.01,79.6,38.42,28.67,23.10825443,27.77421954,86.81083908
Root,9.3,18.67,7.55,4.06,1.09,40.92,3.98,1.83,2.92,3.75,5.83,24.14,6.867,0.207,45.29,17.38,38.07,27.16,0.7,114,68.72,61.69,24.71,26.41250833,33.111936,95.71693534
Root,10.6,15.18,7.05,9.93,0.91,48.49,10.1,0.67,1.08,3.22,9.55,20.33,6.667,0.219,45.71,17.46,38.57,26.59,0.64,169.27,71.43,75.38,27.28,19.80400052,22.43650308,77.90474282
Root,14.8,2.15,0.23,1.38,1.09,56.02,13.91,5.72,3.39,3.71,11.03,15.6,15.367,0.178843737,46.31,18.73,41.78,31.92,0.66,149.48,69.7,44.45,28.19,29.60436039,16.50101508,93.49254925
Root,11.7,1.93,0.4,1.26,1.02,53.83,12.67,6.03,5.53,7.2,13.53,9.41,14.5,0.17693666,46.18,18.81,40.75,32.26,0.67,150.08,68.79,44.73,28.02,21.81671764,29.70190898,91.60851934
Root,14.85,4.23,0.99,1.49,1.1,47.58,16.67,6.49,5.69,5.38,8.16,12.01,15.033,0.172030831,45,18.48,40.44,30.97,0.64,142.11,70.75,44.76,29.06,22.51752079,39.62224052,106.4588191
Root,19.9,5.66,2.04,11.43,1.02,65.74,25.67,10.17,19.2,18.27,36.72,33.11,4,0.201062316,48.36,18.8,41.03,29.02,1.73,165.26,28.02,104.42,10.89,21.11591449,19.78157744,76.75821954
Root,16.2,6.44,3.03,12.45,1.21,63.36,23.1,18.53,17.19,19.99,11.66,12.33,2.4,0.207762251,47.62,18.58,41.69,29.12,2.05,135.01,23.21,151.93,9.06,24.45384393,19.68697495,79.66184498
Root,24.2,4.87,0.77,13.83,0.9,73.22,26.13,17.24,16.99,11.05,27.55,29.41,3.1,0.209189843,47.12,18.33,40.33,30.14,1.8,144.23,26.12,125.11,10.16,23.66257278,38.98079976,106.290415
Root,26.4,19.21,6.85,3.03,1.14,40.48,28.41,22.47,28.71,22.48,53.6,42.18,3.4925,0.232376717,43.76,17.51,39.96,28.19,1.13,79.6,38.83,141.58,15.54,22.80116459,44.28165875,106.5769904
Root,24.4,10.05,5.1,2.63,1.03,39.93,26.06,26.04,21.84,29.45,64.62,33.17,2.25,0.238646774,43.1,16.92,38.93,25.99,1.39,102.74,30.94,135.59,12.15,24.52398096,33.67994077,106.0038397
Root,27,21.25,7.31,4.49,1.11,42.04,29.64,23.16,25.66,28.35,43.83,26.34,2.05,0.239665449,43.05,17.73,37.78,27.32,1.31,109.68,32.89,119.35,13.55,19.37427934,19.04881731,77.21159134
Root,60.2,37.21,26.3,21.89,0.86,42.94,11.66,18.36,17.26,22.96,-24.26,6.6,6.833,0.179,43.53,17.92,38.45,28.12,1.4,221.49,31.08,63.25,12.79,28.51094872,29.27136944,121.2401311
Root,15.3,53.14,19.85,17.18,1.05,43.94,7.31,17.53,16.9,20.03,-21.23,-1.35,6.4,0.178,43.89,17.71,38.79,28.3,1.71,254.8,25.62,67.24,10.33,48.68501193,44.95435121,151.307029
Root,11.7,45.17,23.07,19.54,0.96,43.48,9.34,15.41,13.45,17.98,-29.61,20.59,6.367,0.171,44.97,17.73,38.15,28.48,1.39,191.52,32.36,72.57,12.76,61.51544841,21.59328833,153.5794577
Root,26.5,57.24,6.05,6.33,1.28,45.12,32.57,30.27,26.59,36.34,13.92,-3.43,15.167,0.137,43.83,16.82,38.11,24.66,1.27,266.8,34.55,47.55,13.26,62.26269727,33.6051847,200.4322098
Root,24.4,63.26,7.06,5.69,1.28,44.43,28.47,33.56,35.54,37.95,-16.13,17.73,14.533,0.139,43.07,16.74,36.18,25.47,1.92,371.84,22.44,51.61,8.72,26.24719948,40.62612354,85.86010859
Root,28.78,84.8,11.86,13.25,1.23,45.41,31.96,35.15,34.86,38.55,0.98,7.91,13.867,0.135,42.16,17.04,36.98,25.49,1.36,194.23,30.91,70.22,12.49,55.70122702,25.30223843,147.5774321
Root,71.3,79.24,25.52,13.33,0.7,41.47,70.73,69.45,68.3,71.59,30.63,44.53,2.5,0.195,30.69,18.87,42.14,28.19,1.66,295.02,18.44,56.41,11.34,82.7017342,22.44180337,189.2300949
Root,71.8,77.97,23.66,8.6,0.81,40.43,70.77,66.51,65.2,67.58,54.31,57.39,3.1,0.193,39.14,18.53,42.96,28.89,1.92,271.65,20.33,70.86,9.63,45.63154466,11.48732852,113.3806772
Root,68.2,88.99,25.57,6.62,0.76,39.85,73.79,65.08,62.4,66.12,34.4,56.78,3.51,0.193,33.24,18.67,41.75,29.03,1.38,218.07,24.01,63.5,13.48,32.51977023,39.89115384,92.26427174
Root,86.4,53.18,36.18,48.26,0.79,38.97,85.92,74.5,73.22,76.31,60.48,74.08,2.45,0.215600417,21.16,17.77,41.14,27.67,1.43,199.93,14.81,71.48,12.43,50.27664157,22.50499987,137.7720803
Root,84.4,52.25,32.87,54.42,0.79,36.3,85.49,72.42,71.15,73.4,56.82,70.67,3.433333333,0.219040767,25.41,17.84,40.18,27.65,1.35,181.41,13.8,74.14,13.27,57.74083589,13.54225367,159.8731072
Root,88.4,34.28,33.31,40.25,0.81,29.92,86.61,74.5,73.22,76.31,56.37,87.23,3.366666667,0.212121212,18.56,17.98,39.69,28.32,1.36,169.84,14.23,80.01,13.23,64.40370184,12.76228513,125.9748898
