qr_w_26,qr_w_85
72.83251725299259,146.05659310722191
46.21126858315262,165.0602797556618
91.60557356440802,159.33853590556353
113.76297665938371,250.5378434590259
12.490938528968112,16.984396895473296
-4.899108524304188,15.195078535405043
7.819173627904866,4.492051939417728
8.740209471403968,20.96504328741487
87.71783484906395,63.27373055954393
-58.05900660347552,-62.38317820845698
10.093225774810573,-7.048816404131299
-17.869419959379897,17.40355305348487
49.08640434000141,53.789440211131534
-31.26429430346103,-18.163870256771347
6.359685367637585,-3.8631369606383297
-7.9162247419101215,27.267558076348752
30.356818802552993,21.87023578296654
-5.284787466760194,0.8457393868223211
21.745016063926368,-6.367861748670754
18.099255809117835,25.501804438542163
23.693512875004917,36.87578300406841
-10.267339983900738,-3.884976867557241
13.310315537605627,2.572859705890847
6.939728188608098,32.998572165465276
21.7714671338288,44.215260696080804
-11.01712862945297,42.38091420480021
13.36390003047952,34.41286978391648
7.905017091401467,51.71487485782082
34.327108284741904,
15.105199765904121,
38.20245568707613,
18.53526270103595,
