invasive growth;non_inv;non_inv;inv;inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;non_inv;inv;inv;inv;inv;inv;non_inv;inv;inv
saple code;10_14;1_13;1_14;14_12;15_13;16_14;24_14;26_10;35_11;37_10;37_12;38_12;44_14;46_12;50_12;51_10;5_13;55_14;80_11;9_13
hsa-miR-17-3p z prekursora hsa-mir-17;203,469525157568;226,493776282768;106,364017033392;175,561319700342;146,228883181051;280,703951800814;222,342173696155;245,624537340145;281,019236895032;148,703659315592;131,705405743266;212,202019679444;261,4378159265;162,309779562382;179,672976973108;154,325925544292;115,212912742845;169,916096530729;197,935753469848;209,022419010717
hsa-miR-331-3p z prekursora hsa-mir-331;64,6868432581862;63,8519688456739;107,821058362617;59,1463269578691;56,107005537094;68,7860443841699;78,6941401284144;72,2744766952195;40,7477893497796;73,4339058348602;80,2775806435144;78,8178930237937;63,9385962863723;88,2651369221412;44,9182442432771;75,6499635021037;124,35048858107;99,5602128109738;58,5443777868563;81,349265777144
hsa-miR-30d-5p z prekursora hsa-mir-30d;28179,9411721117;24755,2878460548;31068,4922630551;20040,2777022647;21765,3101229772;31626,7112529885;29690,1748684489;22999,0426855021;24100,2097561179;25162,1278343148;13627,1193142366;26041,4318550614;22557,5367698321;18365,0328222668;21860,2121983949;20551,0690849815;17836,9453221224;17632,7774235755;17730,5829868765;21364,3509247224
hsa-miR-1307-3p z prekursora hsa-mir-1307;332,84321167394;285,526728611787;97,621769058045;305,119940655674;244,766811655573;280,445357648994;454,677254075283;248,34162293019;245,891832283153;352,482748007329;309,821287796063;168,549032773959;240,124950497709;245,671297766626;382,380950994051;279,904864957784;376,627038897299;380,983747689993;341,044232504385;312,96870305929
hsa-let-7e-3p z prekursora hsa-let-7e;49,3972257607968;57,8281981998556;32,0549092429401;51,6356822648063;29,8068466915812;50,8137508326669;51,2136467502379;46,1904550307794;40,7477893497796;66,0905152513741;51,4278250997514;87,3059738109714;68,2011693721305;35,3060547688565;44,9182442432771;55,9809729915568;46,4824510031477;65,0460057031695;51,1101710837635;62,1418002464295
hsa-miR-200a-5p z prekursora hsa-mir-200a;65,8629676810623;57,8281981998556;55,367570510533;55,3910046113377;52,6003176910257;68,7860443841699;0;45,6470379127702;71,6599054082331;69,7622105431171;51,4278250997514;55,778816601454;32,6797269908125;72,083195153082;55,2839929148026;74,1369642320616;37,7421610709319;76,9932312404864;64,120032814176;36,1552292342862
hsa-miR-425-3p z prekursora hsa-mir-425;59,9823455666818;56,6234440706919;67,0239011443294;41,3085458118451;50,8469737679915;47,8399180867347;56,2101000917245;70,1008082231828;87,1159634374599;55,0754293761451;96,5839642117282;66,6920633278254;66,7803116768777;44,1325684610706;82,9259893722039;84,7279591223562;70,7168912697461;74,3382922321938;62,2614811384028;58,7522475057151
hsa-miR-106b-5p z prekursora hsa-mir-106b;2623,93358743661;2185,42399030288;1325,90760959434;2192,16941978769;2911,60291859057;2654,21037428241;3238,95087861871;2231,27068654565;2440,65207243335;2204,85302269168;2203,87045610398;1727,93073167548;2307,47289709041;2266,45257141187;1913,05650482265;2597,81974666224;1555,3743220284;2142,53577969216;2029,53842994435;2396,41378768503
hsa-miR-125a-5p z prekursora hsa-mir-125a;25138,483414554;24516,7465284804;12084,7007845884;25188,8246393592;24514,5533942948;17382,9574795048;21560,9452818502;28875,0119825352;13587,2801038748;24980,3789173736;16514,603543008;20145,8534568817;25959,0700922672;21372,4221819529;19810,0974611376;22788,7950053737;26397,6620248218;32087,5928542248;26723,1852701052;26052,1023651304
hsa-miR-93-5p z prekursora hsa-mir-93;839,752837933545;569,84870309441;473,538431997979;705,061770561265;978,716577837684;818,321193434984;630,802234362687;542,87370089116;636,508571567247;710,473038952272;599,573180431248;680,259045943819;497,300193338451;609,029444762774;568,96442708151;815,506606552678;299,156287225387;572,139356287063;513,889538351295;771,688173969297
hsa-miR-92b-3p z prekursora hsa-mir-92b;402,234552623631;890,313301451943;384,658910915282;619,628187177676;529,509864756325;338,111853504896;554,606320905016;496,683245860381;809,335402257692;394,707243862373;546,891018133942;788,178930237937;235,862377411951;442,796770226075;261,447216492921;860,89658465394;569,310703312057;597,361276865843;814,045633988669;623,677704291437
hsa-miR-2110 z prekursora hsa-mir-2110;54,1017234523012;55,4186899415283;49,5394051936348;90,1277363167529;66,977737859906;40,7285789116796;56,2101000917245;98,9019154776688;77,2802901461338;106,479163460547;90,3122782239537;64,2668973886317;100,880896362943;82,8711563324548;78,318989962637;28,7469861307994;90,5811865702365;80,9756397529253;63,1907569762894;77,9597130364297
hsa-miR-148b-5p z prekursora hsa-mir-148b;92,913829407213;93,9708220747653;91,7936037411468;82,6170916236901;60,6656997369829;67,493073625069;92,4343868175026;65,7534712791095;82,9006748840344;84,4489917100892;68,9885458655202;78,8178930237937;79,5680309341522;60,8048721019195;109,416235977213;52,9549744514726;54,8254550293537;57,0811886782916;81,7762737340216;45,1940365428578
hsa-miR-146b-5p z prekursora hsa-mir-146b;691,561160651155;566,234440706919;760,575573855216;467,537632143155;350,318115822231;571,363778446705;206,103700336323;467,882138605895;532,531453916086;616,844809012825;430,237658761335;398,939796997356;939,186936562047;445,738941456813;535,56368136215;488,69876422359;469,591940903595;331,867376036579;561,282606083512;602,21053693358
hsa-miR-340-5p z prekursora hsa-mir-340;820,934847167527;513,225259023718;1413,33008934782;566,114843739604;354,526141237513;862,023605092596;607,069080990625;699,92124799581;556,418089052163;862,848393559607;662,290040308994;1187,11872723529;690,536839892821;647,277670762369;1040,03011670972;529,549744514726;504,553100632458;691,611611660231;458,132988078098;766,038919401439
hsa-miR-641 z prekursora hsa-mir-641;23,5224884575223;13,2522954208002;8,74224797534731;8,44947527969558;10,1693947535983;17,4551052478627;13,7402466890882;9,23809100615588;19,6713465826522;11,015085875229;11,2890347779942;8,48808078717778;17,0502923430326;12,2590467947418;17,2762477858758;9,07799562025245;11,5212912742845;10,6197560331705;9,29275837886609;10,168658222143
hsa-miR-1180-3p z prekursora hsa-mir-1180;866,803699659696;767,42838027725;453,139853388836;958,546028952132;804,083523103479;641,959981893616;685,763221119039;966,195635820303;677,256360917027;811,444659475205;479,156809465976;1406,59624473232;579,709939663109;655,123460711003;635,76591852023;1128,69745545139;1312,2353475504;493,81865554243;855,863046693567;1439,43006389002
hsa-miR-624-5p z prekursora hsa-mir-624;16,4657419202656;15,6618036791276;14,5704132922455;13,1436282128598;11,9227386766325;12,9297075910094;11,2420200183449;13,5854279502292;19,6713465826522;20,1943241045865;13,797709173104;10,9132467263714;19,8920077335381;16,6723036408489;14,9727480810924;22,6949890506311;9,13757583822562;13,2746950414632;12,0805858925259;14,6880618764288
hsa-miR-652-3p z prekursora hsa-mir-652;746,839008526332;834,894611510415;272,466728564991;850,580511489355;610,865022785111;586,103645100456;853,144408058841;465,708470133858;431,364528633874;791,250335370618;593,301494443473;446,230532811632;1064,22241374429;409,942524816167;631,158919110663;600,660710206704;566,926987875998;481,871430005113;654,210189872172;633,84636251358
hsa-miR-423-5p z prekursora hsa-mir-423;748,015132949208;1065,00265018067;901,908582789997;1000,79340535061;601,747634385334;697,687021610867;994,294214955839;875,444977112772;1271,61204695002;1275,9141138807;795,249783249814;2396,06394792333;1042,90954831549;735,05244581272;900,668384570326;977,39752844718;924,484303284827;888,077098273886;1197,83655503584;841,738930610726
hsa-miR-1301-3p z prekursora hsa-mir-1301;301,087852256285;345,76443506997;199,614662103764;440,311545130803;436,231968050906;284,582864078117;499,645334148663;371,697308718272;251,512217021054;515,873188489893;499,226204626855;628,117978251156;379,369004632476;483,006443712828;550,536429443242;441,795786852286;636,452021427715;453,99457041804;403,305713642788;485,835892835721
