"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Walking","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Walking","Walking","Resting","Resting"
"Resting","Minimal-Movement","Walking","Minimal-Movement","Resting","Walking","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Walking","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Walking","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Walking","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Walking","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Walking","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Minimal-Movement","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Walking","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Resting","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Resting","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Walking","Walking","Resting","Resting"
"Resting","Minimal-Movement","Resting","Minimal-Movement","Minimal-Movement","Walking","Walking","Resting","Resting"
