"BBB","GPW","GWB","WWR","YBR","YGR","YWR","YYR","YYW"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Exploring","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Antennating Nestmate","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Antennating Nestmate","Trash Maintenance","Brood Care","Resting"
"Brood Care","Food Processing","Exploring","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Antennating Nestmate","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Trash Maintenance","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Resting","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"Brood Care","Food Processing","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
"Brood Care","Exploring","Food Processing","Food Processing","Brood Care","Exploring","Food Processing","Brood Care","Resting"
