MIR34AHG
SLC25A33
STMN1
MFSD2A
CTPS1
SLFNL1
ECHDC2
SCP2
PLPP3
LEPR
CTH
GCLM
AHCYL1
CD2
HMGCS2
FMO5
IL6R
RHBG
CD5L
CRP
C1orf112
FMO3
LINC01344
GLUL
LAMC1
RGL1
KCNT2
CFH
CFHR5
CHI3L1
HSD11B1
SMYD2
ESRRG
EPHX1
GNPAT
XDH
PRKCE
TTC7A
TCF7L1
CD8A
AFF3
MARCO
ACMSD
RND3
DPP4
SCN9A
ABCB11
ITGAV
TFPI
PARD3B
CPS1
BHLHE40
PPARG
NEK10
MYRIP
MAP4
ALAS1
IL17RB
DNASE1L3
PTPRG
PRICKLE2
ITGB5
ALDH1L1
MGLL
EPHB1
CP
TM4SF1
TM4SF4
ARHGEF26
LINC00886
PPM1L
TNIK
EHHADH
AHSG
SLBP
SORCS2
SLC2A9
CD38
ADGRA3
PPARGC1A
APBB2
UGT2B10
UGT2B4
GC
RASGEF1B
HSD17B13
SPARCL1
PDLIM5
AP002026.1
ADH4
ADH6
ADH1B
SGMS2
MAML3
FGA
FGG
TDO2
FNIP2
MSMO1
LINC02275
FAT1
LIFR
GHR
SELENOP
HMGCS1
ZSWIM6
LINC02197
ARHGEF28
ARSB
BHMT
CMYA5
ARRDC3
LINC01554
HSD17B4
PDGFRB
CD74
TENM2
HIVEP1
GFOD1
CAP2
PPARD
CCND3
TRAM2
LAMA4
MAN1A1
PDE7B
MAP3K5
LPA
AHR
RAPGEF5
INMT
TRGC1
ABCA13
POR
MAGI2
ABCB1
CDK6
PPP1R9A
BAIAP2L1
CYP3A5
CYP3A4
CYP3A43
SERPINE1
NAMPT
LAMB1
AKR1D1
INSIG1
DLGAP2
AC021242.2
GATA4
FDFT1
CTSB
SLC7A2
FGL1
SLC39A14
TACC1
SLC20A2
SNTG1
HNF4G
EXT1
GLIS3
SPATA6L
GLDC
LURAP1L
APBA1
CEMIP2
ALDH1A1
PCSK5
FBP1
ALDOB
ABCA1
SLC44A1
ZNF483
PTGR1
ASS1
IL15RA
GATA3
CAMK1D
NSUN6
NRP1
RHOBTB1
P4HA1
PAPSS2
ACTA2
BLNK
ABCC2
SCD
ABLIM1
SHTN1
FGFR2
CYP2E1
SOX6
NAV2
SYT7
AHNAK
TM7SF2
SYT12
TSKU
PPP2R1B
OAF
SLC6A12
CD4
A2M
KLRB1
SLCO1B3
ITPR2
ARNTL2
SLC38A4
KRT7
GLS2
SLC16A7
LYZ
ACSS3
AMDHD1
HAL
IGF1
TXNRD1
DTX1
SDS
HNF1A
HPD
CLIP1
MTUS2
N4BP2L1
LINC00598
ZC3H13
CPB2-AS1
LRCH1
PCDH9
GPC6
FGF14
FOXA1
CLEC14A
FRMD6
ARMH4
DPF3
ALDH6A1
AC007262.2
TTC7B
SERPINA1
CLMN
ASPG
MEIS2
SEMA6D
ONECUT1
AQP9
ANXA2
TPM1
DENND4A
CYP1A2
AKAP13
FAM174B
IL4R
LONP2
HSD17B2
NECAB2
RTN4RL1
ASGR2
CD68
HNF1B
G6PC
MAP3K14
COL1A1
VMP1
PECAM1
LINC01482
SOX9
PTPRM
GATA6
CHST9
RNF125
GAREM1
DTNA
CCDC68
ONECUT2
RNF152
LDLR
CYP4F3
CYP2A6
CYP2A7
CYP2B6
IGSF23
FOXA3
SULT2A1
CD37
RALGAPA2
LINC01727
FOXA2
APMAP
ACSS2
SAMHD1
HNF4A
SLC13A3
ATP9A
PCK1
MIR646HG
AJ009632.2
KCNE1
RUNX1
BCR
GRK3
HORMAD2
SREBF2
PNPLA3
FAM9B
PIR
GATA1
ALAS2
VSIG4
TENM1
