AL627309.1
AL627309.5
LINC01409
LINC01128
LINC00115
FAM41C
LINC02593
SAMD11
NOC2L
KLHL17
HES4
ISG15
AGRN
C1orf159
AL390719.3
LINC01342
AL390719.2
SDF4
B3GALT6
C1QTNF12
UBE2J2
LINC01786
SCNN1D
ACAP3
PUSL1
INTS11
CPTP
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20-AS1
MRPL20
AL391244.2
LINC01770
VWA1
ATAD3C
ATAD3B
ATAD3A
SSU72
AL645728.1
AL691432.2
MIB2
MMP23B
CDK11B
FO704657.1
SLC35E2B
CDK11A
SLC35E2A
NADK
GNB1
TMEM52
CFAP74
GABRD
PRKCZ
AL590822.2
FAAP20
AL590822.1
SKI
MORN1
AL513477.2
RER1
PEX10
PLCH2
PANK4
AL139246.5
TNFRSF14-AS1
TNFRSF14
PRXL2B
TTC34
PRDM16
ARHGEF16
MEGF6
TPRG1L
WRAP73
LRRC47
CEP104
DFFB
C1orf174
LINC01134
AJAP1
NPHP4
KCNAB2
CHD5
RNF207
ICMT
LINC00337
GPR153
ACOT7
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
AL591163.1
CAMTA1-DT
CAMTA1
VAMP3
PER3
Z98884.1
TNFRSF9
PARK7
AL034417.4
AL034417.3
ERRFI1
AL034417.2
LINC01714
SLC45A1
RERE
RERE-AS1
ENO1
CA6
SLC2A5
GPR157
MIR34AHG
LNCTAM34A
H6PD
SPSB1
LINC02606
SLC25A33
TMEM201
PIK3CD
PIK3CD-AS2
CLSTN1
CTNNBIP1
AL357140.4
LZIC
NMNAT1
RBP7
UBE4B
KIF1B
AL139424.3
AL139424.2
PGD
CENPS
DFFA
PEX14
AL139423.2
CASZ1
AL139423.1
TARDBP
MASP2
AL109811.2
SRM
EXOSC10
AL109811.1
MTOR
MTOR-AS1
ANGPTL7
UBIAD1
AL031731.1
FBXO2
FBXO44
FBXO6
MAD2L2
DRAXIN
AGTRAP
C1orf167
MTHFR
CLCN6
NPPA
AL021155.5
KIAA2013
PLOD1
MFN2
MIIP
TNFRSF8
TNFRSF1B
VPS13D
LINC02766
DHRS3
AC254633.1
PDPN
PRDM2
KAZN
AL357873.1
KAZN-AS1
TMEM51-AS1
TMEM51
C1orf195
FHAD1
EFHD2
CELA2B
CASP9
DNAJC16
AGMAT
DDI2
PLEKHM2
AL450998.3
SLC25A34
TMEM82
FBLIM1
UQCRHL
AL450998.2
SPEN
ZBTB17
EPHA2
AL451042.2
AL451042.1
AL109627.1
FBXO42
SZRD1
SPATA21
NECAP2
LINC01772
AL137802.2
NBPF1
AL137798.1
CROCC
BX284668.5
BX284668.6
AL049569.1
ATP13A2
SDHB
PADI2
PADI4
