A2M
ABCA1
ABCA13
ABCB1
ABCB11
ABCC2
ABLIM1
AC007262.2
AC021242.2
ACMSD
ACSS2
ACSS3
ACTA2
ADGRA3
ADH1B
ADH4
ADH6
AFF3
AHCYL1
AHNAK
AHR
AHSG
AJ009632.2
AKAP13
AKR1B10
AKR1D1
ALAS1
ALAS2
ALDH1A1
ALDH1L1
ALDH6A1
ALDOB
AMDHD1
ANXA2
AP002026.1
APBA1
APBB2
APMAP
AQP9
ARHGEF26
ARHGEF28
ARMH4
ARNTL2
ARRDC3
ARSB
ASGR2
ASPG
ASS1
ATP9A
BAIAP2L1
BCR
BHLHE40
BHMT
BLNK
C1orf112
CAMK1D
CAP2
CCDC68
CCND3
CD2
CD37
CD38
CD4
CD5L
CD68
CD74
CD8A
CDK6
CEMIP2
CFH
CFHR5
CHI3L1
CHST9
CLEC14A
CLIP1
CLMN
CMYA5
COL1A1
CP
CPB2-AS1
CPS1
CRP
CTH
CTPS1
CTSB
CYP1A2
CYP2A6
CYP2A7
CYP2B6
CYP2E1
CYP3A4
CYP3A43
CYP3A5
CYP4F3
DENND4A
DLGAP2
DNASE1L3
DPF3
DPP4
DTNA
DTX1
ECHDC2
EHHADH
EPHB1
EPHX1
ESRRG
EXT1
FAM174B
FAM9B
FAT1
FBP1
FDFT1
FGA
FGF14
FGFR2
FGG
FGL1
FMO3
FMO5
FNIP2
FOXA1
FOXA2
FOXA3
FRMD6
G6PC
GAREM1
GATA1
GATA2
GATA3
GATA4
GATA5
GATA6
GC
GCLM
GFOD1
GHR
GLDC
GLIS3
GLS2
GLUL
GNPAT
GPC6
GRK3
GZMB
HAL
HIVEP1
HMGCS1
HMGCS2
HNF1A
HNF1B
HNF4A
HNF4G
HORMAD2
HPD
HSD11B1
HSD17B13
HSD17B2
HSD17B4
IGF1
IGHD
IGSF23
IL15RA
IL17RB
IL4R
IL6R
INMT
INSIG1
ITGAV
ITGB5
ITPR2
KCNE1
KCNT2
KLRB1
KRT7
LAMA4
LAMB1
LAMC1
LDLR
LEPR
LIFR
LINC00598
LINC00886
LINC01344
LINC01482
LINC01554
LINC01727
LINC02197
LINC02275
LONP2
LPA
LRCH1
LURAP1L
LYZ
MAGI2
MAML3
MAN1A1
MAP3K14
MAP3K5
MAP4
MARCO
MEIS2
MFSD2A
MGLL
MIR34AHG
MIR646HG
MS4A1
MSMO1
MTUS2
MYRIP
N4BP2L1
NAMPT
NAV2
NECAB2
NEK10
NRP1
NSUN6
OAF
ONECUT1
ONECUT2
P4HA1
PAPSS2
PARD3B
PCDH9
PCK1
PCSK5
PDE7B
PDGFRB
PDLIM5
PECAM1
PIR
PLPP3
PNPLA3
POR
PPARD
PPARG
PPARGC1A
PPM1L
PPP1R9A
PPP2R1B
PRICKLE2
PRKCE
PTGR1
PTPRG
PTPRM
RALGAPA2
RAPGEF5
RASGEF1B
RGL1
RHBG
RHOBTB1
RND3
RNF125
RNF152
RTN4RL1
RUNX1
SAMHD1
SCD
SCN9A
SCP2
SDS
SELENOP
SEMA6D
SERPINA1
SERPINE1
SGMS2
SHTN1
SLBP
SLC13A3
SLC16A7
SLC20A2
SLC25A33
SLC2A9
SLC38A4
SLC39A14
SLC44A1
SLC6A12
SLC7A2
SLCO1B3
SLFNL1
SMYD2
SNTG1
SORCS2
SOX6
SOX9
SPARCL1
SPATA6L
SREBF2
STMN1
SULT2A1
SYT12
SYT7
TACC1
TBX21
TCF7L1
TDO2
TENM1
TENM2
TFPI
TM4SF1
TM4SF4
TM7SF2
TNIK
TPM1
TRAM2
TRGC1
TSKU
TTC7A
TTC7B
TXNRD1
UGT2B10
UGT2B4
VMP1
VSIG4
XDH
ZC3H13
ZNF483
ZSWIM6
