nordicus	13672	wa30	Rubus	wahlbergii		Bh	Marstrand	Instön vid Mittsund	6426433	1252736	2012-07-04		2012-07-04	TM													5		5		5		5												3																																															5			5							4								4														3																																														5									5	5				4						5															2																																																												5						5						4				3						1																																																						5				0		
nordicus	13675	wa33	Rubus	wahlbergii		Bh	Norum	Stora Askerön	6448368	1261570	2012-07-21		2012-07-21	TM													5		5		5		5												3																																															5			5							4								4																														2																														3									5	5				4						5															2																																																												5						4										5								2																																																				4				0		
nordicus	13676	wa34	Rubus	wahlbergii		Vg	Styrsö	Donsö	6393397	1260511	2012-08-01		2012-08-01	TM													5		5		5		5												3																																															5			5							3								4																																				2																								3									5	5				4						5															2																																																												5						5				3						3						1																																																						5				0		
nordicus	18025	wa36	Rubus	wahlbergii		Bh	Morlanda	Råön	6456617	1240866	2014-06-09		2014-06-12	TM													4		5		5		5												3																																															5			5							4								3																																																												4											5			4						2																	1																																																										5						4								5		4																																																												4				0		
nordicus	13925	wa37	Rubus	wahlbergii		Bh	Tjärnö	Syd-Koster, Ekenäs	6539942	1225807	2014-06-18		2014-06-18	TM																																																																														5			5							2								3																																																																																																																																																											4						5										4																																																												3				1		
nordicus	18156	wa60	Rubus	wahlbergii	vägkant	Hl	Steninge	Nygård	6301106	1308286	2007-08-04		2014-08-01	UR													5		5		5		5												3																																															5			5							4								4																																																												4									5					4						3																	2																																																										5						5						4				3				1																																																								5				0		
nordicus	18091	wa62	Rubus	wahlbergii	skogsbryn	Hl	Eftra	Vid vägen 200 m Ö om Ullarpsreservatet	6304600	1307056	2007-07-03		2014-07-15	UR													5		5		5		5												3																																															5			4							4								3																																																												4								5						5						3																	2																																																										4						5						3								3																																																								4				0		
nordicus	18092	wa63	Rubus	wahlbergii	Bryn mellan P-plats, snår och ljunghed	Hl	Eftra	Ugglarp, P-platsen på stranden aldeles S om Sallebjär	6303700	1304900	2000-08-14	1	2014-07-15	UR													5		5		5		5												3																																															5			5							4								4																																																																																																																																																											5						5						3								3																																																								4				0		
nordicus	18077	wa64	Rubus	wahlbergii	vägkant	Sk	Brunnby	Vasabäck	6240155	1303360	2010-07-14	1	2014-07-04	UR													5		5		5		5												3																																															5			4							3								3																																																																																																																																																											5						5								4						1																																																								4				0		
nordicus	18079	wa66	Rubus	wahlbergii	cykelstig mot åker	Sk	Brunnby	Cykelvägen S om Mölle	6243617	1294655	2004-07-18	7	2014-07-04	UR													4		4		5		5												3																																															5			5							5								4																																																																						5										3																	2																																																										5						4								4												1																																																		4				0		
nordicus	18071	wa70	Rubus	wahlbergii	Skogsbryn - snår	Sk	Helsingborg	Vid N-änden av rastplatsen N om Pålsjö skola	6220270	1304916	2002-07-02	4	2014-07-04	UR													5		5		5		5												3																																															5			5							4								4																																																												5								5						4						3																	2																																																										5								5						5								2																																																						4				0		
nordicus	13942	wa85	Rubus	wahlbergii	vägkant	Hl	Onsala	Mitt emot Lindfjälls gård	6371909	1270467	2007-07-16	8	2014-06-22	UR													5		5		4		5												3																																															5			5							3								3																																																												3								5				4								3														2																																																													5						5										5																																																												3				1		
nordicus	13931	wa90	Rubus	wahlbergii	vägkant	Hl	Steninge	Skipås vid åkern vid triangeln	6300730	1306975	2006-07-20	1	2014-06-21	UR													4		4		4		5												3																																															5			5							4								3																																																												2								5				5								3																	2																																																										5						5						4				4																																																												4				0		
nordicus	13930	wa91	Rubus	wahlbergii	vägkant	Hl	Eftra	S-sidan av vägen till Guds gröna ängar, 150 m NO L. Stensjö	6300700	1306100	1998-08-13	1	2014-06-21	UR													4		4		4		5												3																																															5			5							3																																																																				2								4				5								3																	1																																																										5						5						4				4																																																												4				0		
nordicus	18089	wa58	Rubus	wahlbergii		Bh	Marstrand	Beateberg	6422849	1250562	2014-07-15		2014-07-15	UR													5		5		5		5												3																																															4			5							4								4																																																												4								5						5						3															2																																																												5						4								5										1																																																				4				0		
nordicus	13661	wa20	Rubus	wahlbergii	vägkant	Hl	Trönninge	Pilsgården, Ö vägkanten	6339171	1289850	2005-08-19	3	2005-08-19	UR	35.4												5		5		5		5														3																																													5			5							4								4																																		2																										2										3				5						4																	2																																																										5						4								5		5				2																																																								5				0		
nordicus	13662	wa21	Rubus	wahlbergii ssp nordicus?	vägkant	Hl	Lindeberg	Trönninge, motorbanan vid Kroksberg, O vägkanten, vid avloppstrumma, mitt emot modelbilbanan, 1 buske	6341626	1286718	2003-08-17	5	2003-08-17	UR	34.3												5		5		5		5														3																																													5			5							4								4																																		2																										3										3				5						5																	2																																																										5						5								5						1																																																								4				0		
nordicus	13936	wa78	Rubus	wahlbergii		Hl	Varberg	Sörse, skogsbryn	6335152	1285227	2006-07-17		2014-06-22	UR													5		4		4		5														3																																													5			5							2								2																																																												4								5				5								3														2																																																													4						4								5						1																																						3																		5				0		
nordicus	18014	wa79	Rubus	wahlbergii	gärdesgård	Hl	Varberg	200 m O sjukhuset, vid gärdesgård, 5 m N och V om stigar	6335811	1286526	2004-07-24	2	2014-06-22	UR													4		4		5		5														3																																													5			5							4								4																																																												4								5?						5						3															1																																																												5						4								5						1																																																								4				0		
nordicus	13641	nd1	Rubus	nordicus		Bh	Röra	Kungsviken	6463898	1252661	2012-07-05	35	2012-07-05	TM													4		4		4		5												2																																															5			5							3								3																																		2									Transloc -1																	3										4				5						4																		1																																																									5						4								4		3						2																																																						5				0		
nordicus	13650	nd10	Rubus	nordicus		Bh	Tanum	Häljeröd	6510123	1237087	2012-07-29		2012-07-29	TM													4		3		3		5												2																																															5			5							4								4																																		2									Transloc -1																	3							3							4						5																2																																																											5						4								5						2																																																								4				0		
nordicus	13663	wa22	Rubus	wahlbergii		Hl	Onsala	Vässingsö	6366681	1271115	2003-07-04	2	2003-07-04	UR																																																																														5			4							3								3																																				2							Transloc -1																	2										2				4						5																2																																																											5						4								5						2																																																								4				0		
nordicus	13670	wa29	Rubus	wahlbergii	vägkant	Hl	Träslöv	väg mot Grunnarp, V-sid	6339939	1290488	2007-07-20	4	2012-08-01	UR													4		4		4		5												2																																															5			4							3								3																																				2							Transloc -1																	2										2				4						5																		1																																																									5						4								5						2																																																								4				0		
nordicus	13472	goc7	Rubus	caesius x gothicus	vägkant	Sk	Brunnby	Mölle, Tvärvägen, N sidan	6244062	1295270	2009-06-19	7	2009-06-19	UR	42.8												4		4		4		5												3																																															4			5							4								4																																			1																									3										4				5						4																		1																																																									5						4								5		4				2																																																								5	Måste vara fel-samlad eller förväxlad – perfect fit to wan			0		
nordicus	13640	dih1	Rubus	Trönninge-formen	slånbryn mot åker (?)	Hl	Trönninge	25-150 m Ö om Klastorp, nedanför backen i det S-vända brynet	6338933	1290756	2005-08-19	4	2012-08-01	UR	28.1												5		5		5		5												3																																															5			5							4								4																																						2																						4										4				5						4																	2																																																										5						5								5		4				3																																																								5				0		
nordicus	13835	inf21	Rubus	infestus	Orust	Bh	Morlanda	Morlanda säteri	6460121	1247578	2013-07-22		2013-07-29	TM													5		5		5		5												3																																															4			5							4								3																																																													5									4				3						5																																																																											5						5								5		4				3																																																								5				0	5	44
nordicus	18058	nes8	Rubus	nessensis v nessensis	odlad	Sk	Helsingborg	HBH, Fredriksdal, Helsingborgs botaniska trädgård			2014-07-04		2014-07-04	UR													4		4		4		5												3																																															5			5							4								4																																																												4										5				5						3																	1																																																																																																																																										0	4	48
vikensis	13465	wa10	Rubus	wahlbergii el vikensis?	backe	Sk	Råå	Örby, precis i backkrönet där golfbanan börjar	6209866	1309879	2009-09-06	1	2009-09-06	UR	34.7												4						3												2																																															5										2		3						Translok -1bp																																2																								5				3			2					3		2										2																																																																																							5		4				3		3								2																																																						
vikensis	18070	wa69	Rubus	wahlbergii	sandstrand	Sk	Helsingborg	Tinkarp på stranden	6220739	1304516	2014-07-04	3	2014-07-04	UR												3	5						3												2																																															5										4																																																																5				3				3				4		3										3																																																																																			5						5				3		3								1																																																						
vikensis	13792	vk1	Rubus	vikensis		Hl	Onsala	Godhem nere vid Vässingsövägen	6367415	1270872	2006-07-01		2006-07-01	UR												3	5						3												2																																															5											4																																																2															5				3					3			3		3										4																																																																																			5						5				4		4										2																																																				
vikensis	13793	vk2	Rubus	vikensis	vägkant	Sk	Helsingborg	utanför Fredriksdals mölla	6218300	1307700	2007-07-20		2007-07-20	UR	32.9											3	5						3												2																																															5											4																																												2																			5				3					2			3		3										4																																																																																	5						4						4		4										2																																																				
vikensis	13794	vk3	Rubus	vikensis	Banvall	Sk	Helsingborg	På banvallen mellan Johan Bannérsgatan och (N-ut) övergången till Pålsjöskog och mölla	6219500	1315500	2000-06-18		2013-08-18	UR												3	5						3												2																																															5											4																																										2																					5				3			3					3		3										4																																																																																			5						5						5								2																																																						
vikensis	18064	vk4	Rubus	vikensis		Sk	Brunnby	550 m SV Vikens kyrka	6228623	1299865	2008-06-22	5	2014-07-04	UR	34.9											3	5						3												3																																															5										4																																																																4				5				4				5		4										2																																																																																			4												3														1																																																
vikensis	13795	vk5	Rubus	vikensis	åkerkant-märgelgrav	Hl	Trönninge	450 m SV k:an	6280569	1323531	2004-07-08		2013-07-08	UR	35.4											3	5						3												2																																															5											4																																										2																					5				3			3					3		3										4																																																																																					5				5				3				3						1																																																						
vikensis	13796	vk6	Rubus	vikensis	vägkant	Hl	Vallda	Hästakärrsv i NV hörnet mot vägen till Smarholm	6374559	1267609	2004-07-06		2013-08-03	UR	35.4											3	5						3												2																																															5											4																																														2																	5				3					3			3		3										4																																																																																			5						5						5										2																																																				
vikensis	13797	vk8	Rubus	vikensis	buskage	Sk	Helsingborgs GA	Närlunda, alldeles S om Närlunda kolgrav i buskagekanten ovanför branten	6216300	1307400	2005-08-13		2013-08-18	UR												3	5						3												2																																															5																																																									2																	5				2					2			3		2										4																																																																																	5								4				3		3								1																																																						
sordirosanthus	13780	so1	Rubus	sordirosanthus	Gräsmark vid väg	Hl	Halmstad	Gustavsfält, 50 m V om E6 på grusvägens V-sida	6286180	1322050	2002-08-11		2013-07-08	UR	28.1												5		4				5												3																																															5			4							3																																														1																						2									2					4						5																					2																																																						4						5								4				2																																																																
sordirosanthus	13781	so2	Rubus	sordirosanthus	vägkant	Hl	Steninge	Gamlavägens O-sida vid bokbuss hållplats	6298069	1305858	2007-07-03		2013-07-08	UR	28.1												5		4				5												3																																															5			4							3																																														1																						2									2					4						5																					2																																																						4						5								4				2																																																																
sordirosanthus	13927	so2n	Rubus	sordirosanthus	vägkant	Hl	Steninge	Gamlavägens O-sida vid bokbuss hållplats	6298069	1305858	2007-07-03		2014-06-21	UR	28.1												4		4				5												3																																															5			5							4								3																																																																																																																																																											5						5								3																																																																				
sordirosanthus	13782	so3	Rubus	sordirosanthus	strandhed	Hl	Steninge	Gillsäter	6298940	1305340	2009-07-04		2013-07-08	UR	28.1												5		5				5												3																																															5			4							3																																														1																						3									3					4						5																					2																																																						5						5								4				2																																																																
sordirosanthus	13606	gf11	Rubus	Varbergsformen	Vägslänt	Hl	Träslöv	Ås, motorvägens Ö-sida, 20 m S om avtaget till G:a Köpstad	6330400	1287733	2002-06-23	1	2002-06-23	UR	28.1												4		4				5												3																																															5			5							3																																													2																							3										2				4						5																					1																																																						5						5								3				2																																																																
sordirosanthus	13607	gf12	Rubus	Varbergsformen	ruderatmark	Hl	Varberg	Getterön	6338993	1285123	2008-03-07	2	2008-03-07	UR	28.1												4		4				5												3																																															5			5							3																																													2																							3										2				5						4																					1																																																						5						5								3				2																																																																
friesianus	13142	Fr1	Rubus	friesianus		Bh	Stenkyrka	Tyfta	6435860	1253709	2010-09-02		2010-09-02	TM													5		5		5		5																																																															5						4																																						3																																				2								5																								2																																																			5						5												3				2																																																																		
friesianus	13143	Fr2	Rubus	friesianus		Bh	Stenkyrka	Tyfta	6435858	1253707	2010-09-02		2010-09-02	TM													5		5		5		5																																																															5						4																																						3																																				3				4				5																								1																																																			5						5												3				2																																																																		
friesianus	13144	Fr3	Rubus	friesianus		Bh	Stenkyrka	Tyfta	6435856	1253706	2010-09-02		2010-09-02	TM													5		5		5		5																																																															5						4																																						3																																				2				3				5																								1																																																			5						4												3				2																																																																		
friesianus	13145	Fr4	Rubus	friesianus		Bh	Stenkyrka	Tyfta	6435859	1253701	2010-09-02		2010-09-02	TM																																																																																		5						3																																						3																																				2				3				5																								1																																											4								5						4												3				2																																																																		
friesianus	13146	Fr5	Rubus	friesianus		Bh	Stenkyrka	Tyfta	6435860	1253702	2010-09-02		2010-09-02	TM													4		3		3		5																																																															5						3																																						3																																				3				3				5																								1																																																			5						4												3				2																																																																		
armeniacus	13805	arm1a	Rubus	armeniacus	skog vid stig	Sk	Skanör	Ljunghusen, Solbacksvägens fortsättning	6145519	1316900	2013-07-21		2013-07-21	UR															5		5												3										3																																												3					5																																														2																				5															1																							1							1																															3											5																										3																																																																		
armeniacus	13806	arm1b	Rubus	armeniacus	Brant i skog	Hl	Släp	I branten mot (N om) landsvägen 30 m Ö om husen i Klev, i natrulig miljö	6381800	1269900	1999-07-16	1b	2013-08-03	UR															5		5												3										3																																												3					5																																														2																				5															1																							1							1																															4											5																										3																																																																		
armeniacus	13807	arm5	Rubus	armeniacus	skogsbryn mot trada	Sk	V Karaby	900 m O-ONO k:an, 50 m S om landsvägen i skogsbrynet	6190120	1327380	2004-08-22		2013-08-18	UR															5		5												3										3																																												3					5																																														2																				5															1																							1							1																															4											5																										3																																																																		
armeniacus	13809	arm10	Rubus	armeniacus	gräsmark intill väg	Sml	Kalmar	mellan Norrlidsvägen och Smålands Lejons väg	6286652	1533871	2013-09-29		2013-09-29	TB															5		5												3										3																																												3					5																																														2																				5															1																							1							1																															3											5																												3																																																																
armeniacus	13810	arm20	Rubus	armeniacus	Orust	Bh	Morlanda	Ellös	6458878	1245055	2013-07-22		2013-07-29	TM															5		5												3										3																																												3					5																																														2																				5															1																							1							1																															4											5																												3																																																																
armeniacus	13812	axi1	Rubus	axillaris	betesmark	Sk	Stenestad	Lökagården, ca 100 m S om vägen	6217846	1328994	2003-07-06		2013-08-18	UR															5		5												3										3																																												3					5																																														2																				5															1																							1							1																															4											5																										3																																																																		
montanus	13843	mon1	Rubus	montanus	tallskog	Sk	Löddeköpinge	I SV hörnet av bebyggelsen vid Kumle	6184355	1322296	2004-10-05	3	2013-08-18	UR															5		5												3																																																											5								5																																																																																															2																																																																										5				3				4																																																												
montanus	18132	mon3	Rubus	montanus	tallskog	Sk	Löddeköpinge	Kumle vid stängslet	6184309	1322341	2004-10-05	3	2014-08-24	UR															5		5												3																																																											5								5																																																																														4		5															2																																																																										5				3				3																																																												
grabowskii	13970	gbw2	Rubus	grabowski	kalhygge	Sk	Börringe	Fillago-grustaget i Gabelljung	6150794	1346787	2014-06-28		2014-06-28	UR															4		5														3																																																									5								5																																																																				5												4																	2																																																																				3		5						2																																																																
grabowskii	13900	gbw11	Rubus	grabowskii	lövskogsbryn	Sml	Kalmar	Trollbackevägen vid panncentral	6285867	1533155	2013-09-29		2013-09-29	TB															5		5														4																																																									5								5																										3																																											1											5																1																																																																					5		4		4																																																																				
grabowskii	13883	thy1	Rubus	grabowski	grusstig	Hl	Varberg	Apelvikshöjd, vid grustig	6334975	1294113	2007-07-20		2013-07-08	UR															5		5														4																																																									5								5																																						3																															5											5															3																																																																								5		4				2																																																																
polybrachteatus	13192	To1	Rubus	polybrachteatus	vägkant	Hl	Onsala	N om Runås	6368159	1270868	2008-08-11	7	2008-08-11	UR	28.1												4		4		5		5																																																											5			3							4								4																																																																			3							5						4															2																																																												5														5				4																																																																
polybrachteatus	13214	To2	Rubus	polybrachteatus	Vägkant	Hl	Onsala	Ledet, på landsvägens V-sida i kröken	6368824	1270916	2001-07-02	12	2001-07-02	UR	27.0												4		4		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				5																																																																
polybrachteatus	13215	To3	Rubus	polybrachteatus		Hl	Onsala	Onsala, landsvägens S-sida vid Busshållplatsen	6369720	1271454	2003-07-04		2003-07-04	UR	28.0												4		4		5		5																																																											5			2							4								4																																																																		3								5						4																2																																																											5														4				5																																																																
polybrachteatus	13216	To4	Rubus	polybrachteatus	vägkant-gärdesgård	Hl	Onsala	St Siken, O sidan vägen	6370369	1268683	2004-07-06	10	2004-07-06	UR													4		4		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
polybrachteatus	13217	To5	Rubus	polybrachteatus	gårdsmark	Hl	Onsala	St Siken vid hus, O sidan	6370510	1268624	2008-08-11		2008-08-11	UR													5		5		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
polybrachteatus	13218	To6	Rubus	polybrachteatus	ruderatmark	Hl	Onsala	Stor lokal på grushögar vid hus	6370597	1268626	2008-08-11		2008-08-11	UR													5		5		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
polybrachteatus	13219	To7	Rubus	polybrachteatus	avfallsplats	Hl	Onsala	Svängehallav vid avstjälpningsplats	6370774	1268390	2008-08-11		2008-08-11	UR													5		5		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
polybrachteatus	13220	To8	Rubus	polybrachteatus	betesgräns	Hl	Onsala	Snårgräns på betesmark	6370879	1268786	2008-08-11	3	2008-08-11	UR													5		5		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
polybrachteatus	13230	To9	Rubus	polybrachteatus	grustag	Hl	Onsala	Avstjälpningsplats S om V Hagen i mellankant	6372603	1267701	2008-08-11		2008-08-11	UR	28.1												4		4		4		5																																																											5			2							4								4																																									2																									3								5						3																2																																																											5														4				4																																																																
polybrachteatus	13221	To10	Rubus	polybrachteatus	stenslänt intill ladugård	Hl	Onsala	Gården V Hagen	6372842	1267708	2004-06-13	11	2004-06-13	UR	28.1												5		5		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
polybrachteatus	13222	To11	Rubus	polybrachteatus	vägkant	Hl	Onsala	St Siken	6370467	1268624	2008-08-11		2008-08-11	UR	28.1												5		5		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
polybrachteatus	13223	To12	Rubus	polybrachteatus	grustag	Hl	Onsala	Grustaget vid V Hagenvägen	6372605	1267702	2007-06-23	7	2007-06-23	UR	28.1												5		5		5		5																																																											5			2							4								4																																																																		3								5						3																2																																																											5														5				4																																																																
wendtii	13233	To20	Rubus	torekov	vägkant	Sk	Torekov	Råledsvägen, Perstorp vid väg 115:s S-sida, 10-15 m V om vägskälet (Råledsv) 300 M SV Trollehall	6260800	1305600	2009-07-04		2009-07-04	UR	28.1												4		4		4		5																																																											5										2								2																																																																			4	3												5				2																																																																							5						5												4							1																																																									
wendtii	13242	To21	Rubus	torekov	vägkant	Sk	Torekov	Mot Varan	6260277	1305798	2009-07-04	1	2009-07-04	UR													4		4		4		5																																																											5										3								3																																																																			5	4												4				3																																																																							5				4														3						1																																																										
wendtii	13243	To22	Rubus	torekov	vägkant	Sk	Torekov	Andarp	6259116	1306986	2009-07-04	3	2009-07-04	UR													4		4		4		5																																																											5										3								3																																																																			5	4												4				3																																																																							5						4										3								1																																																										
wendtii	13244	To24	Rubus	torekov	vägkant	Sk	Torekov	Broddarp, vägens N sidan	6258748	1305899	2009-07-04	5	2009-07-04	UR													4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						4												3						1																																																										
wendtii	13246	To25	Rubus	torekov	gärde	Sk	Torekov	Slättaröd i gärde	6257600	1305577	2010-07-29		2011-07-29	UR	28.1												4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						4												4						1																																																										
wendtii	13245	To26	Rubus	torekov	vägkant	Sk	Torekov	S vägkanten vid Slättaröd	6257769	1305234	2009-07-04	7	2009-07-04	UR													4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						4												3						1																																																										
wendtii	13250	To27	Rubus	torekov		Sk	Torekov	Eneborgsvägen	6258897	1304640	2009-07-04	9	2009-07-04	UR													4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						4												4						1																																																										
wendtii	13247	To28	Rubus	torekov		Sk	Torekov	Burensvik nära P-plats	6256013	1304943	2009-08-06	7	2009-08-06	UR													4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						5												4						2																																																										
wendtii	13249	To29	Rubus	torekov	slångräns	Sk	Torekov	Dagshög i slångräns	6257153	1304355	2010-07-29	2	2010-07-29	UR	29.0												4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						5												4				2																																																												
wendtii	13261	To30	Rubus	torekov	strandhed	Sk	Torekov	Torekov, N om reningsverket	6258530	1303825	2009-07-04		2009-07-04	UR													3		3		3		5																																																											5										3								3																																																																			4	3												5				2																																																																							5						5													3						2																																																									
wendtii	13248	To35	Rubus	torekov		Sk	Torekov	Ramsjöstrand	6255006	1306507	2011-07-14	2	2011-07-14	UR													4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						4												4						1																																																										
wendtii	13263	To36	Rubus	torekov	åkerkant	Sk	Torekov	Torekov, åkerkant och mot cykelbana, stort bestånd	6259121	1303974	2009-07-04	11	2009-07-04	UR													4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						5												3						1																																																										
wendtii	13240	To37	Rubus	torekov		Sk	Torekov	Glimminge plantering	6254688	1308420	2011-07-28	4	2011-07-28	UR													4		4		4		5																																																											5										3								3																																																																			5	4												5				3																																																																							5						4												3						1																																																										
wendtii	13467	fa21	Rubus	fasciculatus	vägkant	Sk	Hov	500 m S om Varegården	6259378	1304852	2003-07-09	11	2003-07-09	UR													4		4		4		5																																																											5										3								3																																																																			3	2												5				3																																																																							5						4												3																						2																																										
wendtii	18040	fa21n	Rubus	wendtii	vägkant	Sk	Torekov	500 m S om Varegården, mitt emot Varegrårdsv. 5	6259378	1304852	2003-07-09	11	2014-07-04	UR													5		5		5		5																																																											5										2								2																																																																																																																																																											5						5												3																																																																
wendtii	13460	to2012	Rubus	polybrachteatus	ruderatmark	Sk	Munka Ljungby	Munka Ljungby	6239581	1324253	2012-07-07		2012-07-07	UR													4		4		4		5																																																											5										3									3																																																																		4	3												5				2																																																																							5						5													3						1																																																									
wendtii	13251	To14	Rubus	Bäckaskog	vägkant	Sk	Farhult	Farhult, 200 m O Bäckaskog vid motorvägen	6235999	1306946	2009-09-06	10	2010 or 2011	UR	28.4												4		4		4		5																																																											5										3								3																																																																				3												5				3																																																																							4				5																																																																														
wendtii	13252	To13	Rubus	trivultus	vägkant mot strand	Sk	Brunnby	Mölle, mitt emot Karl XII skansar (ungefär mitt på den låga, Ö-a skansen)	6244898	1294653	2005-08-13	7	2010 or 2011	UR	28.1												4		4		5		5																																																											4										3							5																																																																				2	2												5				3																																																																							5						5						4										1																																																												
wendtii	13224	To38	Rubus	trivultus	vägkant	Sk	Brunnby	Mölle, hörnet av Högekullsvägen mot Kullabergsvägen	6244861	1295053	2011-08-16	4	2011-07-17	UR													4		4		4		5																																																											5										3								2																																																																			3	3												5				2																																																																							4						5						2		3																																																																				
wendtii	18075	tv10	Rubus	wendtii		Sk	Brunnby	Vattenmöllan vid cykelvägen	6243071	1295793	2014-07-04	6	2014-07-04	UR													5		5				5																																																											5										3								3																																																																				5												4		4																																																																									5						5								3				1																																																																
wendtii	18082	tv11	Rubus	wendtii	Dike – snår 	Sk	Brunnby	V Bangatan 22, östra sidan vägen	6243985	1295327	2012-08-14	3	2014-07-04	UR													4		4		4		5																																																											5										3								3																																																																				5												3				3																																																																																																																																																									
wendtii	18076	tv12	Rubus	wendtii	cykelstig mot åker	Sk	Brunnby	Cykelvägen S om Mölle	6243552	1294536	2014-07-04	10	2014-07-04	UR													5		5		5		5																																																											5										3								3																																																																				5												4				2																																																																							5						5								4				2																																																																
wendtii	18042	tv13	Rubus	wendtii	vägkant vid klippa	Sk	Brunnby	Harastolsv 24 vid Klippans N-ände	6244667	1294842	2012-08-14	2	2014-07-04	UR													5		5		5		5																																																									4		5										2								2																																																																				5												3				2																																																																							5						5								3																																																																				
wendtii	13237	To15	Rubus	fasciculatus	vägkant	Sk	Förslöv	Venedike gård	6250310	1318207	2003-07-09	1	2003-07-09	UR	29.1												4		4		4		5																																																											5										3								3																																																																				3												5		3																																																																									4						5								3				1																																																																
wendtii	13239	To18	Rubus	venedike	vägkant	Sk	Förslöv	Venedike gård, bäcken vid vägen	6250339	1318073	2003-07-09	4	2003-07-09	UR	28.1												4		4		4		5																																																											5										3								3																																																																					4											5				3																																																																							5						4								4				2																																																																
wendtii	13238	To19	Rubus	venedike	skogsbryn	Sk	Förslöv	Tockarpsbacken i skogsbrynet	6250062	1319130	2009-08-06	10	2009-08-06	UR													4		4		4		5																																																											5										3								3																																																																					4											5				3																																																																							5						5								4								1																																																												
wendtii	13232	To33	Rubus	venedike	vägkant	Sk	Förslöv	50 m O Venedike	6250227	1318312	2003-07-09		2003-07-09	UR													4		4		4		5																																																											5										3								3																																																																					5											5				3																																																																							5						5								4						1																																																														
walsemanii	13686	wm10	Rubus	walsemanii	vägkant	Bl	Skäggeryd, avtaget från E22		6237861	1509474	2013-07-24		2013-07-24	TB													5				4		5												3																																															5										3																																																1																										5		3												5																			2																																																								5														3								1																																																												
walsemanii	13687	wm11	Rubus	walsemanii	vägkant	Bl	Fågelmara, vägkant vid fotbollsplanen		6237610	1509270	2013-07-24		2013-07-24	TB													5				4		5												3																																															5										3																																																1																										5		3												5																			2																																																								5														3								1																																																												
walsemanii	13688	wm12	Rubus	walsemanii	vägkant	Bl	Norra Binga busshållplats		6231742	1504899	2013-07-24		2013-07-24	TB													4				4		5												3																																															5										3																																														1																												5		3												5																			2																																																								5														3								1																																																												
