wahlbergii	13434	wa6	Rubus	wahlbergii	vägkant	Sk	S. Mellby	Nybromölla vid markväg, framme vid grinden	6169766	1399773	2010-07-10		2010-07-10	UR													4		3		3		4												3																																															5										4								4																																			2																							4											2											5				2												2																																																																	5		4								4		3				1																																																						5				0		
wahlbergii	13435	wa7	Rubus	wahlbergii, vikensis-lik	ledningsgata	Sk	Ö Vemmerlöv	Ledningsgata N Gyllebo	6164991	1398966	2005-07-24	5	2005-07-24	UR													4		3		3		4												3																																															5										4								4																																			2																							4											3											5				2																2																																																													5		4						4		3						1																																																						5				0		
wahlbergii	13608	gf19	Rubus	glauciformis	vägkant	Sk	Arkelstorp	Staversvad, S vägkanten intill vägskylten	6230965	1407008	2012-07-08	1	2012-07-08	UR	35.4												5		5		5		5												3																																															5										3								3																																2																										4									3													5										1							2																																																																2				4				3				3																																																														0		
wahlbergii	13678	wa50	Rubus	wahlbergii	övergivet grustag	Bl	Jämjö	Häljarums naturreservat	6228924	1503273	2012-07-01		2012-07-01	TB													3		3		3		4												2																																															5										3								3																																		2									Transloc -1															2													2									5						1										1																																																																	5		5						4		3				1																																																								5				0		
wahlbergii	18145	wa38	Rubus	wahlbergii	Göteborg	Bh	Björlanda	Björlanda skjutfält	6411660	1262074	2014-07-31		2014-07-31	TM													5		5		5		5												3																																															5										4								4																																																										5											5											5						3									3																																																																		5		5						4		3				1																																																								5				0		
wahlbergii	18110	wa44	Rubus	wahlbergii		Sml	Abbetorp	Abbetorp vid avtag mot Brånen	6313028	1520716	2014-08-31		2014-08-31	TB																																																																														5										4								4																																																																																																																																																															4				4						4		3				1						Transloc +2																																																		5				0		
wahlbergii	18115	wa45	Rubus	wahlbergii		Sml	Abbetorp	Rugstorp i SV	6311321	1521517	2014-08-31		2014-08-31	TB													5		5		5		5												3																																															5										4								4																																																										1											1											5																	1																																																														5				4						5		4						1				Transloc +2																																																		5				0		
wahlbergii	18122	wa54b	Rubus	wahlbergii		Sk	Ivetofta	Allarpsvägen, V vägkanten	6219988	1417123	2012-07-08		2014-08-24	UR													5		5		5		5												3																																															5										4								4																																																										5											4											4				3															2																																																														5		5						4				3																																																										4				1		
wahlbergii	18088	wa57b	Rubus	wahlbergii		Bh	Marstrand	Utkäften	6423805	1249652	2014-07-15		2014-07-15	UR													5		5		5		5												3																																															5										5								4																																																										5														3								3						3									2																																																																		5		5						4		3				1																																																								5				0		
wahlbergii	18090	wa59	Rubus	wahlbergii		Bh	Marstrand	Högvakten	6424271	1251910	2014-07-15		2014-07-15	UR													5		5		5		5												3																																															5										5								4																																																										5										4												3						3													2																																																														5		5				5								1																																																								4				1		
wahlbergii	18078	wa65	Rubus	wahlbergii	vägkant	Sk	Brunnby	Brunnby	6241580	1299551	2009-09-06	8	2014-07-04	UR													5		5		5		5												3																																															5										5								4																																																										5										4												3						3											2																																																														5				5						4								1																																																						4				1		
wahlbergii	18069	wa68	Rubus	wahlbergii	skogsbryn	Sk	Brunnby	Kullens havsbad vid cykelvägen i skogsbrynet	6238150	1297715	2009-09-06	5	2014-07-04	UR	35.2												5		5		5		5												3																																															5										4								4																																																										5										3												3				2													2																																																														5				4						5						2																																																								4				1		
wahlbergii	13971	wa72a	Rubus	wahlbergii	Vägkant	Sk	Dalby	Tetravägen i N skogsbrynet	6174231	1345859	2014-06-28	4	2014-06-28	UR															5		5		5												3																																															5										4								4																																																										5										4												4				3													2																																																																5		5						4		3				2																																																								5				0		
wahlbergii	13966	wa73	Rubus	wahlbergii	f.d. tomt	Sk	S. Sandby	Ryd	6177932	1345863	2009-07-10	3	2014-06-28	UR													5		5		5		5												3																																															5										4								4																																																										5										4												4				3															2																																																														5		4						3				3																																																										4				1		
wahlbergii	13938	wa81	Rubus	wahlbergii	vägkant	Hl	Släp	Släps Fiskarstigs slut	6381294	1272509	2014-06-22	1	2014-06-22	UR													4		4		4		5												3																																															5										3								3																																																										4												3										5					3														2																																																														5		5						5		4																																																												4				1		
wahlbergii	13937	wa82	Rubus	wahlbergii	åkerkant	Hl	Släp	Kyrkbyn, 30 m S om vägen	6382005	1271335	2014-06-22	2	2014-06-22	UR													5		4		4		5												3																																															5										3								3																																																										4										2												5					2												1																																																																5		5						4		4				1																																																								5				0		
wahlbergii	13940	wa83	Rubus	wahlbergii	vägkant	Hl	Släp	Sandbäck	6380791	1272147	2005-07-04	1	2014-06-22	UR													5		4		4		5												3																																															5										3								3																																																										5										5												5					3									3																																																																			5		4								5																																																												3				0		
wahlbergii	13941	wa84	Rubus	wahlbergii	vägkant	Hl	Vallda	Hamra golfbana	6380401	1270436	2008-06-08		2014-06-22	UR													5		5		4		5												3																																															5										3								3																																																										5										5												5					3									3																																																																			5		4								5				2																																																								4				1		
wahlbergii	18030	wa87	Rubus	wahlbergii		Hl	Onsala	Röda Holmen	6367172	1270304	2003-07-04	7	2014-06-22	UR													5		5		5		5												3																																															5										3								3																																																										5						2				3												4						2													1																																																														5		5				4				3				1																																																								5				0		
wahlbergii	18031	wa88	Rubus	wahlbergii	vägkant	Hl	Onsala	mitt emot infart t Onsala Godhemsv	6368396	1270922	2007-07-16	4	2014-06-22	UR													5		5		5		5												3																																															5										4								3																																																																																																																																																																	5		5						5						1																																																								4				1		
wahlbergii	18003	wa8n	Rubus	wahlbergii	vägkant	Sk	Ö Vemmerlöv	S om Näbbagården	6164839	1399822	2014-06-15	6	2014-06-15	UR													4		5		5		5												3																																															5										4								4																																																										5										5												3						3											2																																																																5		4						4								1																																																						4				1		
wahlbergii	18004	wa93	Rubus	wahlbergii	Vägbank	Sk	Tranås	I vägskälet 500 m NNV Bokehill	6167800	1389700	2002-08-18	3	2014-06-15	UR	36.1												4		4		5		5												3																																															5										4								4																																																										5										5												4						3											2																																																																5								4																																																														2				0		
wahlbergii	18006	wa96	Rubus	wahlbergii	betesmark	Sk	Ö Vemmerlöv	Gyllebo, ca 150 m V Näbbegården	6165401	1399928	2014-06-15	7	2014-06-15	UR													5		5		5		5												3																																															5										4								4																																																										4										2												5				3													1																																																																5				4										5		5																																																						4				1		
wahlbergii	13996	wa98	Rubus	wahlbergii	Gärdsgård och häll	Sk	Ö Vemmerlöv	På gränsen till Baskemölla, 550 m rakt S om Örnaberga	6162246	1403408	2014-06-15	2a	2014-06-15	UR													5		4		5		5												3																																															5										4								4																																																										5										3												4				3													2																																																																3				4		5								1																																																								4				1		
wahlbergii	18415	wa39	wa39	wahlbergii	wahlbergii	Vg	Torslanda	Tumlehed	6407572	1259324	2015-09-14		2015-09-14	TM													4		4		4		5												3																																															5											4								3																																																									2												2										5						2												2																																																															5		2						2				2		3																																																								from Marcus by Ulf				0		
wahlbergii	13945	wa86	Rubus	wahlbergii	vägkant-betesmark	Hl	Onsala	Bassås mot Råö i N , 50 m O avtag Köpstaden 2 i vägkanten	6370226	1268855	2004-07-06	9	2014-06-22	UR													5		4		4		5												3																																															5										3																																																																		5										4												4					3												2																																																																5		4						4								2																																																						4				1		
wahlbergii	13944	wa89	Rubus	wahlbergii	äng	Hl	Onsala	Rösan, stigens slut mot äng	6369307	1271709	2008-07-17	6	2014-06-22	UR	35.4												5		4		4		5												3																																															5										3																																																																		5										4												4					3														2																																																														5		4				3				3				2																																																								5				0	0.41	
wahlbergii	13611	gf40a	Rubus	glauciformis	vägkant	Bl	Järnavik, NO om hamnen		6228599	1454710	2012-07-29		2012-07-29														5		5		5		5												3																																															5										4								4																																				2																						4										2												5				2											2																																																																				5		4				4		2						2																																																						5				0	41	
wahlbergii	13965	gf40bn	Rubus	glauciformis	skogsbryn	Sk	Torna Hällestad	Prästaskogen vid skjutbanan	6175249	1348805	2009-07-20	5	2014-06-28	UR													5		5		5		5												3																																															5										4								4																																																										5										4												4				3										2																																																																					5						3								1																																																						3				0	17	
wahlbergioides	13429	wa1	Rubus	wahlbergii, kal	vägkant	Sk	Vitemölla	Vitaby mot Vitemölla	6174910	1396688	2005-07-24	19	2005-07-24	UR	36.0												4		4		4		5												3																																															5			2							2								2																																			1																							3								5			3											3																2																																																											4												5		4		3																																																												4				0		
wahlbergioides	13654	wa13	Rubus	wahlbergii, kal	vägkant	Sk	Smedstorp	vägen mot Månstorp	6162469	1395163	2011-07-07	14	2011-07-07	UR													5		5		5		5												2																																															5			2							2								2																																			2																							4								5			2											5																	2																																																										4												5		5																																																														3				1		
wahlbergioides	13430	wa2	Rubus	wahlbergii, kal	igenvuxen äppelodling	Sk	Vitaby	Kivik, Granvägens fortsättning	6173731	1399706	2010-07-10	10	2010-07-10	UR													4		3		3		5												3																																															5			2							3								3																																			2																							4								5			2											3																		1																																																									5												5		4				3																																																										4				0		
wahlbergioides	13431	wa3	Rubus	wahlbergii, kal	vägkant	Sk	S. Mellby	Kivik, mitt emot macken	6173894	1400381	2010-07-10	9	2010-07-10	UR	35.6												4		3		3		4												3																																															5			2							3								3																																			2																							4								5			3											3																		2																																																									4												5		4		3		2																																																										5				0		
wahlbergioides	13432	wa4	Rubus	wahlbergii, kal	vägkant	Sk	S Mellby	Stenshuvud vid kaffé Annorlunda	6170901	1402878	2005-07-24	6	2005-07-24	UR													4		3		3		4												3																																															5			2							3								3																																			2																							4								5			3											3																		2																																																									4												5		4		3		2																																																										5				0		
