Host.Species,Lake,Year,Julian.Day,Julian,Date,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,pasteuria.inf.density,metsch.prev,metsch.inf.density,spiro.prev,spiro.inf.density,brood.prev,brood.inf.density,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,micG.inf.density,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
ceriodaphnia,Bishop,2021,2021314,314,11/10/21,15,3,2,NA,7,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.6,122668.5,25443.7,767.1,93927.8,407.6,1576.2,70.5,475.6,0
dentifera,Bishop,2021,2021160,160,6/9/21,442,185,243,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.013574661,1902.335294,0,0,0,0,0,0,0,0,0,140138.7,196416.2,140138.7,33766.5,6341.1,317.1,4914.4,0,0,10938.4
dentifera,Bishop,2021,2021174,174,6/23/21,255,116,97,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0.011764706,815.2870588,0,0,0.003921569,0,0,0,0.003921569,271.7623529,0,69299.4,81284.1,69299.4,3614.4,2554.6,271.8,4293.8,543.5,0,706.6
dentifera,Bishop,2021,2021188,188,7/7/21,455,157,259,0,0,0,0,1,0,0,0,0,0,21,17,0,0,0,0,0.002197802,112.101978,0,0,0,0,0,0,0.046153846,2354.141538,0.037362637,51006.4,74536.5,51006.4,407.6,19999,39,2636.1,0,448.4,0
dentifera,Bishop,2021,2021202,202,7/21/21,236,98,120,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0.055084746,1589.806356,0.021186441,28861.1,53965.2,28861.1,611.5,20789.8,152.9,3397,152.9,0,0
dentifera,Bishop,2021,2021216,216,8/4/21,217,65,126,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0.105990783,3125.265438,0.013824885,29486.2,75801.3,29486.2,733.8,40084.9,34,5217.8,0,244.6,0
dentifera,Bishop,2021,2021230,230,8/18/21,216,80,92,0,0,1,0,0,0,0,0,0,0,42,1,0.00462963,108.7050926,0,0,0,0,0,0,0,0,0,0,0.194444444,4565.613889,0.00462963,23480.3,74730.1,23480.3,181.2,35872.6,452.9,14607.2,0,135.9,0
dentifera,Bishop,2021,2021244,244,9/1/21,270,58,192,0,0,3,0,0,0,0,0,0,0,17,0,0.011111111,237.7922222,0,0,0,0,0,0,0,0,0,0,0.062962963,1347.489259,0,21401.3,93769.4,21401.3,317.1,21005,396.3,50649.7,0,0,0
dentifera,Bishop,2021,2021258,258,9/15/21,216,56,112,0,0,8,0,1,0,0,0,0,0,39,1,0.037037037,543.5259259,0,0,0.00462963,67.94074074,0,0,0,0,0,0,0.180555556,2649.688889,0.00462963,14675.2,57516.4,14675.2,188.1,23031.8,2772,16849.3,0,0,0
dentifera,Bishop,2021,2021272,272,9/29/21,227,56,120,4,0,4,0,0,0,0,0,0,0,14,31,0.017621145,317.0555066,0,0,0,0,0,0,0,0,0,0,0.061674009,1109.694273,0.136563877,17992.9,49858.2,17992.9,794.9,17992.9,877.2,11962.5,0,237.8,0
dentifera,Bishop,2021,2021286,286,10/13/21,232,26,66,52,0,0,0,0,1,1,0,0,0,14,79,0,0,0,0,0,0,0.004310345,42.46293103,0.004310345,0,0,0,0.060344828,594.4810345,0.340517241,9851.4,51422.5,9851.4,84.9,28874.7,254.8,12356.7,0,0,0
dentifera,Bishop,2021,2021300,300,10/27/21,241,13,94,82,8,2,0,1,1,0,0,0,0,3,40,0.008298755,163.0572614,0,0,0.004149378,81.52863071,0.004149378,81.52863071,0,0,0,0,0.012448133,244.5858921,0.165975104,19648.4,74183.7,19648.4,74.1,50751.6,597.9,3070.9,0,40.8,0
dentifera,Bishop,2021,2021314,314,11/10/21,214,30,19,67,14,6,0,0,0,0,0,0,0,2,77,0.028037383,713.3747664,0,0,0,0,0,0,0,0,0,0,0.009345794,237.7915888,0.359813084,25443.7,122668.5,25443.7,767.1,93927.8,407.6,1576.2,70.5,475.6,0
dubia,Bishop,2021,2021160,160,6/9/21,31,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4914.4,196416.2,140138.7,33766.5,6341.1,317.1,4914.4,0,0,10938.4
dubia,Bishop,2021,2021174,174,6/23/21,158,13,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4293.8,81284.1,69299.4,3614.4,2554.6,271.8,4293.8,543.5,0,706.6
dubia,Bishop,2021,2021188,188,7/7/21,97,28,67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020618557,2636.1,74536.5,51006.4,407.6,19999,39,2636.1,0,448.4,0
dubia,Bishop,2021,2021202,202,7/21/21,125,49,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,3397,53965.2,28861.1,611.5,20789.8,152.9,3397,152.9,0,0
dubia,Bishop,2021,2021216,216,8/4/21,192,45,146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005208333,5217.8,75801.3,29486.2,733.8,40084.9,34,5217.8,0,244.6,0
